"subID","block","trial","image","imageIdx","cueIdx","cue_string","congruent","response","accuracy","RT","cueDuration","learningRound","tp","cueLevel","learning_quartile","logRT","zlogRT"
20,1,29," S4-20.jpg",2,3," orange","neutral",2,1,1.8865,1.3333,1,0.5,0.5,2,0.634723260422228,-0.436256000844225
20,1,30," S3-12.jpg",1,1," purple","congruent",1,1,2.2162,1.4,1,1,0.8,2,0.795794017520088,0.128672803732749
20,1,31," S3-12.jpg",1,1," purple","congruent",1,1,2.3495,1.5333,1,1,0.8,2,0.854202539560733,0.333530948861366
20,1,32," S3-12.jpg",1,3," orange","neutral",2,0,2.0675,1.5167,1,0.5,0.5,2,0.726340147915709,-0.114925054971102
20,1,33," S4-20.jpg",2,3," orange","neutral",2,1,2.5494,1.8833,1,0.5,0.5,2,0.935858037366684,0.619923982542997
20,1,34," S3-12.jpg",1,2," green","incongruent",1,1,2.6354,1.9167,1,0,0.2,2,0.969034973129015,0.736286548892353
20,1,35," S3-12.jpg",1,3," orange","neutral",1,1,1.9995,1.3167,1,0.5,0.5,2,0.692897149304736,-0.232220792367357
20,1,36," S3-12.jpg",1,1," purple","congruent",1,1,2.0162,1.4,1,1,0.8,2,0.701214551637704,-0.203048891509558
20,1,37," S4-20.jpg",2,3," orange","neutral",2,1,2.0996,1.4667,1,0.5,0.5,2,0.741746850396008,-0.0608886167529583
20,1,38," S4-20.jpg",2,2," green","congruent",2,1,2.0828,1.4667,1,1,0.8,2,0.733713142306607,-0.0890655073880975
20,1,39," S3-12.jpg",1,1," purple","congruent",1,1,2.5162,1.7833,1,1,0.8,3,0.922749826934893,0.573949121663219
20,1,40," S3-12.jpg",1,3," orange","neutral",1,1,2.0996,1.4167,1,0.5,0.5,3,0.741746850396008,-0.0608886167529583
20,1,41," S4-20.jpg",2,3," orange","neutral",2,1,1.9663,1.3667,1,0.5,0.5,3,0.676153604183374,-0.290945983086145
20,1,42," S3-12.jpg",1,2," green","incongruent",1,1,2.018,1.2667,1,0,0.2,3,0.702106921931417,-0.199919051603478
20,1,43," S4-20.jpg",2,2," green","congruent",2,1,2.5856,1.5,1,1,0.8,3,0.949957589344639,0.669375808482686
20,1,44," S4-20.jpg",2,3," orange","neutral",2,1,2.6828,1.4333,1,0.5,0.5,3,0.986861025243445,0.798808452264382
20,1,45," S4-20.jpg",2,2," green","congruent",2,1,2.2662,1.6333,1,1,0.8,3,0.818104419964329,0.206922817636879
20,1,46," S4-20.jpg",2,3," orange","neutral",2,1,2.3162,1.8,1,0.5,0.5,3,0.83992791176814,0.283465073714635
20,1,47," S4-20.jpg",2,2," green","congruent",2,1,2.2827,1.7,1,1,0.8,3,0.82535895286845,0.232366881321258
20,1,48," S3-12.jpg",1,3," orange","neutral",1,1,2.4494,1.85,1,0.5,0.5,3,0.89584309660505,0.479578254634398
20,1,49," S3-12.jpg",1,3," orange","neutral",1,1,1.9996,1.45,1,0.5,0.5,3,0.692947160557278,-0.232045386243842
20,1,50," S4-20.jpg",2,2," green","congruent",2,1,2.5345,1.9333,1,1,0.8,3,0.929996378930267,0.599365193641846
20,1,51," S4-20.jpg",2,2," green","congruent",2,1,2.6172,1.4833,1,1,0.8,3,0.962105044013447,0.711980978833584
20,1,52," S4-20.jpg",2,2," green","congruent",2,1,1.833,1.35,1,1,0.8,3,0.605953968857568,-0.537159490620929
20,1,53," S4-20.jpg",2,2," green","congruent",2,1,2.1514,1.55,1,1,0.8,3,0.766118793015768,0.0245919053323431
20,1,54," S3-12.jpg",1,1," purple","congruent",1,1,2.5662,1.3667,1,1,0.8,3,0.942426205478781,0.642960736244808
20,1,55," S3-12.jpg",1,1," purple","congruent",1,1,2.1335,1.5333,1,1,0.8,3,0.757763823645918,-0.00471175563896037
20,1,56," S4-20.jpg",2,1," purple","incongruent",2,1,2.5201,1.8333,1,0,0.2,3,0.924298583275683,0.579381126106159
20,1,57," S3-12.jpg",1,3," orange","neutral",1,1,2.1495,1.3833,1,0.5,0.5,3,0.765235256954199,0.021493050021447
20,1,58," S3-12.jpg",1,1," purple","congruent",1,1,2.7172,1.45,1,1,0.8,4,0.99960193833501,0.843495079009818
20,1,59," S3-12.jpg",1,2," green","incongruent",1,1,2.0995,1.2833,1,0,0.2,4,0.741699221142111,-0.0610556684136798
20,1,60," S3-12.jpg",1,1," purple","congruent",1,1,2.1163,1.25,1,1,0.8,4,0.749669280884271,-0.0331020137362514
20,1,61," S4-20.jpg",2,1," purple","incongruent",2,1,2.3995,1.3833,1,0,0.2,4,0.875260382316163,0.40738781865659
20,1,62," S3-12.jpg",1,3," orange","neutral",1,1,2.5828,1.7167,1,0.5,0.5,4,0.948874081770175,0.665575586457155
20,1,63," S4-20.jpg",2,2," green","congruent",2,1,2.6494,1.9,1,1,0.8,4,0.974333199268024,0.754869193023531
20,1,64," S3-12.jpg",1,1," purple","congruent",1,1,1.8344,1.25,1,1,0.8,4,0.606717452561558,-0.534481698922546
20,1,65," S4-20.jpg",2,3," orange","neutral",2,1,2.4494,1.6667,1,0.5,0.5,4,0.89584309660505,0.479578254634398
20,1,66," S4-20.jpg",2,2," green","congruent",2,1,2.4994,1.4167,1,1,0.8,4,0.916050703069546,0.550453062507897
20,1,67," S4-20.jpg",2,2," green","congruent",2,1,2.4661,1.3667,1,1,0.8,4,0.902637955420368,0.503410088152601
20,1,68," S3-12.jpg",1,1," purple","congruent",1,1,2.0163,1.3333,1,1,0.8,4,0.701264148661893,-0.202874938222875
20,1,69," S3-12.jpg",1,3," orange","neutral",1,1,2.4344,1.7667,1,0.5,0.5,4,0.889700319600624,0.458033489262838
20,1,70," S4-20.jpg",2,3," orange","neutral",2,1,3.4825,1.75,1,0.5,0.5,4,1.24775042667182,1.71383449629168
20,1,71," S4-20.jpg",2,2," green","congruent",2,1,2.0019,1.4833,1,1,0.8,4,0.694096729595533,-0.228013464656948
20,1,72," S4-20.jpg",2,2," green","congruent",2,1,2.266,1.65,1,1,0.8,4,0.818016162605815,0.206613269678335
20,1,73," S3-12.jpg",1,1," purple","congruent",1,1,2.0021,1.3167,1,1,0.8,4,0.694196629695517,-0.227663081725388
20,1,74," S3-12.jpg",1,3," orange","neutral",1,1,2.7827,1.2833,1,0.5,0.5,4,1.0234216793922,0.927038846253664
20,1,75," S4-20.jpg",2,2," green","congruent",2,1,2.2162,1.5667,1,1,0.8,4,0.795794017520088,0.128672803732749
