subID,trial,targetIdx,imgPath,stair1,stair2
12,15,2,S2-19.jpg,0.811533046193032,0.672965890810556
12,16,2,S2-19.jpg,0.817942111737063,0.688539329457798
12,17,2,S2-19.jpg,0.815655886564062,0.682990348176589
12,18,2,S2-19.jpg,0.813204218723487,0.677093993875587
12,19,2,S2-19.jpg,0.818968203947828,0.67081488031145
12,20,2,S2-19.jpg,0.816839022051024,0.685493837069896
12,21,2,S2-19.jpg,0.821877075754291,0.680101428033403
12,22,2,S2-19.jpg,0.825544593092744,0.692756076063514
12,23,2,S2-19.jpg,0.824171310943968,0.688193225915096
12,24,2,S2-19.jpg,0.822727956623142,0.683340591480831
12,25,2,S2-19.jpg,NaN,0.6782742341425
12,26,2,S2-19.jpg,NaN,0.690405073952736
13,1,1,S3-12.jpg,0.634258305431455,0.534258305431454
13,2,1,S3-12.jpg,0.596357985683836,0.614759658408964
13,3,1,S3-12.jpg,0.683533972123939,0.593449978105948
13,4,1,S3-12.jpg,0.73877946127019,0.642873597668654
13,5,1,S3-12.jpg,0.77288008528532,0.628401549131294
13,6,1,S3-12.jpg,0.763340983466485,0.663048217528652
13,7,1,S3-12.jpg,0.78573367408213,0.685357632021597
13,8,1,S3-12.jpg,0.801220930858186,0.678320753160347
13,9,1,S3-12.jpg,0.796544920678638,0.670601854207706
13,10,1,S3-12.jpg,0.807925069664874,0.688885684711855
13,11,1,S3-12.jpg,0.804305007208357,0.702035955314334
13,12,1,S3-12.jpg,0.8126487095365,0.711191514520766
13,13,1,S3-12.jpg,0.80981212277608,0.708069086150421
13,14,1,S3-12.jpg,0.816671150828766,0.704625744979642
13,15,1,S3-12.jpg,0.814278798480266,0.700950345995814
13,16,1,S3-12.jpg,0.819887587321533,0.709809189012095
13,17,1,S3-12.jpg,0.817800311283726,0.716442890773961
13,18,1,S3-12.jpg,0.822600377084704,0.714096585860525
13,19,1,S3-12.jpg,0.826153001008818,0.719583251638219
13,20,1,S3-12.jpg,0.829275793171273,0.717525048185278
13,21,1,S3-12.jpg,0.828140516089015,0.7223045650242
13,22,1,S3-12.jpg,0.826949720992679,0.725851612635352
13,23,1,S3-12.jpg,0.825694803950344,0.728976599725712
13,24,1,S3-12.jpg,0.824365951076938,0.731305679162181
13,25,1,S3-12.jpg,0.822974038810419,0.733065099242902
13,1,2,S4-20.jpg,0.634258305431455,0.534258305431454
13,2,2,S4-20.jpg,0.714759658408963,0.496357985683836
13,3,2,S4-20.jpg,0.759414494947073,0.459414585222726
13,4,2,S4-20.jpg,0.747122388406046,0.541775895355015
13,5,2,S4-20.jpg,0.776849124385137,0.512791635082614
13,6,2,S4-20.jpg,0.768283047644688,0.578437233126169
