subID,model,loss,condition,m_noise1_fitted,m_noise1_min,m_noise1_max,m50_noise1_fitted,m50_noise1_min,m50_noise1_max,m_signal1_fitted,m_signal1_min,m_signal1_max,m50_signal1_fitted,m50_signal1_min,m50_signal1_max,v_signal1_fitted,v_signal1_min,v_signal1_max,v50_signal1_fitted,v50_signal1_min,v50_signal1_max,m_noise2_fitted,m_noise2_min,m_noise2_max,m50_noise2_fitted,m50_noise2_min,m50_noise2_max,m_signal2_fitted,m_signal2_min,m_signal2_max,m50_signal2_fitted,m50_signal2_min,m50_signal2_max,v_signal2_fitted,v_signal2_min,v_signal2_max,v50_signal2_fitted,v50_signal2_min,v50_signal2_max,B_fitted,B_min,B_max,nondectime_fitted,nondectime_min,nondectime_max
32,12drift_contCue,396.4692731716471,condition_80cue,0.5733849091449488,0.0,10.0,0.019777378275436033,0.0,10.0,0.8530802835068374,0.0,10.0,0.41144004333085704,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.9219429017809642,0.0,10.0,1.015787076829373,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.8478447440667845,0.0,10.0,8.877375880228755,0.0,10.0,1.0916513209776877,0.5,25.0,0.8246160786437832,0.01,1.5
33,12drift_contCue,320.545042761289,condition_80cue,0.6913653191627394,0.0,10.0,1.8534213978690952,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.6889608514517769,0.0,10.0,0.9744847710141143,0.0,10.0,2.335044431928555,0.0,10.0,0.8901535749019426,0.0,10.0,7.165671537885147,0.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,0.9505983542686458,0.5,25.0,1.3746351813573277,0.01,1.5
35,12drift_contCue,189.73916935080726,condition_80cue,1.7710128504757898,0.0,10.0,1.0882581951669779,0.0,10.0,5.987646635480033,0.0,10.0,0.0,0.0,10.0,1.2718512948093457,0.0,10.0,0.0,0.0,10.0,3.32621387016818,0.0,10.0,8.428580152895172,0.0,10.0,2.4386551267827636,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.6471191087248993,0.5,25.0,0.869490333649443,0.01,1.5
36,12drift_contCue,265.06251303075805,condition_80cue,1.396781929306743,0.0,10.0,2.068592945656649,0.0,10.0,0.6336327800312747,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,4.9279096514670515,0.0,10.0,9.397882914507573,0.0,10.0,2.615308359635998,0.0,10.0,2.6549910811838164,0.0,10.0,1.9715321607557779,0.0,10.0,6.904309887703664,0.0,10.0,0.7326394707058661,0.5,25.0,1.2084522815552547,0.01,1.5
37,12drift_contCue,593.9034292300223,condition_80cue,0.4652841594952098,0.0,10.0,0.9552715120426432,0.0,10.0,0.6113166527762033,0.0,10.0,0.6168518208269448,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.17889277841450452,0.0,10.0,0.0,0.0,10.0,1.4561613903461588,0.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.9085671853951034,0.5,25.0,1.0296890529460723,0.01,1.5
38,12drift_contCue,338.95007392874993,condition_80cue,2.6338936406234534,0.0,10.0,0.5204242365636707,0.0,10.0,0.0,0.0,10.0,0.40451349723021746,0.0,10.0,3.5405450508820917,0.0,10.0,5.933223693484358,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,4.058620910940535,0.0,10.0,2.703126305555952,0.0,10.0,6.3338044514390255,0.0,10.0,8.823808983368352,0.0,10.0,5.046901978560147,0.5,25.0,0.014915900727910936,0.01,1.5
39,12drift_contCue,553.8794458427276,condition_80cue,0.88571414921983,0.0,10.0,0.7824643043428392,0.0,10.0,0.582538787398913,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.3116722773395431,0.0,10.0,0.7930216983422763,0.0,10.0,2.3475930781261365,0.0,10.0,0.4418056422411134,0.0,10.0,10.0,0.0,10.0,2.79650798510938,0.0,10.0,10.0,0.0,10.0,0.9579075496741947,0.5,25.0,0.9925334502709685,0.01,1.5
40,12drift_contCue,375.2286304347724,condition_80cue,1.2903524951245684,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.153767639650622,0.0,10.0,5.701233215093098,0.0,10.0,0.0,0.0,10.0,0.5342666501298355,0.0,10.0,0.2790404522902538,0.0,10.0,1.417038040966174,0.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,4.142904007642862,0.5,25.0,0.013102969492587047,0.01,1.5
41,12drift_contCue,697.4361183489681,condition_80cue,0.0,0.0,10.0,0.0,0.0,10.0,1.9530402647550171,0.0,10.0,2.3970437875054866,0.0,10.0,2.701559121729141,0.0,10.0,3.5926955260038125,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,6.828367715597766,0.0,10.0,3.2237824832349253,0.0,10.0,0.0,0.0,10.0,6.048156153419752,0.0,10.0,5.308353235817975,0.5,25.0,0.054727049634825775,0.01,1.5
42,12drift_contCue,289.618957896679,condition_80cue,0.34984607792964467,0.0,10.0,0.2955081613778268,0.0,10.0,3.2782947234179725,0.0,10.0,0.0,0.0,10.0,0.014625590992600981,0.0,10.0,4.5021465625372254,0.0,10.0,4.7410380926104345,0.0,10.0,7.068528518940145,0.0,10.0,7.863029824616071,0.0,10.0,5.427418406814708,0.0,10.0,5.362552907040918,0.0,10.0,10.0,0.0,10.0,2.38359387060075,0.5,25.0,1.4681931845538396,0.01,1.5
