"subID","block","trial","targetName","targetIdx","response","accuracy","RT","respFrame","totalEv_signal1","targetEv_signal1","totalEv_signal2","targetEv_signal2","confidence","confRT","flickerDuration","coherence","noise1frames_design","signal1Onset_design","signal1frames_design","noise2Onset_design","noise2frames_design","signal2Onset_design","signal2frames_design","noise1frames_obs","signal1frames_obs","noise2frames_obs","signal2frames_obs","postFlickerResp","accuracyFactor","zlogRT"
"32",1,26,"S3-12.jpg","1",1,1,3.37463716701313,NA,12,8,31,23,4,0.878043707998586,2.82603024999844,0.721212063860231,54,55,30,86,84,171,69,54,30,84,70,1,"1",1.15970148671423
"32",1,27,"S4-20.jpg","2",1,0,2.99839866701222,216,22,6,6,2,1,0.673314749990823,3.00071104201197,0.663787019121311,64,65,60,126,56,183,57,64,60,56,34,0,"0",0.643509292666689
"32",1,28,"S3-12.jpg","1",2,0,3.56736312501016,NA,16,11,35,26,3,0.726946374998079,3.00071104201197,0.721212063860231,65,66,30,97,73,171,69,65,30,73,70,1,"0",1.40222645338794
"32",1,29,"S4-20.jpg","2",2,1,2.97038637500373,214,20,6,16,7,3,0.497213042006479,2.97217508300673,0.663787019121311,69,70,34,105,65,171,69,69,34,65,44,0,"1",0.602521441671982
"32",1,30,"S3-12.jpg","1",1,1,2.52741725000669,182,13,12,4,3,1,0.360628916998394,2.52944037500129,0.721212063860231,46,47,41,89,86,176,64,46,41,86,7,0,"1",-0.102684452213913
"33",1,1,"S2-19.jpg","1",2,0,2.10132291699983,150,15,7,NA,NA,NA,NA,2.10449149999999,0.52511848496802,55,56,31,88,67,156,84,55,31,63,NA,0,"0",-0.084742815212033
"33",1,2,"S2-19.jpg","1",1,1,1.53023137499986,110,16,3,NA,NA,NA,NA,1.53258066600006,0.52511848496802,54,55,33,89,71,161,79,54,33,22,NA,0,"1",-1.08399370921661
"33",1,3,"S1-15.jpg","2",2,1,1.38323987500007,93,16,11,NA,NA,NA,NA,1.38575329200012,0.754625511720623,47,48,32,81,70,152,88,47,32,13,NA,0,"1",-1.40218825485841
"33",1,4,"S1-15.jpg","2",2,1,1.02144087500005,65,0,0,NA,NA,NA,NA,1.02392262500007,0.754625511720623,88,89,34,124,52,177,63,65,NA,NA,NA,0,"1",-2.35753698808898
"33",1,5,"S2-19.jpg","1",2,0,0.91323516600005,57,0,0,NA,NA,NA,NA,0.916517541000076,0.52511848496802,56,57,31,89,82,172,68,56,1,NA,NA,0,"0",-2.71034442200404
"33",1,6,"S2-19.jpg","1",1,1,2.18262237499994,147,23,11,NA,NA,NA,NA,2.18533037499992,0.52511848496802,67,68,46,115,72,188,52,67,46,33,NA,0,"1",0.0348591259879856
"33",1,7,"S2-19.jpg","1",2,0,1.72644245800007,112,22,9,NA,NA,NA,NA,1.72872104199996,0.52511848496802,55,56,45,102,83,186,54,55,45,11,NA,0,"0",-0.703876148370511
"33",1,8,"S1-15.jpg","2",1,0,1.51810662499997,99,12,9,NA,NA,NA,NA,1.52027645800013,0.754625511720623,74,75,30,106,59,166,74,74,25,NA,NA,0,"0",-1.10905793600876
"33",1,9,"S2-19.jpg","1",1,1,2.51472979200003,180,18,9,14,4,3,1.223208333,2.51651445899984,0.52511848496802,66,67,37,105,48,154,86,66,37,48,27,0,"1",0.481124304085339
"33",1,10,"S2-19.jpg","1",2,0,2.48106620800013,177,19,12,1,0,2,0.721199500000012,2.48303616700014,0.52511848496802,84,85,39,125,49,175,65,84,39,49,3,0,"0",0.438661900154119
"33",1,11,"S2-19.jpg","1",1,1,2.95053558400014,210,16,8,22,9,4,0.985806124999954,2.95281583400015,0.52511848496802,82,83,33,117,50,168,72,82,33,50,43,0,"1",0.984679572189312
"33",1,12,"S1-15.jpg","2",1,0,2.28109829200002,163,18,14,NA,NA,2,1.50533383300012,2.28343566700005,0.754625511720623,81,82,36,119,49,169,71,81,36,45,NA,0,"0",0.173901074608573
"33",1,13,"S1-15.jpg","2",2,1,3.42995033300008,NA,17,13,38,29,3,1.06683550000002,2.28343566700005,0.754625511720623,70,71,35,107,57,165,75,70,35,57,76,1,"1",1.45905183294815
"33",1,14,"S1-15.jpg","2",2,1,2.18048179200014,156,24,20,NA,NA,3,1.16018412500011,2.18251666700007,0.754625511720623,49,50,47,98,58,157,83,49,47,59,NA,0,"1",0.0317675574868745
"33",1,15,"S1-15.jpg","2",2,1,1.69579750000003,121,15,11,NA,NA,1,1.71883895800011,1.69802608300006,0.754625511720623,56,57,32,90,54,145,95,56,32,32,NA,0,"1",-0.760305171202921
"33",1,16,"S2-19.jpg","1",1,1,2.27617870800009,162,16,6,NA,NA,3,0.358811249999917,2.27847120800016,0.52511848496802,80,81,34,116,61,178,62,80,34,47,NA,0,"1",0.167098622842069
"33",1,17,"S1-15.jpg","2",2,1,2.341145375,167,30,22,NA,NA,3,0.393450208000104,2.34317062499986,0.754625511720623,65,66,60,127,90,218,22,65,60,41,NA,0,"1",0.255767506099678
"33",1,18,"S2-19.jpg","1",1,1,2.22110104199987,159,21,8,NA,NA,4,0.709175791999996,2.22320650000006,0.52511848496802,52,53,43,97,64,162,78,52,43,63,NA,0,"1",0.0899213039202656
"33",1,19,"S1-15.jpg","2",2,1,2.51129266700013,179,20,14,NA,NA,3,0.439681958999927,2.51358562500013,0.754625511720623,90,91,42,134,89,224,16,90,42,46,NA,0,"1",0.476814938708402
"33",1,20,"S1-15.jpg","2",2,1,2.3454242910002,167,16,12,6,5,3,0.569623083000124,2.34773541600021,0.754625511720623,71,72,32,105,49,155,85,71,32,49,13,0,"1",0.261520860845188
"33",1,21,"S1-15.jpg","2",2,1,2.90208504199995,207,18,15,32,23,4,0.401767374999963,2.90438004199996,0.754625511720623,49,50,37,88,54,143,97,49,37,54,65,0,"1",0.932512010750624
"33",1,22,"S1-15.jpg","2",2,1,2.39710941700014,171,15,11,13,11,2,0.438948292000077,2.399406,0.754625511720623,51,52,30,83,62,146,94,51,30,62,26,0,"1",0.330198395440337
"33",1,23,"S2-19.jpg","1",1,1,2.85704787500003,204,22,12,NA,NA,1,0.575420249999979,2.85902650000003,0.52511848496802,90,91,44,136,69,206,34,90,44,69,NA,0,"1",0.883232638828952
"33",1,24,"S1-15.jpg","2",2,1,2.26502608299984,139,17,13,NA,NA,3,0.385417582999935,2.26705912499983,0.754625511720623,86,87,36,124,85,210,30,86,36,16,NA,0,"1",0.151622960909372
"33",1,25,"S1-15.jpg","2",2,1,2.2782246669999,162,20,15,NA,NA,3,0.458090958000184,2.28052137500003,0.754625511720623,76,77,41,119,47,167,73,76,41,44,NA,0,"1",0.169929413877256
"33",1,26,"S2-19.jpg","1",1,1,3.48799662500005,NA,16,10,36,15,2,1.022799416,2.28052137500003,0.52511848496802,87,88,33,122,46,169,71,87,33,46,72,1,"1",1.51192676171048
"33",1,27,"S2-19.jpg","1",1,1,3.53648054199994,NA,19,10,27,11,2,1.01301679199992,2.28052137500003,0.52511848496802,64,65,40,106,80,187,53,64,40,80,54,1,"1",1.55542112115167
"33",1,28,"S2-19.jpg","1",1,1,2.35336241699997,168,29,15,6,1,3,0.328724082999997,2.35558675000016,0.52511848496802,48,49,60,110,46,157,83,48,60,46,12,0,"1",0.272166580329945
"33",1,29,"S1-15.jpg","2",2,1,2.02408600000012,144,17,13,5,2,3,0.752063207999981,2.02609079100012,0.754625511720623,46,47,35,83,52,136,104,46,35,52,9,0,"1",-0.202734397943461
"33",1,30,"S2-19.jpg","1",1,1,1.99559537499999,143,18,7,NA,NA,3,0.370592291000094,1.99787612499995,0.52511848496802,72,73,38,112,51,164,76,72,38,32,NA,0,"1",-0.24739863996886
"35",1,1,"S2-19.jpg","1",1,1,1.1519884579975,83,14,8,NA,NA,NA,NA,1.15503254099895,0.633456344187163,54,55,31,87,48,136,104,54,29,NA,NA,0,"1",-0.712474176833891
"35",1,2,"S2-19.jpg","1",2,0,1.11768925000069,81,0,0,NA,NA,NA,NA,1.12038583300091,0.633456344187163,87,88,42,131,83,215,25,81,NA,NA,NA,0,"0",-0.936791427284596
"35",1,3,"S2-19.jpg","1",1,1,1.3632757919986,91,14,10,NA,NA,NA,NA,1.36516291699809,0.633456344187163,63,64,30,95,65,161,79,63,28,NA,NA,0,"1",0.53727886525947
"35",1,4,"S2-19.jpg","1",2,0,1.47517312499986,99,12,7,NA,NA,NA,NA,1.47726420899926,0.633456344187163,75,76,43,120,71,192,48,75,24,NA,NA,0,"0",1.12270686865967
"35",1,5,"S2-19.jpg","1",2,0,1.17716762499913,80,0,0,NA,NA,NA,NA,1.1792565830001,0.633456344187163,88,89,37,127,90,218,22,80,NA,NA,NA,0,"0",-0.552013213770969
"35",1,6,"S1-15.jpg","2",1,0,1.21359320800184,79,12,10,NA,NA,NA,NA,1.21568575000128,0.732151982808058,55,56,31,88,47,136,104,55,24,NA,NA,0,"0",-0.325854306243975
"35",1,7,"S2-19.jpg","1",2,0,1.20102429200051,78,14,7,NA,NA,NA,NA,1.20315233400106,0.633456344187163,50,51,46,98,75,174,66,50,28,NA,NA,0,"0",-0.403115802152762
"35",1,8,"S1-15.jpg","2",1,0,1.21687200000088,79,13,9,NA,NA,NA,NA,1.21910770899922,0.732151982808058,53,54,33,88,50,139,101,53,26,NA,NA,0,"0",-0.305831062614822
"35",1,9,"S2-19.jpg","1",1,1,1.05227216599815,76,14,8,NA,NA,2,1.19934708299843,1.05460949999906,0.633456344187163,48,49,33,83,78,162,78,48,28,NA,NA,0,"1",-1.38438155278816
"35",1,10,"S1-15.jpg","2",2,1,1.12012454200158,81,13,10,NA,NA,4,0.587321791001159,1.12308004200167,0.732151982808058,55,56,41,98,70,169,71,55,26,NA,NA,0,"1",-0.920639030386497
"35",1,11,"S1-15.jpg","2",1,0,1.21510666600079,88,4,3,NA,NA,3,1.00001741699816,1.21733812499951,0.732151982808058,81,82,37,120,63,184,56,81,7,NA,NA,0,"0",-0.316605061125964
"35",1,12,"S1-15.jpg","2",2,1,1.20344000000114,87,15,13,NA,NA,4,0.450742332999653,1.20594600000186,0.732151982808058,56,57,60,118,66,185,55,56,31,NA,NA,0,"1",-0.388203799854622
"35",1,13,"S2-19.jpg","1",1,1,1.22108741699776,88,3,2,NA,NA,3,0.658324750002066,1.22333920899837,0.633456344187163,82,83,47,131,56,188,52,82,6,NA,NA,0,"1",-0.280167070498165
"35",1,14,"S2-19.jpg","1",2,0,1.83506745900013,132,17,8,NA,NA,1,0.532311999999365,1.83752083400032,0.633456344187163,77,78,34,113,54,168,72,77,34,20,NA,0,"0",2.74281933060834
"35",1,15,"S1-15.jpg","2",2,1,1.58601691700096,114,16,14,NA,NA,4,0.546474416998535,1.58821787499983,0.732151982808058,83,84,38,123,46,170,70,83,31,NA,NA,0,"1",1.66038293453293
"35",1,16,"S1-15.jpg","2",1,0,1.15227866699934,83,3,3,NA,NA,1,0.827175583999633,1.15448016700248,0.732151982808058,76,77,34,112,73,186,54,76,7,NA,NA,0,"0",-0.710604839119776
"35",1,17,"S1-15.jpg","2",2,1,1.28997587499907,93,11,9,NA,NA,3,0.736807083001622,1.29246820800108,0.732151982808058,70,71,35,107,87,195,45,70,23,NA,NA,0,"1",0.127126451998218
"35",1,18,"S1-15.jpg","2",2,1,1.23477224999806,89,18,15,NA,NA,3,0.933688167002401,1.23698837499978,0.732151982808058,49,50,36,87,47,135,105,49,36,3,NA,0,"1",-0.197458567468965
"35",1,19,"S2-19.jpg","1",1,1,1.39846283400038,101,7,5,NA,NA,4,0.326332457996614,1.40079462500216,0.633456344187163,86,87,32,120,64,185,55,86,15,NA,NA,0,"1",0.726397096228236
"35",1,20,"S1-15.jpg","2",2,1,1.18412199999875,86,15,12,NA,NA,3,1.35487641600048,1.18623495800057,0.732151982808058,56,57,32,90,46,137,103,56,30,NA,NA,0,"1",-0.508299287828713
"35",1,21,"S1-15.jpg","2",2,1,1.6073319169991,116,22,18,NA,NA,2,0.594292583999049,1.6094457500003,0.732151982808058,61,62,44,107,48,156,84,61,44,10,NA,0,"1",1.75945589357271
"35",1,22,"S2-19.jpg","1",2,0,1.53871708400038,111,30,21,NA,NA,1,0.626121500001318,1.5409990420012,0.633456344187163,51,52,60,113,55,169,71,51,60,NA,NA,0,"0",1.43568998851508
"35",1,23,"S1-15.jpg","2",2,1,1.40044175000003,101,16,12,NA,NA,3,0.318823041001451,1.4028856670011,0.732151982808058,68,69,36,106,50,157,83,68,33,NA,NA,0,"1",0.736891289269547
"35",1,24,"S1-15.jpg","2",1,0,1.10764341699905,80,17,13,NA,NA,2,0.404415790999337,1.10942508299922,0.732151982808058,46,47,39,87,52,140,100,46,34,NA,NA,0,"0",-1.00379588108411
"35",1,25,"S1-15.jpg","2",2,1,1.2498210829981,90,15,12,NA,NA,3,0.350553833999584,1.25224879099915,0.732151982808058,51,52,30,83,84,168,72,51,30,8,NA,0,"1",-0.107557980324158
"35",1,26,"S2-19.jpg","1",1,1,1.05210449999868,75,7,3,NA,NA,4,1.12046879199988,1.05417058400053,0.633456344187163,60,61,45,107,61,169,71,60,15,NA,NA,0,"1",-1.38556413470973
"35",1,27,"S2-19.jpg","1",2,0,1.105280415999,80,16,7,NA,NA,2,1.24797124999895,1.10734783299995,0.633456344187163,48,49,35,85,50,136,104,48,32,NA,NA,0,"0",-1.01964507993941
"35",1,28,"S2-19.jpg","1",2,0,1.26160658400113,91,19,15,NA,NA,1,0.786904167001921,1.26367987499907,0.633456344187163,50,51,40,92,52,145,95,50,41,NA,NA,0,"0",-0.0379049087301863
"35",1,29,"S2-19.jpg","1",1,1,1.21716262499831,88,15,12,NA,NA,4,0.431181791998824,1.21959695799887,0.633456344187163,52,53,32,86,58,145,95,52,32,3,NA,0,"1",-0.304058849579794
"35",1,30,"S1-15.jpg","2",1,0,1.44167025000206,104,12,8,NA,NA,2,0.585095458001888,1.44390741700045,0.732151982808058,80,81,33,115,46,162,78,80,24,NA,NA,0,"0",0.952217313695077
"36",1,1,"S4-20.jpg","2",2,1,2.05615016700176,148,19,14,NA,NA,NA,NA,2.05863533399679,0.670175219156544,90,91,39,131,90,222,18,90,39,18,NA,0,"1",1.77786315791864
