cue,coherence,congruent,threshold,memoryThinning,noise1Frames,signal1Onsets,signal1Frames,noise2Onsets,noise2Frames,signal2Onsets,signal2Frames,signal1_vizEv,signal2_vizEv,rawChoice,forcedChoice,RT,startPoint1,startPoint2,subID,nTrial,nFrames,trialTarget
0.5,0.5395,0,5,12,85,86,218,304,88,392,241,-6.73157971206561,8.16148109845278,1,1,217,1.67403376019035,-4.10802758136064,1,50,632,2
0.5,0.5395,0,5,12,75,76,28,104,106,210,423,1.41848480757544,-32.5512726841152,1,1,285,0.446513119828472,-1.76150847135462,1,50,632,2
0.5,0.5395,0,5,12,83,84,28,112,104,216,417,-2.46654158377456,2.17983863959048,1,1,133,-3.70117309492096,-7.90074915161311,1,50,632,2
0.5,0.5395,0,5,12,76,77,29,106,75,181,452,-12.2209503552088,12.1061500000811,1,1,91,-1.76095501295155,-10.9013745073873,1,50,632,2
0.5,0.5395,0,5,12,102,103,38,141,76,217,416,0.0109750090608796,-23.5017076250407,1,1,333,-1.28348797870888,-2.51983066390113,1,50,632,2
0.5,0.5395,0,5,12,89,90,25,115,83,198,435,3.48657027809052,-14.9153596469027,1,1,287,0.887344393619584,1.36631889930954,1,50,632,2
0.5,0.5395,0,5,12,77,78,44,122,90,212,421,0.372210727086688,-14.8152310281187,0,0,267,-1.11782643594495,-2.71913584891828,1,50,632,2
0.5,0.5395,0,5,12,78,79,39,118,78,196,437,10.0281747288582,-16.0721426473809,0,0,97,2.10132005698514,7.589861117527,1,50,632,2
0.5,0.5395,0,5,12,85,86,32,118,75,193,440,-5.73080905220483,-23.3758935758622,1,1,111,-1.78305326715788,-3.86147379311115,1,50,632,2
0.5,0.5395,0,5,12,90,91,55,146,75,221,412,-11.1076621394317,-25.5362564762686,1,1,107,0.0299847408874635,-3.30546644688895,1,50,632,2
0.5,0.5395,0,5,12,105,106,40,146,270,416,217,-0.964107293183808,2.02523640668537,NaN,1,632,-0.267088091874195,-2.48515662229534,1,50,632,2
0.5,0.5395,0,5,12,82,83,51,134,85,219,414,-10.259177701193,-24.0172501363356,1,1,169,0.563426218176457,-5.98065929175219,1,50,632,2
0.5,0.5395,0,5,12,80,81,46,127,95,222,411,-5.63257965133074,-19.5834353996586,1,1,133,0.628569834591444,-8.06136102857181,1,50,632,2
0.5,0.5395,0,5,12,86,87,31,118,105,223,410,-7.96133080452624,-12.7634096869122,1,1,355,1.59703791325246,-2.26762417110672,1,50,632,2
0.5,0.5395,0,5,12,81,82,36,118,94,212,421,-1.02161656680832,-27.2713082464822,1,1,219,-0.711501475108743,-2.27873649846664,1,50,632,2
0.5,0.5395,0,5,12,82,83,33,116,77,193,440,8.76271503679791,-11.888363230995,0,0,101,1.4638255116649,7.15955220953551,1,50,632,2
0.5,0.5395,1,5,12,87,88,54,142,90,232,401,-5.52838338846562,13.1920733409953,1,1,289,1.06914826651635,-0.389611984936481,10,50,632,1
0.5,0.5395,1,5,12,75,76,53,129,80,209,424,-12.905107584008,-3.55236428661551,0,0,119,1.13715403660317,-6.77316055311039,10,50,632,1
0.5,0.5395,1,5,12,78,79,37,116,86,202,431,3.93300153826703,20.2613401116865,1,1,315,0.113642974427524,-1.68608093555891,10,50,632,1
0.5,0.5395,1,5,12,79,80,46,126,106,232,401,-14.0581135569314,35.1461119636675,0,0,93,-3.77966675736463,-9.93523849460788,10,50,632,1
0.5,0.5395,1,5,12,75,76,31,107,81,188,445,1.62911859379912,23.2371294951691,0,0,259,0.616262986002389,-0.347897705616129,10,50,632,1
0.5,0.5395,1,5,12,104,105,55,160,83,243,390,3.37333716115059,22.1599762748942,1,1,273,1.26649165337099,-1.10574851517029,10,50,632,1
0.5,0.5395,1,5,12,102,103,45,148,92,240,393,-10.6906867166571,17.9440242099092,0,0,145,0.104959242768078,-4.31438199201548,10,50,632,1
0.5,0.5395,1,5,12,78,79,32,111,75,186,447,-0.277550596010963,3.82342161579021,1,1,237,1.68022529066182,0.773045597794156,10,50,632,1
0.5,0.5395,1,5,12,97,98,51,149,81,230,403,1.13175012787656,30.1846161845227,1,1,103,2.93347033696254,1.71397795346008,10,50,632,1
0.5,0.5395,1,5,12,101,102,42,144,76,220,413,-6.35456216752602,19.8535770321212,1,1,243,2.00689634189969,0.236165797576267,10,50,632,1
0.5,0.5395,1,5,12,94,95,35,130,75,205,428,-4.51518348553889,34.5152674527752,0,0,213,0.819772793868831,-2.09636572930143,10,50,632,1
0.5,0.5395,1,5,12,92,93,26,119,82,201,432,1.49915410783654,21.2126979430342,1,1,303,-3.78707834258407,-1.52840469683354,10,50,632,1
0.5,0.5395,1,5,12,90,91,23,114,104,218,415,9.43734064242054,18.5743202952414,1,1,437,-2.23026916798713,3.70778593998413,10,50,632,1
0.5,0.5395,1,5,12,86,87,28,115,79,194,439,5.2697225456948,22.1476395057244,1,1,193,0.22892787012889,5.48921199883072,10,50,632,1
0.5,0.5395,1,5,12,93,94,23,117,94,211,422,-7.87981113262858,26.9596565239509,0,0,37,-1.20231627951866,-2.27237066844568,10,50,632,1
0.5,0.5395,1,5,12,75,76,40,116,80,196,437,2.76220176049722,18.7882886552974,1,1,225,-0.0500442243675774,1.6869929743843,10,50,632,1
0.5,0.5395,1,5,12,270,271,27,298,88,386,247,0,17.6452043317676,1,1,293,0.444950285918118,7.20630196287954,10,50,632,1
0.5,0.5395,1,5,12,103,104,29,133,87,220,413,3.51833121139888,21.0387779470312,1,1,73,6.33491037664304,14.3462877552089,10,50,632,1
0.5,0.5395,1,5,12,82,83,36,119,78,197,436,3.16130044388412,-18.273976535224,0,0,245,1.22365351179111,-1.18552139252452,10,50,632,1
0.5,0.5395,1,5,12,95,96,33,129,105,234,399,9.42944791801505,10.1132529294686,1,1,157,-2.27314915454079,5.13358996382813,10,50,632,1
0.5,0.5395,1,5,12,88,89,23,112,82,194,439,2.82068997344646,31.645569720989,0,0,233,-2.73856661111719,-1.53583858879577,10,50,632,1
0.5,0.5395,1,5,12,79,80,34,114,75,189,444,-4.03156637595228,6.96330333714479,0,0,191,0.33480151961112,-3.46464432537755,10,50,632,1
0.5,0.5395,1,5,12,91,92,33,125,75,200,433,5.67120603667983,24.1736890730445,1,1,299,-0.903018440931393,2.04839330843862,10,50,632,1
0.5,0.5395,1,5,12,83,84,32,116,77,193,440,-7.38747804623303,5.6645623900623,1,1,233,1.43911388830544,-1.43881230543845,10,50,632,1
0.5,0.5395,1,5,12,105,106,52,158,99,257,376,-3.44191569665867,45.4745442345092,1,1,393,-1.28107018436087,-1.55013876934225,10,50,632,1
0.5,0.5395,0,5,12,106,107,25,132,91,223,410,-3.59004548028844,-15.4510484327446,1,1,121,-4.51765250433376,-2.70327826396483,10,50,632,2
0.5,0.5395,0,5,12,75,76,23,99,93,192,441,3.70664743852835,-33.4419198163882,0,0,95,2.91937029132458,4.30411887073369,10,50,632,2
0.5,0.5395,0,5,12,81,82,28,110,96,206,427,-5.52468368844279,-25.4285040038743,1,1,247,0.949922190409984,0.366464316744615,10,50,632,2
0.5,0.5395,0,5,12,83,84,49,133,77,210,423,1.61159763387903,-32.4592986719824,0,0,205,0.198171061424325,5.00012824010719,10,50,632,2
0.5,0.5395,0,5,12,96,97,38,135,100,235,398,3.1837110543181,-5.32700142646773,0,0,193,0.862003554924062,4.64490207406184,10,50,632,2
0.5,0.5395,0,5,12,76,77,39,116,102,218,415,-0.740141827150098,-20.1670732535888,0,0,249,0.919329658511196,0.896428999477027,10,50,632,2
0.5,0.5395,0,5,12,75,76,48,124,84,208,425,5.53793291848767,-24.7996122598297,1,1,263,0.0868408353468598,1.53306160081751,10,50,632,2
0.5,0.5395,0,5,12,80,81,26,107,75,182,451,-3.01459068811605,-15.3622308421658,1,1,145,-0.749553546433222,-4.2332541144883,10,50,632,2
0.5,0.5395,0,5,12,75,76,50,126,85,211,422,1.55790030970598,-22.6339799148181,0,0,109,0.874386248039816,1.55362676054724,10,50,632,2
0.5,0.5395,0,5,12,100,101,43,144,78,222,411,-11.6072188372822,-13.9500257539448,1,1,125,-4.22076067144701,-11.1571949401133,10,50,632,2
0.5,0.5395,0,5,12,89,90,25,115,75,190,443,12.4261777904297,2.11855919704925,0,0,99,0.192752622137229,7.07707359536839,10,50,632,2
0.5,0.5395,0,5,12,85,86,30,116,95,211,422,6.0242326537793,-5.47877063741111,0,0,169,1.33972852211952,5.83405374831516,10,50,632,2
0.5,0.5395,0,5,12,99,100,23,123,75,198,435,-4.96454922461601,-3.49429540096067,1,1,121,-0.829788851588992,-4.87320939832071,10,50,632,2
0.5,0.5395,0,5,12,98,99,24,123,97,220,413,0.477271410958027,-36.8986784353325,0,0,221,1.71674589134949,3.76363077542374,10,50,632,2
0.5,0.5395,0,5,12,82,83,47,130,101,231,402,-1.25017463868042,-36.4825783529257,1,1,373,2.32621964796582,2.02055405408527,10,50,632,2
0.5,0.5395,0,5,12,107,108,30,138,98,236,397,9.47309510841335,-19.7985575129711,0,0,133,0.845635633412964,5.98497122230766,10,50,632,2
0.5,0.5395,0,5,12,80,81,218,299,89,388,245,-1.29110689585032,-9.30576531135364,1,1,207,-0.989612486461397,2.21960758825049,10,50,632,2
0.5,0.5395,0,5,12,75,76,44,120,75,195,438,-0.494741059802748,-50.3780302811665,1,1,233,1.21318355415682,-0.461063896212889,10,50,632,2
0.5,0.5395,0,5,12,75,76,41,117,270,387,246,-8.90587340495969,-26.2274211714975,1,1,111,-1.0000441281964,-3.78611592383601,10,50,632,2
0.5,0.5395,0,5,12,77,78,23,101,79,180,453,-0.651425960157941,-31.809579550223,0,0,207,-2.17335491299491,0.641713240981508,10,50,632,2
0.5,0.5395,0,5,12,81,82,29,111,107,218,415,-10.5275379198236,-19.9854875551983,1,1,107,0.624406643200978,-6.80234965779833,10,50,632,2
0.5,0.5395,0,5,12,84,85,31,116,103,219,414,-3.24762017509867,-30.123081028125,1,1,263,1.81211412405403,2.24113122170986,10,50,632,2
0.5,0.5395,0,5,12,84,85,27,112,83,195,438,1.48973345029502,19.9065607943517,1,1,231,-0.945924006759183,0.355385648085738,10,50,632,2
0.5,0.5395,0,5,12,85,86,23,109,84,193,440,0.819369499466908,-14.567563635247,1,1,217,-1.02354518748619,-0.669689368743199,10,50,632,2
0.5,0.5395,0,5,12,77,78,23,101,85,186,447,4.2703530685383,-10.5597985594589,0,0,223,2.44936725288391,-0.0998683919584566,10,50,632,2
0.5,0.5395,1,5,12,106,107,39,146,75,221,412,-5.84082633274791,32.6675555015109,0,0,277,2.27089541326625,-0.17990598921518,100,50,632,1
0.5,0.5395,1,5,12,102,103,35,138,101,239,394,0.918164153008334,16.0655135628054,0,0,353,-0.365313087735715,-2.14301932646005,100,50,632,1
0.5,0.5395,1,5,12,81,82,44,126,84,210,423,7.67268055996718,9.28987027863466,0,0,85,-4.36835582354452,1.11808955830941,100,50,632,1
0.5,0.5395,1,5,12,75,76,24,100,95,195,438,-10.8932007578981,26.6610510346098,0,0,99,0.0168434395040544,-3.56655957862938,100,50,632,1
0.5,0.5395,1,5,12,77,78,53,131,79,210,423,-14.6334405273975,8.03289927174653,0,0,101,-3.412224334126,-14.5244736690429,100,50,632,1
0.5,0.5395,1,5,12,104,105,27,132,93,225,408,0.619650551488088,25.5255982250685,1,1,313,0.439908992049427,0.194118633880499,100,50,632,1
0.5,0.5395,1,5,12,79,80,26,106,84,190,443,0.918454918063515,15.1939534637782,1,1,363,2.47045951319751,4.24089201732559,100,50,632,1
0.5,0.5395,1,5,12,88,89,23,112,83,195,438,-3.36346147966011,-6.44868688372306,1,1,213,0.928889330111336,-0.99439055226396,100,50,632,1
0.5,0.5395,1,5,12,76,77,55,132,81,213,420,0.392012359874221,2.76512021966077,1,1,217,1.09261102984691,2.80076346138086,100,50,632,1
0.5,0.5395,1,5,12,107,108,45,153,75,228,405,-8.8622885133179,50.3909070013943,0,0,121,-4.9373087016805,-9.65037478073726,100,50,632,1
0.5,0.5395,1,5,12,83,84,23,107,75,182,451,-6.75311873740098,28.7831619683431,0,0,225,4.37608364207107,-1.56264725388478,100,50,632,1
0.5,0.5395,1,5,12,75,76,28,104,98,202,431,5.00180905671758,34.0773809339541,1,1,193,-1.27684757970333,5.53485891940538,100,50,632,1
0.5,0.5395,1,5,12,83,84,37,121,75,196,437,13.311087242478,28.8257761775307,1,1,115,-1.90808994381896,7.07362800825463,100,50,632,1
0.5,0.5395,1,5,12,82,83,48,131,82,213,420,11.0663484683577,31.5970648680003,1,1,129,-1.35307873394668,6.92311664125694,100,50,632,1
0.5,0.5395,1,5,12,90,91,29,120,99,219,414,2.69708913645665,12.9869876906727,1,1,289,-0.67801531519386,-1.81008216143009,100,50,632,1
