subID,block,trial,image,actualResponse,correctResponse,accuracy,RT
 19, 1, 1, S2-19.jpg, 2, 2, 1, 8.665639e-01, 
 19, 1, 2, S1-15.jpg, 1, 1, 1, 7.067790e-01, 
 19, 1, 3, S1-15.jpg, 1, 1, 1, 9.201073e-01, 
 19, 1, 4, S2-19.jpg, 2, 2, 1, 8.398592e-01, 
 19, 1, 5, S2-19.jpg, 2, 2, 1, 6.802510e-01, 
 19, 1, 6, S2-19.jpg, 2, 2, 1, 8.800248e-01, 
 19, 1, 7, S2-19.jpg, 2, 2, 1, 5.733427e-01, 
 19, 1, 8, S1-15.jpg, 1, 1, 1, 7.331856e-01, 
 19, 1, 9, S2-19.jpg, 2, 2, 1, 1.279970e+00, 
 19, 1, 10, S2-19.jpg, 2, 2, 1, 1.146652e+00, 
 19, 1, 11, S1-15.jpg, 1, 1, 1, 1.412839e+00, 
 19, 1, 12, S1-15.jpg, 1, 1, 1, 1.426587e+00, 
 19, 1, 13, S2-19.jpg, 2, 2, 1, 5.468656e-01, 
 19, 1, 14, S2-19.jpg, 2, 2, 1, 1.119758e+00, 
 19, 1, 15, S1-15.jpg, 1, 1, 1, 1.146216e+00, 
 19, 1, 16, S1-15.jpg, 1, 1, 1, 1.212865e+00, 
 19, 1, 17, S1-15.jpg, 1, 1, 1, 9.065272e-01, 
 19, 1, 18, S1-15.jpg, 1, 1, 1, 8.798967e-01, 
 19, 1, 19, S2-19.jpg, 2, 2, 1, 1.268120e+00, 
 19, 1, 20, S1-15.jpg, 1, 1, 1, 1.666206e+00, 
