subject_id,condition,8drifts_congIncong_allConditions,startPoint_only,8drifts_congIncong_allConditions_minus_startPoint_only
32,condition_80cue,405.759759918474,420.2643717871424,-14.504611868668405
33,condition_80cue,323.4966941690876,369.56128470677135,-46.06459053768373
35,condition_80cue,210.13808291450619,260.36203222602387,-50.223949311517686
36,condition_80cue,263.9884061686018,328.78512656035946,-64.79672039175767
37,condition_80cue,592.4601323122247,614.547827375469,-22.08769506324427
38,condition_80cue,445.5258091416889,618.4726300254948,-172.9468208838059
39,condition_80cue,562.4513769176802,584.5857947743647,-22.134417856684422
40,condition_80cue,371.35587446412967,473.07682730756494,-101.72095284343527
41,condition_80cue,861.7884397452225,733.4197791223484,128.36866062287413
42,condition_80cue,569.2861616480006,723.6978859679838,-154.41172431998314
43,condition_80cue,518.4661415050883,632.8064281666867,-114.34028666159838
44,condition_80cue,462.3010876147702,548.3649135508648,-86.06382593609459
45,condition_80cue,652.0593329778204,706.2213844747316,-54.162051496911204
46,condition_80cue,676.9051454047094,688.2411186709651,-11.335973266255678
47,condition_80cue,327.860208074621,468.2388380823276,-140.3786300077066
48,condition_80cue,643.4218212587524,807.7112506601115,-164.28942940135914
49,condition_80cue,394.5009062770979,418.9193125038093,-24.418406226711397
50,condition_80cue,71.65395599466824,442.0160486638069,-370.36209266913863
51,condition_80cue,539.9166067235712,543.4803845519511,-3.563777828379898
52,condition_80cue,525.8501131481677,675.2537038215161,-149.4035906733484
53,condition_80cue,994.2668540133267,801.2576400874415,193.0092139258852
54,condition_80cue,368.38286361946086,514.5837415681086,-146.20087794864776
55,condition_65cue,741.1550689522971,742.1240386237964,-0.9689696714992806
56,condition_65cue,675.7020525964285,679.493834081161,-3.791781484732496
57,condition_65cue,690.8296348677877,737.3668476753063,-46.537212807518586
58,condition_65cue,807.9070303219283,815.2209740936836,-7.313943771755248
59,condition_65cue,417.45649149362777,491.6953450484168,-74.23885355478905
60,condition_65cue,691.1081671462663,724.6817431696026,-33.57357602333627
61,condition_65cue,666.1202648706724,686.854040979289,-20.733776108616667
62,condition_65cue,610.2057462882536,687.1466088796831,-76.94086259142944
63,condition_65cue,942.1585345586496,779.0010933927524,163.15744116589724
64,condition_65cue,426.66661239747106,476.3836337791261,-49.71702138165506
65,condition_65cue,90.91014870230552,226.57050290155536,-135.66035419924984
66,condition_65cue,667.2330812808186,691.3454576183901,-24.112376337571504
67,condition_65cue,649.9705100330981,747.3420529686582,-97.37154293556011
68,condition_65cue,638.1686081751415,686.5345958395766,-48.365987664435124
69,condition_65cue,430.53801453750793,437.9947375948256,-7.456723057317674
70,condition_65cue,784.4570037223172,787.5061565341002,-3.049152811783074
71,condition_65cue,413.76864043380954,585.1943136384311,-171.4256732046216
72,condition_65cue,422.65627263875984,445.58771960356563,-22.931446964805787
