subID,block,trial,image,imageIdx,cue,congruent,response,accuracy,RT,cueDuration,learningRound
 21, 1, 30, S1-15.jpg, 1, 1, red, 1, 1, 1, 1.0472, 1.6167, 2
 21, 1, 1, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.5879, 1.2500, 2
 21, 1, 2, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.3848, 3.2500, 2
 21, 1, 3, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.4538, 1.2833, 2
 21, 1, 4, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.8416, 1.5500, 2
 21, 1, 5, S2-19.jpg, 2, 3, yellow, NaN, 1, 0, 1.0976, 1.4000, 2
 21, 1, 6, S2-19.jpg, 2, 2, blue, 1, 2, 1, 1.1366, 1.2500, 2
 21, 1, 7, S1-15.jpg, 1, 1, red, 1, 1, 1, 1.2457, 1.3167, 2
 21, 1, 8, S2-19.jpg, 2, 2, blue, 1, 2, 1, 1.0552, 1.4333, 2
 21, 1, 9, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.7732, 1.3333, 2
 21, 1, 10, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.9014, 1.2500, 2
 21, 1, 11, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.4021, 1.3500, 2
 21, 1, 12, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.2589, 1.5833, 2
 21, 1, 13, S2-19.jpg, 2, 1, red, 0, 2, 1, 0.3705, 1.2500, 2
 21, 1, 14, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.6074, 1.4500, 2
 21, 1, 15, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.4037, 1.3000, 2
 21, 1, 16, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.4470, 1.5667, 2
 21, 1, 17, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.9030, 1.5000, 2
 21, 1, 18, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.7299, 1.4833, 2
 21, 1, 19, S1-15.jpg, 1, 2, blue, 0, 2, 0, 1.2831, 1.2500, 2
 21, 1, 20, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.6259, 1.2500, 2
 21, 1, 21, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.6862, 1.3667, 2
 21, 1, 22, S1-15.jpg, 1, 3, yellow, NaN, 2, 0, 0.9983, 1.2500, 2
 21, 1, 23, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.4433, 1.5167, 2
 21, 1, 24, S2-19.jpg, 2, 3, yellow, NaN, 1, 0, 0.7812, 1.4167, 2
 21, 1, 25, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.7714, 1.2500, 2
 21, 1, 26, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 1.1764, 1.4667, 2
 21, 1, 27, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.5633, 1.6000, 2
 21, 1, 28, S2-19.jpg, 2, 1, red, 0, 2, 1, 0.3938, 1.3833, 2
 21, 1, 29, S1-15.jpg, 1, 2, blue, 0, 1, 1, 0.9932, 1.5333, 2
 21, 1, 30, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.6823, 1.6167, 2
