subID,block,trial,image,imageIdx,cue_rgb,cue_string,congruent,response,accuracy,RT, cueDuration,learningRound, 
 21, 1, 1, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.9226, 1.2500, 1
 21, 1, 2, S2-19.jpg, 2, 1, red, 0, 1, 0, 0.2785, 1.8667, 1
 21, 1, 3, S2-19.jpg, 2, 3, yellow, NaN, 1, 0, 1.3668, 1.2667, 1
 21, 1, 4, S2-19.jpg, 2, 1, red, 0, 2, 1, 0.3662, 1.3000, 1
 21, 1, 5, S2-19.jpg, 2, 3, yellow, NaN, 1, 0, 0.6888, 1.5000, 1
 21, 1, 6, S1-15.jpg, 1, 1, red, 1, 2, 0, 0.5715, 1.2500, 1
 21, 1, 7, S2-19.jpg, 2, 2, blue, 1, 1, 0, 0.6402, 1.2500, 1
 21, 1, 8, S1-15.jpg, 1, 2, blue, 0, 2, 0, 0.6530, 1.5167, 1
 21, 1, 9, S2-19.jpg, 2, 2, blue, 1, 1, 0, 0.3031, 1.3500, 1
 21, 1, 10, S1-15.jpg, 1, 1, red, 1, 2, 0, 0.7117, 1.3167, 1
 21, 1, 11, S1-15.jpg, 1, 1, red, 1, 2, 0, 0.5460, 1.2667, 1
 21, 1, 12, S1-15.jpg, 1, 1, red, 1, 2, 0, 1.5165, 1.2833, 1
 21, 1, 13, S2-19.jpg, 2, 2, blue, 1, 1, 0, 0.9695, 1.5500, 1
 21, 1, 14, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 1.0022, 1.7333, 1
 21, 1, 15, S2-19.jpg, 2, 2, blue, 1, 1, 0, 0.8514, 1.6000, 1
 21, 1, 16, S2-19.jpg, 2, 1, red, 0, 1, 0, 0.9464, 3.2500, 1
 21, 1, 17, S1-15.jpg, 1, 1, red, 1, 2, 0, 1.7830, 1.3833, 1
 21, 1, 18, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 2.0662, 1.8167, 1
 21, 1, 19, S2-19.jpg, 2, 2, blue, 1, 1, 0, 0.6694, 1.3000, 1
 21, 1, 20, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.8640, 1.4333, 1
 21, 1, 21, S1-15.jpg, 1, 3, yellow, NaN, 2, 0, 0.6295, 1.3500, 1
 21, 1, 22, S1-15.jpg, 1, 1, red, 1, 2, 0, 0.8377, 1.3000, 1
 21, 1, 23, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.4404, 1.2500, 1
 21, 1, 24, S1-15.jpg, 1, 1, red, 1, 2, 0, 0.7886, 1.5833, 1
 21, 1, 25, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.8760, 1.6167, 1
 21, 1, 26, S1-15.jpg, 1, 2, blue, 0, 2, 0, 0.6505, 1.2500, 1
 21, 1, 27, S1-15.jpg, 1, 3, yellow, NaN, 2, 0, 0.8631, 1.3333, 1
 21, 1, 28, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.5603, 1.6833, 1
 21, 1, 29, S2-19.jpg, 2, 3, yellow, NaN, 1, 0, 0.5958, 1.3333, 1
 21, 1, 30, S1-15.jpg, 1, 1, red, 1, 2, 0, 0.5253, 1.4000, 1
 21, 1, 31, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.2995, 1.5333, 1
 21, 1, 32, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.3086, 1.5167, 1
 21, 1, 33, S2-19.jpg, 2, 3, yellow, NaN, 1, 0, 0.7349, 1.8833, 1
 21, 1, 34, S1-15.jpg, 1, 2, blue, 0, 2, 0, 1.0424, 1.9167, 1
 21, 1, 35, S1-15.jpg, 1, 3, yellow, NaN, 2, 0, 0.6610, 1.3167, 1
 21, 1, 36, S1-15.jpg, 1, 1, red, 1, 2, 0, 1.8329, 1.4000, 1
 21, 1, 37, S2-19.jpg, 2, 3, yellow, NaN, 1, 0, 0.5645, 1.4667, 1
 21, 1, 38, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.3845, 1.4667, 1
 21, 1, 39, S1-15.jpg, 1, 1, red, 1, 2, 0, 0.4607, 1.7833, 1
 21, 1, 40, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.6914, 1.4167, 1
 21, 1, 41, S2-19.jpg, 2, 3, yellow, NaN, 1, 0, 0.3936, 1.3667, 1
 21, 1, 42, S1-15.jpg, 1, 2, blue, 0, 2, 0, 0.7438, 1.2667, 1
 21, 1, 43, S2-19.jpg, 2, 2, blue, 1, 1, 0, 0.7323, 1.5000, 1
 21, 1, 44, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.5424, 1.4333, 1
 21, 1, 45, S2-19.jpg, 2, 2, blue, 1, 2, 1, 1.0203, 1.6333, 1
 21, 1, 46, S2-19.jpg, 2, 3, yellow, NaN, 1, 0, 0.7616, 1.8000, 1
 21, 1, 47, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.6322, 1.7000, 1
 21, 1, 48, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.6507, 1.8500, 1
 21, 1, 49, S1-15.jpg, 1, 3, yellow, NaN, 2, 0, 0.6553, 1.4500, 1
 21, 1, 50, S2-19.jpg, 2, 2, blue, 1, 1, 0, 0.4845, 1.9333, 1
 21, 1, 51, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.7343, 1.4833, 1
 21, 1, 52, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.6338, 1.3500, 1
 21, 1, 53, S2-19.jpg, 2, 2, blue, 1, 1, 0, 0.6260, 1.5500, 1
