subID,model,loss,condition,noise1_cong_fitted,noise1_cong_min,noise1_cong_max,noise1_neut_fitted,noise1_neut_min,noise1_neut_max,signal1_cong_fitted,signal1_cong_min,signal1_cong_max,signal1_incong_fitted,signal1_incong_min,signal1_incong_max,signal1_neut_fitted,signal1_neut_min,signal1_neut_max,noise2_cong_fitted,noise2_cong_min,noise2_cong_max,noise2_incong_fitted,noise2_incong_min,noise2_incong_max,noise2_neut_fitted,noise2_neut_min,noise2_neut_max,signal2_cong_fitted,signal2_cong_min,signal2_cong_max,signal2_incong_fitted,signal2_incong_min,signal2_incong_max,signal2_neut_fitted,signal2_neut_min,signal2_neut_max,B_fitted,B_min,B_max,nondectime_fitted,nondectime_min,nondectime_max
32,8drifts_congIncong_allConditions,405.759759918474,condition_80cue,0.23538832294173093,0.0,10.0,9.785861090863996,0.0,10.0,0.8045794264650563,0.0,10.0,0.0,0.0,10.0,0.09462476216043508,0.0,10.0,0.7268818365541968,0.0,10.0,0.9162490257754863,0.0,10.0,0.8805854930347585,0.0,10.0,3.400759591572779,0.0,10.0,10.0,0.0,10.0,5.290470422271562,0.0,10.0,1.1030638473633365,0.5,12.0,0.8133312853854799,0.01,1.5
33,8drifts_congIncong_allConditions,323.4966941690876,condition_80cue,0.6463151803560493,0.0,10.0,4.311681026625264,0.0,10.0,0.40812508333065384,0.0,10.0,0.0,0.0,10.0,0.4970872146106299,0.0,10.0,1.8597833830343664,0.0,10.0,0.0,0.0,10.0,0.5634336080553363,0.0,10.0,5.701716273863898,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.9585030883629031,0.5,12.0,1.3660238730095187,0.01,1.5
35,8drifts_congIncong_allConditions,210.13808291450619,condition_80cue,0.9596987673578481,0.0,10.0,8.43053511922932,0.0,10.0,5.616052358626666,0.0,10.0,3.5711898980302696,0.0,10.0,0.0,0.0,10.0,8.749882442962148,0.0,10.0,7.954357140069907,0.0,10.0,6.086518868584837,0.0,10.0,1.9211987955764454,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.6417781720099507,0.5,12.0,0.863438873863793,0.01,1.5
36,8drifts_congIncong_allConditions,263.9884061686018,condition_80cue,1.0137522554330403,0.0,10.0,2.3967618612167114,0.0,10.0,0.5303821287214889,0.0,10.0,1.1989090520521832,0.0,10.0,0.13549730758444092,0.0,10.0,3.866229311076281,0.0,10.0,0.0,0.0,10.0,0.8630385535440309,0.0,10.0,9.819187037448227,0.0,10.0,9.134569385667513,0.0,10.0,2.41845023514474,0.0,10.0,0.7272514114232482,0.5,12.0,1.205563072151023,0.01,1.5
37,8drifts_congIncong_allConditions,592.4601323122247,condition_80cue,0.42620477858881795,0.0,10.0,1.2383816983957177,0.0,10.0,0.4264150108243386,0.0,10.0,0.4761579353392414,0.0,10.0,0.39868210837996354,0.0,10.0,0.19270545771502934,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,6.436018562132473,0.0,10.0,2.6380787063149675,0.0,10.0,0.0,0.0,10.0,0.9081089222495837,0.5,12.0,1.0716934576061354,0.01,1.5
38,8drifts_congIncong_allConditions,445.5258091416889,condition_80cue,0.22261990304762258,0.0,10.0,8.976950089073304,0.0,10.0,2.282027108618077,0.0,10.0,0.0,0.0,10.0,2.0164674459869376,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,7.415515616801674,0.0,10.0,7.532208639792825,0.0,10.0,6.3169720780847385,0.0,10.0,3.441922930262356,0.5,12.0,0.03429971576823532,0.01,1.5
39,8drifts_congIncong_allConditions,562.4513769176802,condition_80cue,0.5255251166713417,0.0,10.0,5.40082796850524,0.0,10.0,0.5182294015468284,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.6889298190914549,0.0,10.0,0.0,0.0,10.0,0.6225065445845528,0.0,10.0,2.1982309092282537,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.9647603107488694,0.5,12.0,0.97397088796447,0.01,1.5
40,8drifts_congIncong_allConditions,371.35587446412967,condition_80cue,0.16348674542269032,0.0,10.0,7.4034100318258,0.0,10.0,3.1439017536511913,0.0,10.0,0.0,0.0,10.0,2.1742869447358713,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,7.203772640020323,0.0,10.0,2.7884243277725735,0.0,10.0,6.450574338451735,0.0,10.0,1.4901503881941363,0.5,12.0,0.3528932225955597,0.01,1.5
41,8drifts_congIncong_allConditions,861.7884397452225,condition_80cue,0.0,0.0,10.0,6.7400271593130965,0.0,10.0,3.2791457934699983,0.0,10.0,0.8369639443618289,0.0,10.0,3.65354541472229,0.0,10.0,0.0,0.0,10.0,0.012617655799899406,0.0,10.0,0.0,0.0,10.0,5.424498186625999,0.0,10.0,6.131553443702355,0.0,10.0,5.3117995592829494,0.0,10.0,5.338251316020002,0.5,12.0,0.031548063862845255,0.01,1.5
42,8drifts_congIncong_allConditions,569.2861616480006,condition_80cue,2.869995279954422,0.0,10.0,1.8902729753512064,0.0,10.0,3.3339315670180762,0.0,10.0,1.2187633432457425,0.0,10.0,3.956963626762041,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.649541849852526,0.0,10.0,10.0,0.0,10.0,4.964598324096945,0.0,10.0,8.142516078817295,0.5,12.0,0.11294926792030868,0.01,1.5
