subID,block,trial,targetImage,targetIdx,coherence,respFrame,response,accuracy,RT,flickerDuration
 24, 1, 1, S3-12.jpg, 1, 0.73, 169, 1, 1, 2.8575, 2.8646
 24, 1, 2, S4-20.jpg, 2, 0.53, 184, 2, 1, 3.0954, 3.0962
 24, 1, 3, S3-12.jpg, 1, 0.70, 71, 1, 1, 1.2228, 1.2235
 24, 1, 4, S4-20.jpg, 2, 0.50, 70, 2, 1, 1.1770, 1.1779
 24, 1, 5, S3-12.jpg, 1, 0.66, 102, 1, 1, 1.7435, 1.7443
 24, 1, 6, S4-20.jpg, 2, 0.46, 110, 2, 1, 1.8770, 1.8780
 24, 1, 7, S4-20.jpg, 2, 0.73, 73, 2, 1, 1.2435, 1.2444
 24, 1, 8, S4-20.jpg, 2, 0.43, 131, 1, 0, 2.2261, 2.2270
 24, 1, 9, S4-20.jpg, 2, 0.70, 118, 2, 1, 1.9603, 1.9618
 24, 1, 10, S4-20.jpg, 2, 0.50, 42, 2, 1, 0.7088, 0.7095
 24, 1, 11, S4-20.jpg, 2, 0.66, 59, 2, 1, 0.9779, 0.9788
 24, 1, 12, S3-12.jpg, 1, 0.53, 67, 1, 1, 1.1764, 1.1772
 24, 1, 13, S3-12.jpg, 1, 0.63, 89, 1, 1, 1.5401, 1.5416
 24, 1, 14, S3-12.jpg, 1, 0.50, 69, 1, 1, 1.1998, 1.2004
 24, 1, 15, S3-12.jpg, 1, 0.60, 64, 1, 1, 1.0778, 1.0787
 24, 1, 16, S4-20.jpg, 2, 0.47, 114, 2, 1, 1.9599, 1.9606
 24, 1, 17, S4-20.jpg, 2, 0.63, 68, 2, 1, 1.1646, 1.1655
 24, 1, 18, S4-20.jpg, 2, 0.45, 123, 1, 0, 2.1412, 2.1426
 24, 1, 19, S4-20.jpg, 2, 0.60, 157, 1, 0, 2.7119, 2.7127
 24, 1, 20, S4-20.jpg, 2, 0.51, 78, 2, 1, 1.3579, 1.3587
 24, 1, 21, S4-20.jpg, 2, 0.66, 147, 2, 1, 2.5254, 2.5264
 24, 1, 22, S3-12.jpg, 1, 0.46, 258, 1, 1, 4.3497, 4.3512
 24, 1, 23, S3-12.jpg, 1, 0.58, 206, 2, 0, 3.5089, 3.5098
 24, 1, 24, S4-20.jpg, 2, 0.48, 229, 2, 1, 3.9503, 3.9512
 24, 1, 25, S3-12.jpg, 1, 0.63, 245, 2, 0, 4.1329, 4.1339
 24, 1, 26, S4-20.jpg, 2, 0.46, 59, 1, 0, 1.0060, 1.0070
 24, 1, 27, S3-12.jpg, 1, 0.69, 98, 1, 1, 1.7014, 1.7022
 24, 1, 28, S4-20.jpg, 2, 0.51, 108, 2, 1, 1.8296, 1.8306
 24, 1, 29, S3-12.jpg, 1, 0.66, 78, 1, 1, 1.3477, 1.3486
 24, 1, 30, S3-12.jpg, 1, 0.43, 103, 2, 0, 1.7885, 1.7894
 24, 1, 31, S3-12.jpg, 1, 0.64, 63, 1, 1, 1.1048, 1.1055
 24, 1, 32, S4-20.jpg, 2, 0.49, 76, 2, 1, 1.2606, 1.2613
 24, 1, 33, S3-12.jpg, 1, 0.62, 98, 1, 1, 1.6604, 1.6612
 24, 1, 34, S4-20.jpg, 2, 0.47, 196, 2, 1, 3.3698, 3.3708
 24, 1, 35, S3-12.jpg, 1, 0.60, 117, 2, 0, 1.9968, 1.9975
 24, 1, 36, S3-12.jpg, 1, 0.50, 124, 2, 0, 2.1504, 2.1512
 24, 1, 37, S4-20.jpg, 2, 0.63, 150, 1, 0, 2.5570, 2.5580
 24, 1, 38, S3-12.jpg, 1, 0.57, 126, 2, 0, 2.1442, 2.1451
 24, 1, 39, S3-12.jpg, 1, 0.64, 125, 1, 1, 2.1850, 2.1857
 24, 1, 40, S4-20.jpg, 2, 0.45, 62, 2, 1, 1.0500, 1.0508
 24, 1, 41, S4-20.jpg, 2, 0.69, 84, 1, 0, 1.4277, 1.4285
 24, 1, 42, S3-12.jpg, 1, 0.63, 54, 1, 1, 0.9183, 0.9192
 24, 1, 43, S3-12.jpg, 1, 0.62, 83, 1, 1, 1.4395, 1.4405
 24, 1, 44, S3-12.jpg, 1, 0.61, 204, 2, 0, 3.4482, 3.4496
 24, 1, 45, S4-20.jpg, 2, 0.76, 166, 2, 1, 2.8372, 2.8382
 24, 1, 46, S3-12.jpg, 1, 0.65, 63, 1, 1, 1.0962, 1.0969
 24, 1, 47, S3-12.jpg, 1, 0.61, 65, 1, 1, 1.1421, 1.1435
 24, 1, 48, S3-12.jpg, 1, 0.64, 105, 1, 1, 1.8017, 1.8026
 24, 1, 49, S3-12.jpg, 1, 0.60, 76, 2, 0, 1.3085, 1.3095
 24, 1, 50, S4-20.jpg, 2, 0.44, 96, 1, 0, 1.6333, 1.6342
 24, 1, 51, S3-12.jpg, 1, 0.63, 89, 1, 1, 1.5526, 1.5535
 24, 1, 52, S3-12.jpg, 1, 0.62, 114, 1, 1, 1.9787, 1.9794
 24, 1, 53, S3-12.jpg, 1, 0.61, 156, 1, 1, 2.6886, 2.6894
 24, 1, 54, S4-20.jpg, 2, 0.47, 171, 1, 0, 2.9372, 2.9381
 24, 1, 55, S4-20.jpg, 2, 0.73, 61, 2, 1, 1.0201, 1.0210
 24, 1, 56, S3-12.jpg, 1, 0.61, 19, 1, 1, 0.3165, 0.3174
 24, 1, 57, S3-12.jpg, 1, 0.60, 46, 1, 1, 0.7817, 0.7827
 24, 1, 58, S4-20.jpg, 2, 0.51, 75, 2, 1, 1.3074, 1.3084
 24, 1, 59, S3-12.jpg, 1, 0.59, 21, 2, 0, 0.3482, 0.3489
 24, 1, 60, S3-12.jpg, 1, 0.60, 46, 1, 1, 0.7833, 0.7843
 24, 1, 61, S4-20.jpg, 2, 0.71, 65, 2, 1, 1.1141, 1.1155
 24, 1, 62, S3-12.jpg, 1, 0.58, 68, 1, 1, 1.1599, 1.1607
 24, 1, 63, S3-12.jpg, 1, 0.61, 42, 2, 0, 0.7099, 0.7106
 24, 1, 64, S4-20.jpg, 2, 0.49, 36, 2, 1, 0.6393, 0.6400
 24, 1, 65, S3-12.jpg, 1, 0.64, 57, 2, 0, 0.9928, 0.9935
 24, 1, 66, S4-20.jpg, 2, 0.48, 59, 2, 1, 1.0102, 1.0116
 24, 1, 67, S3-12.jpg, 1, 0.67, 88, 1, 1, 1.5134, 1.5142
 24, 1, 68, S3-12.jpg, 1, 0.57, 70, 2, 0, 1.2189, 1.2197
 24, 1, 69, S3-12.jpg, 1, 0.66, 15, 1, 1, 0.2554, 0.2563
 24, 1, 70, S4-20.jpg, 2, 0.47, 16, 1, 0, 0.2652, 0.2660
 24, 1, 71, S3-12.jpg, 1, 0.65, 18, 2, 0, 0.3060, 0.3067
 24, 1, 72, S4-20.jpg, 2, 0.50, 16, 2, 1, 0.2715, 0.2727
 24, 1, 73, S3-12.jpg, 1, 0.68, 14, 2, 0, 0.2304, 0.2315
 24, 1, 74, S4-20.jpg, 2, 0.48, 14, 1, 0, 0.2425, 0.2434
 24, 1, 75, S4-20.jpg, 2, 0.69, 45, 2, 1, 0.7563, 0.7570
 24, 1, 76, S4-20.jpg, 2, 0.51, 26, 2, 1, 0.4326, 0.4334
 24, 1, 77, S3-12.jpg, 1, 0.71, 17, 1, 1, 0.2869, 0.2879
 24, 1, 78, S3-12.jpg, 1, 0.60, 25, 2, 0, 0.4160, 0.4168
 24, 1, 79, S4-20.jpg, 2, 0.67, 29, 2, 1, 0.5086, 0.5098
 24, 1, 80, S3-12.jpg, 1, 0.63, 28, 2, 0, 0.4724, 0.4731
 24, 1, 81, S4-20.jpg, 2, 0.66, 29, 2, 1, 0.5006, 0.5013
 24, 1, 82, S4-20.jpg, 2, 0.50, 35, 2, 1, 0.6057, 0.6068
