subID,model,loss,condition,sample_size,n_params,noise1_cong_fitted,noise1_cong_min,noise1_cong_max,noise1_neut_fitted,noise1_neut_min,noise1_neut_max,signal1_cong_fitted,signal1_cong_min,signal1_cong_max,signal1_incong_fitted,signal1_incong_min,signal1_incong_max,signal1_neut_fitted,signal1_neut_min,signal1_neut_max,noise2_cong_fitted,noise2_cong_min,noise2_cong_max,noise2_incong_fitted,noise2_incong_min,noise2_incong_max,noise2_neut_fitted,noise2_neut_min,noise2_neut_max,signal2_cong_fitted,signal2_cong_min,signal2_cong_max,signal2_incong_fitted,signal2_incong_min,signal2_incong_max,signal2_neut_fitted,signal2_neut_min,signal2_neut_max,B_cue_fitted,B_cue_min,B_cue_max,B_neut_fitted,B_neut_min,B_neut_max
32,4drift_congIncong_2bound,435.8789770209649,condition_80cue,245,13,0.636361119644722,0.0,10.0,5.454062692736789,0.0,10.0,0.05964001008809625,0.0,10.0,1.2512181032042915,0.0,10.0,1.115722768108025,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.7609158281286145,0.0,10.0,6.274481236172546,0.0,10.0,6.7529760104221905,0.0,10.0,6.140075503755458,0.0,10.0,2.8736639827764963,0.5,12.0,7.638781720137516,0.5,12.0
33,4drift_congIncong_2bound,513.1056607993158,condition_80cue,250,13,0.24697526276931633,0.0,10.0,0.0,0.0,10.0,4.647403144902753,0.0,10.0,3.7836857463382514,0.0,10.0,7.606249139622583,0.0,10.0,0.013621999565819446,0.0,10.0,0.0,0.0,10.0,1.4429221241824681,0.0,10.0,5.206856425336037,0.0,10.0,5.108396351800098,0.0,10.0,8.166152905903338,0.0,10.0,5.402837142363928,0.5,12.0,7.832199879467932,0.5,12.0
35,4drift_congIncong_2bound,371.23746505337164,condition_80cue,376,13,5.148110165962438,0.0,10.0,4.227572686976741,0.0,10.0,5.1247119190194725,0.0,10.0,4.302513759731465,0.0,10.0,5.971032546442432,0.0,10.0,3.5683209877130744,0.0,10.0,3.8101960824595555,0.0,10.0,6.242498455098268,0.0,10.0,9.087833782940727,0.0,10.0,9.693300718839629,0.0,10.0,10.0,0.0,10.0,7.209829025395917,0.5,12.0,7.161275384216081,0.5,12.0
36,4drift_congIncong_2bound,529.8340016333644,condition_80cue,376,13,3.207194696570241,0.0,10.0,1.2111120590769804,0.0,10.0,4.972797287839258,0.0,10.0,4.6463616071482114,0.0,10.0,5.873260917343121,0.0,10.0,0.9060154775548169,0.0,10.0,1.583531617097216,0.0,10.0,1.935086692831998,0.0,10.0,8.149098692243905,0.0,10.0,7.155440918449396,0.0,10.0,8.977432287691798,0.0,10.0,7.47553159580723,0.5,12.0,6.7426265126650025,0.5,12.0
37,4drift_congIncong_2bound,709.4535911033482,condition_80cue,375,13,0.0,0.0,10.0,0.2274433410566997,0.0,10.0,0.1806159685762166,0.0,10.0,0.0,0.0,10.0,0.804522126287843,0.0,10.0,0.008542649343658757,0.0,10.0,0.6692884931052818,0.0,10.0,0.0,0.0,10.0,1.1006590920555541,0.0,10.0,0.0,0.0,10.0,6.267759620406655,0.0,10.0,1.5067419796261623,0.5,12.0,2.562816752538979,0.5,12.0
38,4drift_congIncong_2bound,395.30816477039184,condition_80cue,376,13,2.599938195967958,0.0,10.0,1.5162029897491223,0.0,10.0,2.250614281762612,0.0,10.0,1.4098046438305307,0.0,10.0,4.840759768000097,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,7.45496426889926,0.0,10.0,6.773692707525395,0.0,10.0,8.520462281095462,0.0,10.0,5.4763022944178275,0.5,12.0,6.8584267226819415,0.5,12.0
39,4drift_congIncong_2bound,663.4913250238204,condition_80cue,370,13,0.6908983232897286,0.0,10.0,2.758309840270494,0.0,10.0,2.1849016023052115,0.0,10.0,0.938933017885351,0.0,10.0,1.4266799402506127,0.0,10.0,0.0,0.0,10.0,1.4412245384794473,0.0,10.0,0.0,0.0,10.0,6.468080606671742,0.0,10.0,8.127004528295368,0.0,10.0,6.78250003834356,0.0,10.0,3.8075351037701215,0.5,12.0,5.41201003616202,0.5,12.0
40,4drift_congIncong_2bound,396.58678539703317,condition_80cue,375,13,1.2746456368582444,0.0,10.0,1.1402313946915381,0.0,10.0,2.7300673433993334,0.0,10.0,1.2968683748301133,0.0,10.0,4.812897595102297,0.0,10.0,0.0,0.0,10.0,1.6873363797826442,0.0,10.0,0.0,0.0,10.0,6.58718592009448,0.0,10.0,6.421749887546361,0.0,10.0,8.786878029707571,0.0,10.0,3.767804972476697,0.5,12.0,5.820457778255786,0.5,12.0
41,4drift_congIncong_2bound,774.70518654359,condition_80cue,365,13,0.0,0.0,10.0,0.5336665386813595,0.0,10.0,3.2265544846019782,0.0,10.0,1.2073551379450458,0.0,10.0,6.763185923154803,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.015609761495144923,0.0,10.0,5.571572616392957,0.0,10.0,6.002601778769583,0.0,10.0,5.821738036894904,0.0,10.0,5.514876439076411,0.5,12.0,7.98486646249823,0.5,12.0
42,4drift_congIncong_2bound,513.846098816691,condition_80cue,354,13,3.2690226286116375,0.0,10.0,1.6358775797945981,0.0,10.0,3.6627549706602385,0.0,10.0,0.06869177166938688,0.0,10.0,3.4299211400473966,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.822915088588172,0.0,10.0,6.454988512376136,0.0,10.0,4.859698983945641,0.0,10.0,9.372773999897573,0.5,12.0,7.35295865339026,0.5,12.0
