subID,block,trial,image,actualResponse,correctResponse,accuracy,RT
 24, 1, 1, S1-15.jpg, 1, 1, 1, 5.666699e-01, 
 24, 1, 2, S2-19.jpg, 2, 2, 1, 4.167322e-01, 
 24, 1, 3, S2-19.jpg, 2, 2, 1, 5.333353e-01, 
 24, 1, 4, S2-19.jpg, 2, 2, 1, 4.178377e-01, 
 24, 1, 5, S1-15.jpg, 1, 1, 1, 1.016427e+00, 
 24, 1, 6, S1-15.jpg, 1, 1, 1, 5.999500e-01, 
 24, 1, 7, S1-15.jpg, 1, 1, 1, 4.667733e-01, 
 24, 1, 8, S1-15.jpg, 1, 1, 1, 4.669796e-01, 
 24, 1, 9, S1-15.jpg, 1, 1, 1, 4.500774e-01, 
 24, 1, 10, S2-19.jpg, 2, 2, 1, 5.999808e-01, 
 24, 1, 11, S2-19.jpg, 2, 2, 1, 4.500524e-01, 
 24, 1, 12, S2-19.jpg, 2, 2, 1, 6.667573e-01, 
 24, 1, 13, S1-15.jpg, 1, 1, 1, 4.998480e-01, 
 24, 1, 14, S2-19.jpg, 2, 2, 1, 6.833234e-01, 
 24, 1, 15, S2-19.jpg, 2, 2, 1, 5.833979e-01, 
 24, 1, 16, S1-15.jpg, 1, 1, 1, 4.667194e-01, 
 24, 1, 17, S1-15.jpg, 1, 1, 1, 5.167631e-01, 
 24, 1, 18, S2-19.jpg, 2, 2, 1, 4.002585e-01, 
 24, 1, 19, S2-19.jpg, 2, 2, 1, 4.499392e-01, 
 24, 1, 20, S1-15.jpg, 1, 1, 1, 6.333750e-01, 
