subID,block,trial,image,actualResponse,correctResponse,accuracy,RT
 17, 1, 1, S2-19.jpg, 1, 2, 0, 1.333680e+00, 
 17, 1, 2, S1-15.jpg, 1, 1, 1, 6.535457e-01, 
 17, 1, 3, S1-15.jpg, 1, 1, 1, 6.130318e-01, 
 17, 1, 4, S2-19.jpg, 2, 2, 1, 6.134273e-01, 
 17, 1, 5, S2-19.jpg, 2, 2, 1, 5.065400e-01, 
 17, 1, 6, S2-19.jpg, 2, 2, 1, 6.275561e-01, 
 17, 1, 7, S2-19.jpg, 2, 2, 1, 8.397564e-01, 
 17, 1, 8, S1-15.jpg, 1, 1, 1, 6.802999e-01, 
 17, 1, 9, S2-19.jpg, 2, 2, 1, 6.131004e-01, 
 17, 1, 10, S2-19.jpg, 2, 2, 1, 5.864139e-01, 
 17, 1, 11, S1-15.jpg, 1, 1, 1, 6.268915e-01, 
 17, 1, 12, S1-15.jpg, 1, 1, 1, 7.196305e-01, 
 17, 1, 13, S2-19.jpg, 2, 2, 1, 4.932340e-01, 
 17, 1, 14, S2-19.jpg, 2, 2, 1, 5.601817e-01, 
 17, 1, 15, S1-15.jpg, 1, 1, 1, 5.601080e-01, 
 17, 1, 16, S1-15.jpg, 1, 1, 1, 7.998206e-01, 
 17, 1, 17, S1-15.jpg, 1, 1, 1, 1.013318e+00, 
 17, 1, 18, S1-15.jpg, 1, 1, 1, 7.063757e-01, 
 17, 1, 19, S2-19.jpg, 2, 2, 1, 5.330420e-01, 
 17, 1, 20, S1-15.jpg, 1, 1, 1, 7.997142e-01, 
