subID,model,loss,condition,sample_size,n_params,noise1_fitted,noise1_min,noise1_max,noise1_50_fitted,noise1_50_min,noise1_50_max,signal1_fitted,signal1_min,signal1_max,signal1_50_fitted,signal1_50_min,signal1_50_max,noise2_fitted,noise2_min,noise2_max,noise2_50_fitted,noise2_50_min,noise2_50_max,signal2_fitted,signal2_min,signal2_max,signal2_50_fitted,signal2_50_min,signal2_50_max,B_fitted,B_min,B_max
32,unknown_model,438.4596068023858,condition_80cue,245,9,1.5860926821642707,0.0,10.0,1.249648209546832,0.0,10.0,0.5387271237023445,0.0,10.0,0.2904072370989977,0.0,10.0,0.0,0.0,10.0,0.6059467265352481,0.0,10.0,6.582136137153534,0.0,10.0,5.47004525803417,0.0,10.0,3.743475647575943,0.5,12.0
33,unknown_model,514.9709221644167,condition_80cue,250,9,0.06333518824549858,0.0,10.0,0.0,0.0,10.0,4.502880240359344,0.0,10.0,3.6548890167752077,0.0,10.0,0.0,0.0,10.0,1.0618775155346243,0.0,10.0,5.161852772516515,0.0,10.0,7.269442633169288,0.0,10.0,5.186915398371865,0.5,12.0
35,unknown_model,371.6146021026808,condition_80cue,376,9,5.275941937014743,0.0,10.0,4.42307027703706,0.0,10.0,5.083758056433077,0.0,10.0,6.006602853001325,0.0,10.0,6.505930789404082,0.0,10.0,2.740400053014553,0.0,10.0,9.214513364583402,0.0,10.0,10.0,0.0,10.0,7.319137168165774,0.5,12.0
36,unknown_model,530.7779457641093,condition_80cue,376,9,3.3799013162605807,0.0,10.0,1.9349757806860337,0.0,10.0,5.0372360121570905,0.0,10.0,6.329626295849481,0.0,10.0,1.0092611735447798,0.0,10.0,2.000699734945064,0.0,10.0,8.105949955927379,0.0,10.0,9.38152553821711,0.0,10.0,7.660406138925811,0.5,12.0
37,unknown_model,853.3137013631014,condition_80cue,375,9,2.205683200683626,0.0,10.0,1.8772394394907266,0.0,10.0,0.8249119341837238,0.0,10.0,1.3863994575476468,0.0,10.0,0.10775210234364274,0.0,10.0,0.385613965118576,0.0,10.0,5.856864446780268,0.0,10.0,7.065716671333813,0.0,10.0,4.329737329535951,0.5,12.0
38,unknown_model,396.16698872115063,condition_80cue,376,9,2.5080264384453117,0.0,10.0,0.3858438630221254,0.0,10.0,2.1677854943568575,0.0,10.0,4.161920319471484,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,7.376450953948931,0.0,10.0,7.509690706362006,0.0,10.0,5.388626788465372,0.5,12.0
39,unknown_model,664.9172753759377,condition_80cue,370,9,0.8063080024884147,0.0,10.0,0.8577830376280073,0.0,10.0,2.013234286316042,0.0,10.0,1.2142614643943475,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,6.611887121639851,0.0,10.0,6.640767478586675,0.0,10.0,3.8556566481292034,0.5,12.0
40,unknown_model,398.898962176181,condition_80cue,375,9,1.891890654804314,0.0,10.0,0.0,0.0,10.0,2.8616676079057046,0.0,10.0,4.139655866418407,0.0,10.0,0.11777224234670335,0.0,10.0,0.0,0.0,10.0,7.006222915979811,0.0,10.0,8.208598815684713,0.0,10.0,4.424383211763935,0.5,12.0
41,unknown_model,773.5168263114191,condition_80cue,365,9,0.0,0.0,10.0,0.0,0.0,10.0,4.188010740215528,0.0,10.0,4.766928291735345,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.720730781773933,0.0,10.0,5.446149744301252,0.0,10.0,6.2091408639141985,0.5,12.0
42,unknown_model,515.2731177409557,condition_80cue,354,9,4.178788389602123,0.0,10.0,4.233829492214922,0.0,10.0,4.343149888477061,0.0,10.0,5.124269359562234,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.973583153941617,0.0,10.0,5.173705730297741,0.0,10.0,10.604280882135548,0.5,12.0
43,unknown_model,616.1551859048332,condition_80cue,374,9,0.0,0.0,10.0,0.0,0.0,10.0,2.873120147227683,0.0,10.0,2.618180635944715,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.345488988697031,0.0,10.0,5.817394256863712,0.0,10.0,3.9938756928685044,0.5,12.0
44,unknown_model,440.7122177530157,condition_80cue,376,9,1.2610366519456826,0.0,10.0,0.0,0.0,10.0,1.8582455331730965,0.0,10.0,3.0623926759463753,0.0,10.0,0.13012289010137026,0.0,10.0,0.7831618431497592,0.0,10.0,6.440543842631097,0.0,10.0,7.345192059822466,0.0,10.0,3.883761058551061,0.5,12.0
45,unknown_model,852.3202375407074,condition_80cue,367,9,2.8971521889670044,0.0,10.0,0.0,0.0,10.0,1.4895663752046073,0.0,10.0,6.077201692504891,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,4.698297317925663,0.0,10.0,4.086633319363595,0.0,10.0,6.057361184155797,0.5,12.0
46,unknown_model,735.7458233850853,condition_80cue,375,9,0.0,0.0,10.0,0.0,0.0,10.0,0.2065937418232331,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.07738710067983938,0.0,10.0,0.38769071325899235,0.0,10.0,0.23491912797505757,0.0,10.0,1.4219741211541272,0.5,12.0
47,unknown_model,480.72224653351213,condition_80cue,375,9,1.400688060648105,0.0,10.0,1.5691859764505738,0.0,10.0,3.542358355589636,0.0,10.0,3.9793275505339203,0.0,10.0,0.5786321614950489,0.0,10.0,1.6808863228229118,0.0,10.0,7.341917574668077,0.0,10.0,5.978200669529268,0.0,10.0,6.118894372745325,0.5,12.0
48,unknown_model,673.6349759490708,condition_80cue,374,9,0.15824871021190645,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.7641342591377274,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,4.624721332278167,0.0,10.0,4.086981446220406,0.0,10.0,3.1748794892429357,0.5,12.0
49,unknown_model,860.0402482332062,condition_80cue,375,9,1.243683719920118,0.0,10.0,1.5831439842073365,0.0,10.0,5.444630027427332,0.0,10.0,4.686422193273982,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,8.489838013902762,0.0,10.0,8.124483555495907,0.0,10.0,5.82109624628416,0.5,12.0
50,unknown_model,29.021324263262873,condition_80cue,376,9,1.250260400848713,0.0,10.0,0.0,0.0,10.0,0.7780529345080087,0.0,10.0,1.4081362923580116,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,6.177568610752523,0.0,10.0,5.732654366768285,0.0,10.0,2.9091393146661106,0.5,12.0
51,unknown_model,544.318700249717,condition_80cue,376,9,0.0,0.0,10.0,0.0,0.0,10.0,0.19157955147301878,0.0,10.0,0.18175611680151021,0.0,10.0,0.016401091984233184,0.0,10.0,0.06817608841048461,0.0,10.0,0.022015840305447985,0.0,10.0,0.0,0.0,10.0,1.057054805635576,0.5,12.0
52,unknown_model,706.1852990023486,condition_80cue,370,9,0.6354004424456778,0.0,10.0,2.036255185944416,0.0,10.0,4.212000829422042,0.0,10.0,1.99268572957877,0.0,10.0,0.4344962405376503,0.0,10.0,0.0,0.0,10.0,4.79549306407324,0.0,10.0,4.958817849881389,0.0,10.0,6.14769870219107,0.5,12.0
53,unknown_model,893.5202697344637,condition_80cue,374,9,2.2189323296775143,0.0,10.0,0.0,0.0,10.0,1.7326472211544726,0.0,10.0,4.31458990927323,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,4.354431137314147,0.0,10.0,4.617935398206164,0.0,10.0,6.206668605418786,0.5,12.0
54,unknown_model,447.4030299979016,condition_80cue,358,9,1.2931946001629542,0.0,10.0,0.2264739208696065,0.0,10.0,2.6487894368993494,0.0,10.0,3.516078885221178,0.0,10.0,0.0,0.0,10.0,0.07773178501788983,0.0,10.0,6.107806256124067,0.0,10.0,7.22818730490834,0.0,10.0,4.603752978992931,0.5,12.0
55,unknown_model,821.4724743490618,condition_65cue,376,9,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.024610062909974192,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,1.5345134749162206,0.5,12.0
56,unknown_model,637.5597084413673,condition_65cue,376,9,0.0,0.0,10.0,0.1015068369906143,0.0,10.0,0.10417838657744972,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.02538534952468766,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,1.1690581636122372,0.5,12.0
57,unknown_model,646.2664121308956,condition_65cue,377,9,0.10795975781629395,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.23678604846929538,0.0,10.0,0.0,0.0,10.0,1.080884818371118,0.0,10.0,0.0,0.0,10.0,1.2892609228841767,0.5,12.0
58,unknown_model,821.0809635179321,condition_65cue,367,9,0.00761484121815778,0.0,10.0,0.1284608629955618,0.0,10.0,0.05695475921563201,0.0,10.0,0.08793713366565298,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.04954071170819172,0.0,10.0,0.2383987267203805,0.0,10.0,1.5849750525968958,0.5,12.0
59,unknown_model,771.5295038398567,condition_65cue,376,9,0.7020722068999411,0.0,10.0,0.0,0.0,10.0,3.1869196804146664,0.0,10.0,4.07479132350488,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,7.369273439843459,0.0,10.0,7.788637016889168,0.0,10.0,4.09511130543353,0.5,12.0
60,unknown_model,642.1569553893141,condition_65cue,374,9,0.12289214570877202,0.0,10.0,0.11387930591087343,0.0,10.0,0.09686857346551045,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.8919619102437087,0.0,10.0,0.40092312252411527,0.0,10.0,1.236838302191698,0.5,12.0
61,unknown_model,1055.1446758133313,condition_65cue,373,9,2.7410225755392323,0.0,10.0,0.8898959363504277,0.0,10.0,0.5026010310719482,0.0,10.0,2.51590139503886,0.0,10.0,0.5117778188223486,0.0,10.0,0.8881634966100473,0.0,10.0,5.075979787839943,0.0,10.0,5.5967786627211416,0.0,10.0,5.2624218273001855,0.5,12.0
62,unknown_model,762.248966513276,condition_65cue,378,9,0.7135395113778281,0.0,10.0,0.0,0.0,10.0,0.8188097035696432,0.0,10.0,1.7575317230837133,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.375914535789658,0.0,10.0,4.868074603495427,0.0,10.0,3.28099499208652,0.5,12.0
63,unknown_model,849.0928983439878,condition_65cue,356,9,1.4059429139102682,0.0,10.0,0.0,0.0,10.0,4.564360663011248,0.0,10.0,5.193579345792112,0.0,10.0,0.36756285003498,0.0,10.0,1.672822399409754,0.0,10.0,5.859366562465636,0.0,10.0,5.7518943241397125,0.0,10.0,9.913795136649956,0.5,12.0
64,unknown_model,877.1638180028021,condition_65cue,375,9,0.0,0.0,10.0,0.0066829221562445884,0.0,10.0,3.383260785573331,0.0,10.0,3.217400954010101,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,6.449332376557076,0.0,10.0,7.533992613886587,0.0,10.0,3.543815815000137,0.5,12.0
65,unknown_model,623.4151110166108,condition_65cue,378,9,0.2793525151272455,0.0,10.0,0.08690997454937521,0.0,10.0,6.718741402001413,0.0,10.0,7.1304807213328285,0.0,10.0,0.0,0.0,10.0,5.721017159490055,0.0,10.0,10.0,0.0,10.0,9.480018506432664,0.0,10.0,5.941575108097042,0.5,12.0
66,unknown_model,746.9939735644894,condition_65cue,378,9,0.00919461319355121,0.0,10.0,0.05368125352839301,0.0,10.0,0.08390698955507259,0.0,10.0,0.0,0.0,10.0,0.0665624799937695,0.0,10.0,0.3753100578557674,0.0,10.0,0.4847636639253045,0.0,10.0,0.9392841239484383,0.0,10.0,1.4239989726953644,0.5,12.0
67,unknown_model,937.5050705495031,condition_65cue,342,9,1.2624720652210855,0.0,10.0,0.1919560250605601,0.0,10.0,2.894455499037393,0.0,10.0,4.572042185246582,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,4.636245363955641,0.0,10.0,4.3385204386065155,0.0,10.0,7.042733899659537,0.5,12.0
68,unknown_model,687.2689326990148,condition_65cue,377,9,0.11738666413936222,0.0,10.0,0.0,0.0,10.0,0.3853779893348326,0.0,10.0,0.0870982813141727,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,1.039833838568928,0.0,10.0,1.3018301883730556,0.0,10.0,1.4782104960617648,0.5,12.0
69,unknown_model,488.9118708771144,condition_65cue,378,9,0.0,0.0,10.0,0.0,0.0,10.0,0.20027156545023597,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,6.444159463548347,0.0,10.0,0.0,0.0,10.0,0.6158765325401373,0.0,10.0,0.9824106659690282,0.5,12.0
70,unknown_model,707.868962827577,condition_65cue,378,9,0.0,0.0,10.0,0.03915885934508591,0.0,10.0,0.1348105120754577,0.0,10.0,0.0,0.0,10.0,0.05870220132057692,0.0,10.0,0.48925572975417003,0.0,10.0,0.16690862204117013,0.0,10.0,0.3716485753928948,0.0,10.0,1.0410762584132218,0.5,12.0
71,unknown_model,770.8788860010949,condition_65cue,376,9,1.7066921207416557,0.0,10.0,1.8666294839936768,0.0,10.0,2.902123193329285,0.0,10.0,2.653022857407986,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,6.809145207735847,0.0,10.0,6.852763400410155,0.0,10.0,5.023491068533267,0.5,12.0
72,unknown_model,912.331772270968,condition_65cue,378,9,3.4322598692998656,0.0,10.0,3.5523891839807007,0.0,10.0,3.085595504930008,0.0,10.0,2.645952897686432,0.0,10.0,1.7727349856941246,0.0,10.0,0.5215664450757892,0.0,10.0,7.548370237194619,0.0,10.0,8.272372528880226,0.0,10.0,6.3579141789389055,0.5,12.0
73,unknown_model,718.0241338036784,condition_65cue,378,9,1.5985248568870725,0.0,10.0,1.014811169716987,0.0,10.0,4.7227688273614,0.0,10.0,5.253243026331613,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,8.494024147720472,0.0,10.0,8.189811321539292,0.0,10.0,5.693200950898829,0.5,12.0
75,unknown_model,945.1400559189935,condition_65cue,340,9,2.8590251213262268,0.0,10.0,0.9003993685508408,0.0,10.0,4.799842208438809,0.0,10.0,6.474979785036239,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,4.715122860718239,0.0,10.0,5.6507167037281265,0.0,10.0,8.550755998923561,0.5,12.0
76,unknown_model,1137.9368980587965,condition_65cue,373,9,4.652788743616226,0.0,10.0,1.9097635812688931,0.0,10.0,3.1382814536620427,0.0,10.0,5.025821410454772,0.0,10.0,0.5444592880098683,0.0,10.0,2.1827972587865263,0.0,10.0,4.898890122446655,0.0,10.0,4.9927404943943925,0.0,10.0,9.941514597380152,0.5,12.0
77,unknown_model,745.1182766735824,condition_65cue,377,9,3.590761346122412,0.0,10.0,3.1311340209873593,0.0,10.0,2.739870201849674,0.0,10.0,3.2161792635647863,0.0,10.0,0.04035781841990516,0.0,10.0,0.0,0.0,10.0,7.833555298203129,0.0,10.0,7.961697696039753,0.0,10.0,6.359180261053183,0.5,12.0
