subID,condition,m_noise1,m50_noise1,m_signal1,m50_signal1,v_signal1,v50_signal1,m_noise2,m50_noise2,m_signal2,m50_signal2,v_signal2,v50_signal2,B,nondectime
32,condition_80cue,0.5733849091449488,0.019777378275436,0.8530802835068374,0.411440043330857,0.0,0.0,0.9219429017809642,1.015787076829373,0.0,0.0,5.8478447440667845,8.877375880228755,1.0916513209776877,0.8246160786437832
33,condition_80cue,0.6913653191627394,1.8534213978690952,0.0,0.0,0.6889608514517769,0.9744847710141143,2.335044431928555,0.8901535749019426,7.165671537885147,10.0,0.0,10.0,0.9505983542686458,1.3746351813573277
35,condition_80cue,1.7710128504757898,1.088258195166978,5.987646635480033,0.0,1.2718512948093457,0.0,3.32621387016818,8.428580152895172,2.4386551267827636,0.0,0.0,0.0,0.6471191087248993,0.869490333649443
36,condition_80cue,1.396781929306743,2.068592945656649,0.6336327800312747,0.0,0.0,0.0,4.9279096514670515,9.397882914507573,2.615308359635998,2.6549910811838164,1.971532160755778,6.904309887703664,0.7326394707058661,1.2084522815552547
37,condition_80cue,0.4652841594952098,0.9552715120426432,0.6113166527762033,0.6168518208269448,0.0,0.0,0.1788927784145045,0.0,1.4561613903461588,0.0,10.0,0.0,0.9085671853951034,1.0296890529460725
38,condition_80cue,2.6338936406234534,0.5204242365636707,0.0,0.4045134972302174,3.5405450508820917,5.933223693484358,0.0,0.0,4.058620910940535,2.703126305555952,6.3338044514390255,8.823808983368352,5.046901978560147,0.0149159007279109
39,condition_80cue,0.88571414921983,0.7824643043428392,0.582538787398913,0.0,0.0,0.3116722773395431,0.7930216983422763,2.3475930781261365,0.4418056422411134,10.0,2.79650798510938,10.0,0.9579075496741948,0.9925334502709684
40,condition_80cue,1.2903524951245684,0.0,0.0,0.0,5.153767639650622,5.701233215093098,0.0,0.5342666501298355,0.2790404522902538,1.417038040966174,10.0,10.0,4.142904007642862,0.013102969492587
41,condition_80cue,0.0,0.0,1.9530402647550171,2.397043787505486,2.701559121729141,3.5926955260038125,0.0,0.0,6.828367715597766,3.2237824832349253,0.0,6.048156153419752,5.308353235817975,0.0547270496348257
42,condition_80cue,0.3498460779296446,0.2955081613778268,3.2782947234179725,0.0,0.0146255909926009,4.5021465625372254,4.7410380926104345,7.068528518940145,7.863029824616071,5.427418406814708,5.362552907040918,10.0,2.38359387060075,1.4681931845538396
