subID,block,trial,image,actualResponse,correctResponse,accuracy,RT
 25, 1, 1, S2-19.jpg, 2, 2, 1, 1.706276e+00, 
 25, 1, 2, S1-15.jpg, 1, 1, 1, 1.133033e+00, 
 25, 1, 3, S2-19.jpg, 2, 2, 1, 7.732167e-01, 
 25, 1, 4, S2-19.jpg, 2, 2, 1, 1.546716e+00, 
 25, 1, 5, S2-19.jpg, 2, 2, 1, 7.598241e-01, 
 25, 1, 6, S1-15.jpg, 1, 1, 1, 8.134703e-01, 
 25, 1, 7, S2-19.jpg, 2, 2, 1, 8.000155e-01, 
 25, 1, 8, S1-15.jpg, 1, 1, 1, 1.013051e+00, 
 25, 1, 9, S2-19.jpg, 2, 2, 1, 7.066795e-01, 
 25, 1, 10, S2-19.jpg, 2, 2, 1, 7.865612e-01, 
 25, 1, 11, S1-15.jpg, 1, 1, 1, 7.334007e-01, 
 25, 1, 12, S2-19.jpg, 2, 2, 1, 7.749790e-01, 
 25, 1, 13, S2-19.jpg, 2, 2, 1, 7.066420e-01, 
 25, 1, 14, S1-15.jpg, 1, 1, 1, 6.801446e-01, 
 25, 1, 15, S1-15.jpg, 1, 1, 1, 9.199564e-01, 
 25, 1, 16, S2-19.jpg, 2, 2, 1, 6.267412e-01, 
 25, 1, 17, S1-15.jpg, 1, 1, 1, 6.401827e-01, 
 25, 1, 18, S1-15.jpg, 1, 1, 1, 7.467333e-01, 
 25, 1, 19, S1-15.jpg, 1, 1, 1, 6.132599e-01, 
 25, 1, 20, S1-15.jpg, 1, 1, 1, 7.200094e-01, 
