subID,block,trial,image,actualResponse,correctResponse,accuracy,RT
 13, 1, 1, S2-19.jpg, 2, 2, 1, 8.014868e-01, 
 13, 1, 2, S1-15.jpg, 1, 1, 1, 6.133207e-01, 
 13, 1, 3, S1-15.jpg, 1, 1, 1, 5.998129e-01, 
 13, 1, 4, S2-19.jpg, 2, 2, 1, 5.333908e-01, 
 13, 1, 5, S2-19.jpg, 2, 2, 1, 6.400140e-01, 
 13, 1, 6, S2-19.jpg, 2, 2, 1, 6.133139e-01, 
 13, 1, 7, S2-19.jpg, 2, 2, 1, 4.934590e-01, 
 13, 1, 8, S1-15.jpg, 1, 1, 1, 7.333002e-01, 
 13, 1, 9, S2-19.jpg, 2, 2, 1, 1.093093e+00, 
 13, 1, 10, S2-19.jpg, 2, 2, 1, 5.336230e-01, 
 13, 1, 11, S1-15.jpg, 1, 1, 1, 6.134911e-01, 
 13, 1, 12, S1-15.jpg, 1, 1, 1, 7.732183e-01, 
 13, 1, 13, S2-19.jpg, 2, 2, 1, 5.733318e-01, 
 13, 1, 14, S2-19.jpg, 2, 2, 1, 7.600194e-01, 
 13, 1, 15, S1-15.jpg, 1, 1, 1, 4.816078e-01, 
 13, 1, 16, S1-15.jpg, 1, 1, 1, 4.002901e-01, 
 13, 1, 17, S1-15.jpg, 1, 1, 1, 5.333013e-01, 
 13, 1, 18, S1-15.jpg, 1, 1, 1, 4.544046e-01, 
 13, 1, 19, S2-19.jpg, 2, 2, 1, 6.001883e-01, 
 13, 1, 20, S1-15.jpg, 1, 1, 1, 5.468762e-01, 
