subID,noise1_cong,noise1_incong,noise1_neut,signal1_cong,signal1_incong,signal1_neut,noise2_cong,noise2_incong,noise2_neut,signal2_cong,signal2_incong,signal2_neut,B
32,0.16014928122960131,6.330636009654346,5.408135834003228,0.21418467394872695,1.3039261697915088,0.0,0.2174794814935949,0.0,0.6562133858370612,5.87831354638492,6.856048284008552,4.644252202406243,2.5079787323631884
33,1.1029797386487419,3.6691407943303185,9.079618203986062,6.374796829656419,8.136410120365424,5.442067501617155,0.06073035820393785,0.0,1.0765384360250987,5.508736412968093,5.840076644408161,7.801348144339076,7.169666402026761
35,0.876558724944127,4.917014321796154,1.6538460754996365,3.9104756727840373,5.02811133008912,3.645852649254998,4.228909005613395,6.756648674035621,3.9201638989701135,7.24077334626109,10.0,7.222866731794371,3.3314861675645577
36,1.9766082364740485,5.910053185456359,0.5705552578125292,5.045606714565593,9.018470849556891,5.012120335006524,0.9059414759628738,2.2508838886069187,1.7817549591706339,8.228667571472883,10.0,8.14441714436722,6.616106566472015
37,0.02351307125003302,8.367240792666067,6.19691437606458,0.13016929426203225,0.0,0.49975730481592756,0.05355605150186792,0.5839614043539647,0.0,1.1894650170056709,0.0,1.1669089174195546,1.4965037631911375
38,0.7236269609008266,8.872660803590797,3.522290788870597,2.3963656343654107,2.249025797777249,2.1830201412749477,0.0,0.0,0.0,7.491047491279376,8.147603266864532,6.406713598838773,4.130271543184625
39,0.0,0.323719898504887,8.193214987340419,2.0196339187658556,0.3781225612538351,1.258693511897029,0.0,0.0,0.0,6.140515074587813,7.977001842559571,6.24599993538439,3.0872240939095867
40,0.0,1.584142718941186,6.255183472883549,3.692580023269043,1.8303477903567156,2.7774496614011204,0.0,1.736127225197685,0.0,7.322669786672311,6.9233202243384815,7.025696531129246,3.4103796772727826
41,0.33175247120306073,2.1911462152254337,4.256134568874598,4.910651013770942,4.106245939472205,5.422546113466092,0.0,0.0,0.0,5.757434501899536,6.191542992064936,5.6266917095893545,6.929307668288457
42,2.8149185127249625,1.8045677627921162,3.715907798445064,3.268628406573716,0.40282927036038385,4.051712594725131,0.0,0.0,0.0,5.724137104970363,10.0,5.018849909988351,8.743558115019159
43,0.1775783121182966,5.749941893301006,4.488618834499175,3.137626446253273,4.042702263463245,2.847926011028328,0.0,0.0,0.0,5.483706877430933,4.585272191301808,5.962443725998291,4.338937294246827
44,0.0,5.215806720813489,2.078413950688031,0.8501510962551264,0.0,0.6382434874627548,0.3565446747095561,0.18560482439198,0.5660534205098501,5.464399937210777,0.0,5.8918896412512645,2.1617634688151632
45,0.0,3.2458307349380284,9.638160668306256,0.7154640818613159,0.0,1.3179271417778662,0.0,0.5517337524548663,0.0,4.37322826214767,4.433723800505224,3.7368327702560635,3.2485049761492295
46,0.0,7.419698782472427,6.1471888841747555,0.20287189549297624,0.0,0.0,0.0,0.0,0.10356247540890182,0.6582460263407466,0.0,0.2684114534589127,1.4013698581484064
47,1.0352875635683367,8.199094611922582,5.85930938455228,3.624211401813949,3.6978451890288215,3.64292294029765,0.4679999652686007,2.430129974547061,1.8136869035615728,7.033931064137607,6.047101340774702,6.104142324819944,5.601806182439864
48,0.2509891958414017,2.8790729079372053,6.641465505288577,0.0,0.0,0.02853288744965906,0.0,0.0,0.0,3.845481104798807,0.0,3.565017048430977,2.634026993749888
49,1.2251491741851321,7.354908306270093,3.6321144171457256,5.594345127113215,8.58596186625094,5.060647637701623,0.0,4.52917330198613,0.0,8.560259636505107,10.0,8.517363024669612,5.840623095403509
