subject_id,condition,12drift_contCue,8drifts_congIncong_allConditions,12drift_contCue_vs_8drifts_congIncong_allConditions
32,condition_80cue,396.4692731716471,405.759759918474,-9.2904867468269
33,condition_80cue,320.545042761289,323.4966941690876,-2.9516514077986358
35,condition_80cue,189.73916935080726,210.13808291450619,-20.398913563698926
36,condition_80cue,265.06251303075805,263.9884061686018,1.0741068621562704
37,condition_80cue,593.9034292300223,592.4601323122247,1.4432969177976247
38,condition_80cue,338.95007392874993,445.5258091416889,-106.57573521293898
39,condition_80cue,553.8794458427276,562.4513769176802,-8.571931074952658
40,condition_80cue,375.2286304347724,371.35587446412967,3.872755970642743
41,condition_80cue,697.4361183489681,861.7884397452225,-164.3523213962544
42,condition_80cue,289.618957896679,569.2861616480006,-279.66720375132167
43,condition_80cue,440.75580727068774,518.4661415050883,-77.71033423440059
44,condition_80cue,416.4488411849886,462.3010876147702,-45.85224642978159
45,condition_80cue,848.9581850151347,652.0593329778204,196.89885203731433
46,condition_80cue,675.8498284325357,676.9051454047094,-1.0553169721737277
47,condition_80cue,259.62921821978347,327.860208074621,-68.23098985483756
48,condition_80cue,573.999759740729,643.4218212587524,-69.42206151802338
49,condition_80cue,394.2519659190532,394.5009062770979,-0.24894035804470604
50,condition_80cue,245.11064439203983,71.65395599466824,173.45668839737158
51,condition_80cue,540.3489146126869,539.9166067235712,0.43230788911569107
52,condition_80cue,524.9023238748373,525.8501131481677,-0.9477892733303861
53,condition_80cue,719.8021232539984,994.2668540133267,-274.4647307593283
54,condition_80cue,185.733682097868,368.38286361946086,-182.64918152159285
55,condition_65cue,740.4680485657889,741.1550689522971,-0.6870203865082658
56,condition_65cue,675.1241612179804,675.7020525964285,-0.5778913784481574
57,condition_65cue,696.9523017354206,690.8296348677877,6.1226668676329155
58,condition_65cue,808.6225346896467,807.9070303219283,0.7155043677183812
59,condition_65cue,417.6309577768042,417.45649149362777,0.17446628317645718
60,condition_65cue,690.510072284311,691.1081671462663,-0.5980948619552464
61,condition_65cue,667.7293226813147,666.1202648706724,1.6090578106422981
62,condition_65cue,566.3923512693129,610.2057462882536,-43.813395018940696
63,condition_65cue,643.9309349795861,942.1585345586496,-298.2275995790635
64,condition_65cue,428.4337086852374,426.66661239747106,1.7670962877663214
65,condition_65cue,87.0939396192073,90.91014870230552,-3.816209083098215
66,condition_65cue,664.1655688005588,667.2330812808186,-3.0675124802597793
67,condition_65cue,694.451267498277,649.9705100330981,44.480757465178954
68,condition_65cue,626.4220448574337,638.1686081751415,-11.746563317707796
69,condition_65cue,433.51500282258024,430.53801453750793,2.9769882850723093
70,condition_65cue,784.4678927061262,784.4570037223172,0.010888983809081765
71,condition_65cue,212.38861263411826,413.76864043380954,-201.38002779969128
72,condition_65cue,426.8662601244968,422.65627263875984,4.209987485736974
