subID,block,trial,targetImg,targetIdx,cue_rgb,cue_string,congruent,respFrame,response,accuracy,RT,confResp,confRT,flickerDuration,noise1frames,signal1frames,noise2frames,coherence,catch_trial
 12, 1, 1, S2-19.jpg, 2, [240 168 10], orange, NaN, 241, 2, 1, 3.3300, NaN, NaN, 3.3404,89,25,87,0.7566,1
 12, 1, 2, S1-15.jpg, 1, [181 10 240], purple, 1, 232, 1, 1, 3.1873, 2, 0.9072, 3.1883,91,31,104,0.7725,0
 12, 1, 3, S2-19.jpg, 2, [10 240 94], green, 1, 177, 2, 1, 2.4846, 3, 1.1563, 2.4861,89,27,80,0.7566,0
 12, 1, 4, S2-19.jpg, 2, [10 240 94], green, 1, 150, 1, 0, 2.0945, 2, 0.7691, 2.0954,139,31,85,0.7566,0
 12, 1, 5, S1-15.jpg, 1, [240 168 10], orange, NaN, 265, 1, 1, 3.6761, 3, 1.5893, 3.6771,138,25,81,0.7725,1
 12, 1, 6, S1-15.jpg, 1, [240 168 10], orange, NaN, 208, 2, 0, 2.8794, 2, 1.3194, 2.8802,79,33,86,0.7725,1
 12, 1, 7, S1-15.jpg, 1, [10 240 94], green, 0, 202, 2, 0, 2.8291, 3, 0.5723, 2.8301,96,27,76,0.7725,0
 12, 1, 8, S2-19.jpg, 2, [10 240 94], green, 1, 237, 2, 1, 3.2849, 3, 0.7148, 3.2859,94,51,88,0.7566,0
 12, 1, 9, S1-15.jpg, 1, [10 240 94], green, 0, 255, 2, 0, 3.6147, 2, 1.2579, 3.6154,86,58,90,0.7725,0
 12, 1, 10, S2-19.jpg, 2, [10 240 94], green, 1, 222, 1, 0, 3.0759, 3, 0.9587, 3.0768,127,36,113,0.7566,1
 12, 1, 11, S2-19.jpg, 2, [10 240 94], green, 1, 170, 1, 0, 2.3739, 3, 1.4938, 2.3749,84,62,83,0.7566,0
 12, 1, 12, S2-19.jpg, 2, [10 240 94], green, 1, 204, 1, 0, 2.8419, 2, 0.7701, 2.8430,77,38,78,0.7566,0
 12, 1, 13, S2-19.jpg, 2, [10 240 94], green, 1, 220, 2, 1, 3.1492, 2, 0.7458, 3.1499,107,26,90,0.7566,0
 12, 1, 14, S2-19.jpg, 2, [10 240 94], green, 1, 214, 2, 1, 2.9741, 3, 1.1101, 2.9751,104,38,102,0.7566,0
 12, 1, 15, S1-15.jpg, 1, [181 10 240], purple, 1, 188, 1, 1, 2.6114, 2, 0.7545, 2.6124,81,53,77,0.7725,0
 12, 1, 16, S2-19.jpg, 2, [10 240 94], green, 1, 290, 2, 1, 4.0353, 3, 0.6761, 4.0361,95,81,82,0.7566,0
 12, 1, 17, S2-19.jpg, 2, [10 240 94], green, 1, 134, 2, 1, 1.8791, 3, 0.5422, 1.8801,103,31,76,0.7566,0
 12, 1, 18, S1-15.jpg, 1, [240 168 10], orange, NaN, 192, 2, 0, 2.6836, 3, 0.6158, 2.6846,103,41,76,0.7725,0
 12, 1, 19, S1-15.jpg, 1, [240 168 10], orange, NaN, 170, 1, 1, 2.3654, 2, 0.3104, 2.3661,79,24,79,0.7725,0
 12, 1, 20, S1-15.jpg, 1, [240 168 10], orange, NaN, 280, 1, 1, 3.9098, 2, 1.2857, 3.9113,110,41,89,0.7725,0
 12, 1, 21, S1-15.jpg, 1, [181 10 240], purple, 1, 143, 1, 1, 2.0488, 3, 0.6234, 2.0495,82,29,94,0.7725,0
 12, 1, 22, S1-15.jpg, 1, [181 10 240], purple, 1, 100, 1, 1, 1.4059, 3, 0.8163, 1.4068,93,26,80,0.7725,0
 12, 1, 23, S2-19.jpg, 2, [181 10 240], purple, 0, 51, 1, 0, 0.6898, 3, 0.6251, 0.6908,136,74,93,0.7566,0
 12, 1, 24, S1-15.jpg, 1, [240 168 10], orange, NaN, 168, 2, 0, 2.3645, 3, 0.6829, 2.3655,82,53,85,0.7725,0
 12, 1, 25, S1-15.jpg, 1, [240 168 10], orange, NaN, 149, 2, 0, 2.0832, 3, 1.4792, 2.0840,86,87,102,0.7725,0
 12, 1, 26, S1-15.jpg, 1, [240 168 10], orange, NaN, 188, 2, 0, 2.6559, 3, 1.3741, 2.6566,76,49,83,0.7725,0
 12, 1, 27, S1-15.jpg, 1, [181 10 240], purple, 1, 171, 1, 1, 2.4020, 3, 1.3334, 2.4028,116,35,77,0.7725,0
 12, 1, 28, S1-15.jpg, 1, [181 10 240], purple, 1, 255, 1, 1, 3.5651, 3, 0.7090, 3.5660,80,57,82,0.7725,0
 12, 1, 29, S1-15.jpg, 1, [10 240 94], green, 0, 144, 2, 0, 2.0353, 4, 1.4305, 2.0361,99,61,85,0.7725,0
 12, 1, 30, S2-19.jpg, 2, [240 168 10], orange, NaN, 265, 1, 0, 3.6781, 2, 0.4161, 3.6791,90,91,86,0.7566,1
 12, 1, 31, S1-15.jpg, 1, [181 10 240], purple, 1, 141, 1, 1, 1.9634, 3, 0.5593, 1.9643,128,44,95,0.7725,0
 12, 1, 32, S2-19.jpg, 2, [181 10 240], purple, 0, 178, 2, 1, 2.5138, 2, 1.5205, 2.5147,78,143,99,0.7566,0
 12, 1, 33, S2-19.jpg, 2, [10 240 94], green, 1, 176, 2, 1, 2.4410, 3, 0.5811, 2.4420,95,24,83,0.7566,0
 12, 1, 34, S2-19.jpg, 2, [10 240 94], green, 1, 259, 2, 1, 3.6041, 3, 0.4652, 3.6049,94,62,85,0.7566,0
 12, 1, 35, S1-15.jpg, 1, [181 10 240], purple, 1, NaN, 2, 0, 7.8490, 1, 1.7195, 7.4651,87,23,85,0.7725,1
 12, 1, 36, S1-15.jpg, 1, [181 10 240], purple, 1, 212, 1, 1, 2.9476, 2, 1.8596, 2.9490,91,27,112,0.7725,0
 12, 1, 37, S2-19.jpg, 2, [181 10 240], purple, 0, 169, 1, 0, 2.3603, 3, 0.4031, 2.3613,120,26,89,0.7566,0
 12, 1, 38, S1-15.jpg, 1, [181 10 240], purple, 1, 284, 2, 0, 3.9458, 2, 1.3652, 3.9473,84,33,108,0.7725,1
 12, 1, 39, S1-15.jpg, 1, [240 168 10], orange, NaN, 254, 1, 1, 3.5178, 2, 2.6018, 3.5186,76,32,102,0.7725,0
 12, 1, 40, S2-19.jpg, 2, [10 240 94], green, 1, 290, 2, 1, 4.0139, 1, 1.9562, 4.0147,78,28,79,0.7566,0
 12, 1, 41, S1-15.jpg, 1, [240 168 10], orange, NaN, 266, 2, 0, 3.6929, 3, 1.1852, 3.6939,102,37,106,0.7725,0
 12, 1, 42, S2-19.jpg, 2, [10 240 94], green, 1, 315, 2, 1, 4.3429, 3, 0.4705, 4.3438,76,27,94,0.7566,1
 12, 1, 43, S1-15.jpg, 1, [181 10 240], purple, 1, 220, 1, 1, 3.0686, 2, 1.1491, 3.0701,141,54,84,0.7725,0
 12, 1, 44, S1-15.jpg, 1, [181 10 240], purple, 1, 157, 2, 0, 2.1934, 2, 0.9166, 2.1948,112,27,96,0.7725,0
 12, 1, 45, S1-15.jpg, 1, [181 10 240], purple, 1, 512, 1, 1, 7.0839, 2, 0.7944, 7.0848,89,40,123,0.7725,0
 12, 1, 46, S2-19.jpg, 2, [10 240 94], green, 1, 433, 2, 1, 6.0199, 3, 0.9170, 6.0207,82,35,79,0.7566,0
 12, 1, 47, S1-15.jpg, 1, [240 168 10], orange, NaN, 368, 1, 1, 5.0965, 3, 1.1011, 5.0975,75,28,103,0.7725,0
 12, 1, 48, S2-19.jpg, 2, [10 240 94], green, 1, 226, 2, 1, 3.1646, 3, 0.9108, 3.1656,76,30,80,0.7566,0
 12, 1, 49, S2-19.jpg, 2, [10 240 94], green, 1, 288, 2, 1, 3.9843, 4, 0.9658, 3.9853,106,64,100,0.7566,0
 12, 1, 50, S1-15.jpg, 1, [181 10 240], purple, 1, 385, 1, 1, 5.3285, 4, 1.2780, 5.3300,81,31,78,0.7725,0
 12, 1, 51, S2-19.jpg, 2, [10 240 94], green, 1, 375, 1, 0, 5.2139, 3, 1.3095, 5.2150,116,36,97,0.7566,0
 12, 1, 52, S1-15.jpg, 1, [240 168 10], orange, NaN, 410, 2, 0, 5.6696, 2, 1.3153, 5.6706,105,29,134,0.7725,0
 12, 1, 53, S1-15.jpg, 1, [10 240 94], green, 0, 468, 1, 1, 6.4953, 3, 1.4732, 6.4963,81,55,108,0.7725,0
 12, 1, 54, S1-15.jpg, 1, [181 10 240], purple, 1, 430, 2, 0, 6.0474, 3, 0.9639, 6.0481,86,35,95,0.7725,0
