subID,block,trial,image,imageIdx,cueIdx,cue_string,congruent,response,accuracy,RT, cueDuration,learningRound
13,1,1, S4-20.jpg,2,2, blue,1,2,1,1.9463,1.25,1
13,1,2, S4-20.jpg,2,1, red,0,2,1,2.5461,1.8667,1
13,1,3, S4-20.jpg,2,3, yellow, NaN,2,1,1.6529,1.2667,1
13,1,4, S4-20.jpg,2,1, red,0,2,1,1.8401,1.3,1
13,1,5, S4-20.jpg,2,3, yellow, NaN,2,1,1.8927,1.5,1
13,1,6, S3-12.jpg,1,1, red,1,1,1,1.9196,1.25,1
13,1,7, S4-20.jpg,2,2, blue,1,2,1,1.8663,1.25,1
13,1,8, S3-12.jpg,1,2, blue,0,1,1,2.053,1.5167,1
13,1,9, S4-20.jpg,2,2, blue,1,2,1,1.9196,1.35,1
13,1,10, S3-12.jpg,1,1, red,1,1,1,1.8264,1.3167,1
13,1,11, S3-12.jpg,1,1, red,1,1,1,1.7995,1.2667,1
13,1,12, S3-12.jpg,1,1, red,1,1,1,1.853,1.2833,1
13,1,13, S4-20.jpg,2,2, blue,1,2,1,0.5874,1.55,1
13,1,14, S4-20.jpg,2,3, yellow, NaN,2,1,0.5889,1.7333,1
13,1,15, S4-20.jpg,2,2, blue,1,2,1,0.8272,1.6,1
13,1,16, S4-20.jpg,2,1, red,0,1,0,0.4555,3.25,1
13,1,17, S3-12.jpg,1,1, red,1,1,1,1.3538,1.3833,1
13,1,18, S3-12.jpg,1,3, yellow, NaN,1,1,2.5463,1.8167,1
13,1,19, S4-20.jpg,2,2, blue,1,2,1,1.8529,1.3,1
13,1,20, S4-20.jpg,2,3, yellow, NaN,1,0,1.3021,1.4333,1
13,1,21, S3-12.jpg,1,3, yellow, NaN,1,1,1.3864,1.35,1
13,1,22, S3-12.jpg,1,1, red,1,1,1,1.7728,1.3,1
13,1,23, S3-12.jpg,1,3, yellow, NaN,2,0,2.546,1.25,1
13,1,24, S3-12.jpg,1,1, red,1,1,1,1.8263,1.5833,1
13,1,25, S3-12.jpg,1,1, red,1,1,1,0.9086,1.6167,1
13,1,26, S3-12.jpg,1,2, blue,0,1,1,2.5462,1.25,1
13,1,27, S3-12.jpg,1,3, yellow, NaN,1,1,2.0262,1.3333,1
13,1,28, S3-12.jpg,1,1, red,1,2,0,1.5102,1.6833,1
13,1,29, S4-20.jpg,2,3, yellow, NaN,2,1,2.0796,1.3333,1
13,1,30, S3-12.jpg,1,1, red,1,1,1,1.8929,1.4,1
13,1,31, S3-12.jpg,1,1, red,1,1,1,2.2394,1.5333,1
13,1,32, S3-12.jpg,1,3, yellow, NaN,1,1,2.7194,1.5167,1
13,1,33, S4-20.jpg,2,3, yellow, NaN,2,1,2.4927,1.8833,1
13,1,34, S3-12.jpg,1,2, blue,0,2,0,0.9642,1.9167,1
13,1,35, S3-12.jpg,1,3, yellow, NaN,1,1,2.3462,1.3167,1
13,1,36, S3-12.jpg,1,1, red,1,1,1,2.2677,1.4,1
13,1,37, S4-20.jpg,2,3, yellow, NaN,2,1,2.053,1.4667,1
13,1,38, S4-20.jpg,2,2, blue,1,2,1,1.9995,1.4667,1
13,1,39, S3-12.jpg,1,1, red,1,1,1,1.0932,1.7833,1
13,1,40, S3-12.jpg,1,3, yellow, NaN,1,1,1.893,1.4167,1
13,1,41, S4-20.jpg,2,3, yellow, NaN,1,0,1.135,1.3667,1
13,1,42, S3-12.jpg,1,2, blue,0,2,0,0.955,1.2667,1
13,1,43, S4-20.jpg,2,2, blue,1,2,1,0.2118,1.5,1
13,1,44, S4-20.jpg,2,3, yellow, NaN,1,0,1.3231,1.4333,1
13,1,45, S4-20.jpg,2,2, blue,1,2,1,2.2928,1.6333,1
13,1,46, S4-20.jpg,2,3, yellow, NaN,2,1,2.4261,1.8,1
13,1,47, S4-20.jpg,2,2, blue,1,2,1,2.5727,1.7,1
13,1,48, S3-12.jpg,1,3, yellow, NaN,1,1,2.5061,1.85,1
13,1,49, S3-12.jpg,1,3, yellow, NaN,2,0,2.0529,1.45,1
13,1,50, S4-20.jpg,2,2, blue,1,2,1,2.6394,1.9333,1
13,1,51, S4-20.jpg,2,2, blue,1,2,1,1.9463,1.4833,1
13,1,52, S4-20.jpg,2,2, blue,1,2,1,2.0662,1.35,1
13,1,53, S4-20.jpg,2,2, blue,1,2,1,2.1061,1.55,1
13,1,54, S3-12.jpg,1,1, red,1,1,1,2.1062,1.3667,1
13,1,55, S3-12.jpg,1,1, red,1,1,1,2.3195,1.5333,1
13,1,56, S4-20.jpg,2,1, red,0,2,1,2.4795,1.8333,1
13,1,57, S3-12.jpg,1,3, yellow, NaN,1,1,1.9595,1.3833,1
13,1,58, S3-12.jpg,1,1, red,1,1,1,1.9465,1.45,1
13,1,59, S3-12.jpg,1,2, blue,0,1,1,1.9463,1.2833,1
13,1,60, S3-12.jpg,1,1, red,1,1,1,1.6667,1.25,1
13,1,61, S4-20.jpg,2,1, red,0,2,1,2.0129,1.3833,1
13,1,62, S3-12.jpg,1,3, yellow, NaN,1,1,2.4794,1.7167,1
13,1,63, S4-20.jpg,2,2, blue,1,2,1,2.5064,1.9,1
13,1,64, S3-12.jpg,1,1, red,1,1,1,2.0129,1.25,1
13,1,65, S4-20.jpg,2,3, yellow, NaN,2,1,2.3328,1.6667,1
13,1,66, S4-20.jpg,2,2, blue,1,2,1,2.1196,1.4167,1
13,1,67, S4-20.jpg,2,2, blue,1,2,1,1.9329,1.3667,1
13,1,68, S3-12.jpg,1,1, red,1,1,1,2.1462,1.3333,1
13,1,69, S3-12.jpg,1,3, yellow, NaN,1,1,2.5061,1.7667,1
13,1,70, S4-20.jpg,2,3, yellow, NaN,2,1,2.3341,1.75,1
13,1,71, S4-20.jpg,2,2, blue,1,2,1,2.5596,1.4833,1
13,1,72, S4-20.jpg,2,2, blue,1,2,1,2.3729,1.65,1
13,1,73, S3-12.jpg,1,1, red,1,1,1,2.1861,1.3167,1
13,1,74, S3-12.jpg,1,3, yellow, NaN,1,1,1.773,1.2833,1
13,1,75, S4-20.jpg,2,2, blue,1,2,1,2.1861,1.5667,1
