subID,model,loss,condition,sample_size,n_params,m_noise1_fitted,m_noise1_min,m_noise1_max,m50_noise1_fitted,m50_noise1_min,m50_noise1_max,m_signal1_fitted,m_signal1_min,m_signal1_max,m50_signal1_fitted,m50_signal1_min,m50_signal1_max,v_signal1_fitted,v_signal1_min,v_signal1_max,v50_signal1_fitted,v50_signal1_min,v50_signal1_max,m_noise2_fitted,m_noise2_min,m_noise2_max,m50_noise2_fitted,m50_noise2_min,m50_noise2_max,m_signal2_fitted,m_signal2_min,m_signal2_max,m50_signal2_fitted,m50_signal2_min,m50_signal2_max,v_signal2_fitted,v_signal2_min,v_signal2_max,v50_signal2_fitted,v50_signal2_min,v50_signal2_max,B_fitted,B_min,B_max
43,signedCue_0ndt_0.7coh,421.76456192940617,condition_80cue,412,13,0.0,0.0,10.0,0.0,0.0,10.0,0.08713720601069735,0.0,10.0,5.5185513686663805,0.0,10.0,4.21975593348612,0.0,10.0,4.968350205175831,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,1.229848536008966,0.0,10.0,7.86217496115089,0.0,10.0,7.613068460980184,0.0,10.0,4.144089275494803,0.5,25.0
44,signedCue_0ndt_0.7coh,459.05222697376644,condition_80cue,414,13,1.7313025879090072,0.0,10.0,0.0,0.0,10.0,1.8334912555983967,0.0,10.0,6.625605743283518,0.0,10.0,0.414793985217189,0.0,10.0,6.129104687306209,0.0,10.0,0.17056289872250927,0.0,10.0,1.4433849566346055,0.0,10.0,7.796968438571654,0.0,10.0,6.309645897011065,0.0,10.0,0.7191358869807679,0.0,10.0,6.220709786054701,0.0,10.0,3.9916425434251384,0.5,25.0
45,signedCue_0ndt_0.7coh,937.0811762085987,condition_80cue,403,13,2.401174530711654,0.0,10.0,0.0,0.0,10.0,1.062202300867328,0.0,10.0,8.44177064703932,0.0,10.0,0.2651901464114488,0.0,10.0,3.9372225950769266,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.832161010388415,0.0,10.0,5.616058662825679,0.0,10.0,0.0,0.0,10.0,1.703587801390358,0.0,10.0,4.976402436089379,0.5,25.0
46,signedCue_0ndt_0.7coh,803.5735885480901,condition_80cue,413,13,0.0,0.0,10.0,0.0,0.0,10.0,0.15908667661400283,0.0,10.0,0.0,0.0,10.0,0.12099229562247499,0.0,10.0,0.3076871955362206,0.0,10.0,0.0,0.0,10.0,0.2182110171657049,0.0,10.0,0.1828227985029906,0.0,10.0,0.19978366601840303,0.0,10.0,0.7489524377572879,0.0,10.0,0.2444704807206174,0.0,10.0,1.4389314673104465,0.5,25.0
47,signedCue_0ndt_0.7coh,248.84290974414645,condition_80cue,413,13,0.26845133589645664,0.0,10.0,1.8210062224689816,0.0,10.0,0.0,0.0,10.0,6.014407384666066,0.0,10.0,5.637697466974554,0.0,10.0,0.9307020790981211,0.0,10.0,0.3940409424715326,0.0,10.0,3.5290202227130916,0.0,10.0,0.0,0.0,10.0,1.056409767146578,0.0,10.0,10.0,0.0,10.0,7.86629073888596,0.0,10.0,5.115370328362923,0.5,25.0
48,signedCue_0ndt_0.7coh,565.3753981048945,condition_80cue,412,13,0.020069493910112368,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,1.8716842080891143,0.0,10.0,0.5795443856607404,0.0,10.0,3.1551258001161426,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,3.2273216591565403,0.0,10.0,6.720459595413074,0.0,10.0,3.575680768973459,0.0,10.0,3.3003034835743374,0.5,25.0
49,signedCue_0ndt_0.7coh,905.6058555744129,condition_80cue,413,13,1.9525819390066352,0.0,10.0,3.135579228186687,0.0,10.0,6.674588825927986,0.0,10.0,9.474227225862672,0.0,10.0,0.0,0.0,10.0,3.7315281830432188,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,6.812994194427239,0.0,10.0,0.2963664158964026,0.0,10.0,7.047586491258948,0.0,10.0,5.892041942948756,0.5,25.0
50,signedCue_0ndt_0.7coh,47.92337166611566,condition_80cue,414,13,1.5836541808551197,0.0,10.0,0.0,0.0,10.0,0.2796918866582074,0.0,10.0,2.935364056120658,0.0,10.0,1.0237149822479574,0.0,10.0,1.6968137430096353,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,7.6709917428900685,0.0,10.0,6.385759795203857,0.0,10.0,0.21076186810024963,0.0,10.0,3.625703832061113,0.0,10.0,2.9142665951987077,0.5,25.0
51,signedCue_0ndt_0.7coh,596.0386099183786,condition_80cue,414,13,0.0,0.0,10.0,0.0,0.0,10.0,0.1630898095954427,0.0,10.0,0.3576609305116783,0.0,10.0,0.0,0.0,10.0,7.649270420667406,0.0,10.0,0.011090272866576177,0.0,10.0,0.12175130374692252,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.2333536445176164,0.0,10.0,0.0,0.0,10.0,1.038011142368326,0.5,25.0
52,signedCue_0ndt_0.7coh,766.2910740152923,condition_80cue,407,13,0.9672189238934588,0.0,10.0,3.8699997367670265,0.0,10.0,5.077344332039003,0.0,10.0,4.102557413637241,0.0,10.0,0.0,0.0,10.0,6.4809411670812045,0.0,10.0,0.5241631684969629,0.0,10.0,0.0,0.0,10.0,5.680603024100021,0.0,10.0,8.135867854278546,0.0,10.0,0.5138142616719618,0.0,10.0,1.4204910079688804,0.0,10.0,6.121018430801023,0.5,25.0
