subID,block,trial,image,actualResponse,correctResponse,accuracy,RT
 23, 1, 1, S1-15.jpg, 1, 1, 1, 7.166376e-01, 
 23, 1, 2, S1-15.jpg, 1, 1, 1, 5.501374e-01, 
 23, 1, 3, S1-15.jpg, 1, 1, 1, 5.168473e-01, 
 23, 1, 4, S2-19.jpg, 2, 2, 1, 5.167608e-01, 
 23, 1, 5, S2-19.jpg, 2, 2, 1, 6.332460e-01, 
 23, 1, 6, S1-15.jpg, 1, 1, 1, 6.001158e-01, 
 23, 1, 7, S1-15.jpg, 1, 1, 1, 6.999560e-01, 
 23, 1, 8, S2-19.jpg, 2, 2, 1, 1.266356e+00, 
 23, 1, 9, S1-15.jpg, 1, 1, 1, 6.169180e-01, 
 23, 1, 10, S2-19.jpg, 2, 2, 1, 4.667742e-01, 
 23, 1, 11, S2-19.jpg, 2, 2, 1, 4.674996e-01, 
 23, 1, 12, S2-19.jpg, 2, 2, 1, 7.832434e-01, 
 23, 1, 13, S1-15.jpg, 1, 1, 1, 8.002195e-01, 
 23, 1, 14, S1-15.jpg, 1, 1, 1, 7.335479e-01, 
 23, 1, 15, S2-19.jpg, 2, 2, 1, 6.332669e-01, 
 23, 1, 16, S2-19.jpg, 2, 2, 1, 5.999760e-01, 
 23, 1, 17, S2-19.jpg, 2, 2, 1, 5.002091e-01, 
 23, 1, 18, S1-15.jpg, 1, 1, 1, 5.335377e-01, 
 23, 1, 19, S1-15.jpg, 1, 1, 1, 9.499716e-01, 
 23, 1, 20, S2-19.jpg, 2, 2, 1, 7.502592e-01, 
