subID,block,trial,image,actualResponse,correctResponse,accuracy,RT
 12, 1, 1, S2-19.jpg, 2, 2, 1, 1.999429e+00, 
 12, 1, 2, S1-15.jpg, NaN, 1, 0, NaN, 
 12, 1, 3, S1-15.jpg, NaN, 1, 0, NaN, 
 12, 1, 4, S2-19.jpg, 2, 2, 1, 1.493213e+00, 
 12, 1, 5, S2-19.jpg, 1, 2, 0, 7.209375e-01, 
 12, 1, 6, S2-19.jpg, 2, 2, 1, 1.279933e+00, 
 12, 1, 7, S2-19.jpg, 2, 2, 1, 5.465157e-01, 
 12, 1, 8, S1-15.jpg, 1, 1, 1, 9.197646e-01, 
 12, 1, 9, S2-19.jpg, 2, 2, 1, 1.013019e+00, 
 12, 1, 10, S2-19.jpg, 2, 2, 1, 9.462169e-01, 
 12, 1, 11, S1-15.jpg, 1, 1, 1, 6.000587e-01, 
 12, 1, 12, S1-15.jpg, 1, 1, 1, 8.264214e-01, 
 12, 1, 13, S2-19.jpg, 2, 2, 1, 6.130050e-01, 
 12, 1, 14, S2-19.jpg, 2, 2, 1, 4.949496e-01, 
 12, 1, 15, S1-15.jpg, 1, 1, 1, 5.067106e-01, 
 12, 1, 16, S1-15.jpg, 1, 1, 1, 6.266006e-01, 
 12, 1, 17, S1-15.jpg, NaN, 1, 0, NaN, 
 12, 1, 18, S1-15.jpg, NaN, 1, 0, NaN, 
 12, 1, 19, S2-19.jpg, 2, 2, 1, 7.200460e-01, 
 12, 1, 20, S1-15.jpg, 1, 1, 1, 7.199439e-01, 
