subID,model,loss,condition,sample_size,n_params,B_fitted,B_min,B_max,bias_fitted,bias_min,bias_max,bias50_fitted,bias50_min,bias50_max,nondectime_fitted,nondectime_min,nondectime_max
32,startPoint_only,420.2643717871424,condition_80cue,271,4,1.0685497989529176,0.5,15.0,0.21306431194839714,0.0,1.0,0.03778968825897716,0.0,1.0,0.8537719945214565,0.01,1.5
33,startPoint_only,369.56128470677135,condition_80cue,276,4,0.9135960575396782,0.5,15.0,0.10534068080078696,0.0,1.0,0.23088718994162116,0.0,1.0,1.389115711959409,0.01,1.5
35,startPoint_only,260.36203222602387,condition_80cue,414,4,0.6342010961977397,0.5,15.0,0.21348415994325343,0.0,1.0,0.030196781174597342,0.0,1.0,0.860531695891768,0.01,1.5
36,startPoint_only,328.78512656035946,condition_80cue,414,4,0.7010118538188814,0.5,15.0,0.2141108496638061,0.0,1.0,0.16691276783521197,0.0,1.0,1.224813694248224,0.01,1.5
37,startPoint_only,614.547827375469,condition_80cue,413,4,0.9044222947552041,0.5,15.0,0.10588713508454617,0.0,1.0,0.04189917027883899,0.0,1.0,1.0583344142134166,0.01,1.5
38,startPoint_only,618.4726300254948,condition_80cue,414,4,1.0933701851534796,0.5,15.0,0.37136541424826175,0.0,1.0,0.18408121690228996,0.0,1.0,1.0522495091254165,0.01,1.5
39,startPoint_only,584.5857947743647,condition_80cue,408,4,0.9471885089914621,0.5,15.0,0.20696426537368562,0.0,1.0,0.11057979427959697,0.0,1.0,1.0248081192220893,0.01,1.5
40,startPoint_only,473.07682730756494,condition_80cue,413,4,0.8075886331410734,0.5,15.0,0.3444742587507257,0.0,1.0,0.11192139491065956,0.0,1.0,1.0097086700544953,0.01,1.5
41,startPoint_only,733.4197791223484,condition_80cue,403,4,1.1962333063481847,0.5,15.0,0.16268067270925995,0.0,1.0,0.1121166433542099,0.0,1.0,1.4507563060645463,0.01,1.5
42,startPoint_only,723.6978859679838,condition_80cue,391,4,1.3548675651929363,0.5,15.0,0.08133974282805079,0.0,1.0,0.23395292398850298,0.0,1.0,1.4999228673744374,0.01,1.5
43,startPoint_only,632.8064281666867,condition_80cue,412,4,1.0414542168830303,0.5,15.0,0.18467902811348513,0.0,1.0,0.17152882384655393,0.0,1.0,1.1726421176789963,0.01,1.5
44,startPoint_only,548.3649135508648,condition_80cue,414,4,0.8964339109675943,0.5,15.0,0.22421122856510722,0.0,1.0,0.12854302802978784,0.0,1.0,1.046382190395938,0.01,1.5
45,startPoint_only,706.2213844747316,condition_80cue,403,4,1.1246716394406997,0.5,15.0,0.1251449498386879,0.0,1.0,0.253270100401295,0.0,1.0,1.4029423540196553,0.01,1.5
46,startPoint_only,688.2411186709651,condition_80cue,413,4,1.0656445144079245,0.5,15.0,0.057762734058113496,0.0,1.0,0.021700779016628313,0.0,1.0,0.6127767347507176,0.01,1.5
47,startPoint_only,468.2388380823276,condition_80cue,413,4,0.8711681544496296,0.5,15.0,0.24083749723158143,0.0,1.0,0.27583081581230295,0.0,1.0,1.3339647326929276,0.01,1.5
48,startPoint_only,807.7112506601115,condition_80cue,412,4,1.1982523990373029,0.5,15.0,0.13104135142405987,0.0,1.0,0.17729184801637954,0.0,1.0,1.4953225915126027,0.01,1.5
49,startPoint_only,418.9193125038093,condition_80cue,413,4,0.6746005543857728,0.5,15.0,0.1019578328262084,0.0,1.0,0.041569816680772365,0.0,1.0,1.1596139672501753,0.01,1.5
50,startPoint_only,442.0160486638069,condition_80cue,414,4,1.2566136373034995,0.5,15.0,0.6603830822456997,0.0,1.0,0.18032304135132216,0.0,1.0,0.2913731032962502,0.01,1.5
51,startPoint_only,543.4803845519511,condition_80cue,414,4,0.870135099597367,0.5,15.0,0.01694244853893917,0.0,1.0,0.02001216930161842,0.0,1.0,0.24462982476996498,0.01,1.5
52,startPoint_only,675.2537038215161,condition_80cue,407,4,1.132911422243469,0.5,15.0,0.12053259674040545,0.0,1.0,0.18944669971646394,0.0,1.0,1.4980814596333958,0.01,1.5
53,startPoint_only,801.2576400874415,condition_80cue,412,4,1.2474838132104684,0.5,15.0,0.13055600176751997,0.0,1.0,0.06033129443340213,0.0,1.0,1.4984937061741102,0.01,1.5
54,startPoint_only,514.5837415681086,condition_80cue,392,4,0.9425943715613898,0.5,15.0,0.19736433568655737,0.0,1.0,0.2949167361080442,0.0,1.0,1.146896976324213,0.01,1.5
55,startPoint_only,742.1240386237964,condition_65cue,416,4,1.0722790063905876,0.5,15.0,0.010724739683123763,0.0,1.0,0.014457136206394272,0.0,1.0,0.9743688595897,0.01,1.5
56,startPoint_only,679.493834081161,condition_65cue,416,4,1.0556942237258886,0.5,15.0,0.007510451441930799,0.0,1.0,0.014540673236575707,0.0,1.0,0.15421610047857237,0.01,1.5
57,startPoint_only,737.3668476753063,condition_65cue,416,4,1.154975261925365,0.5,15.0,0.1051680912589188,0.0,1.0,0.014851134766063034,0.0,1.0,0.15428070300086594,0.01,1.5
58,startPoint_only,815.2209740936836,condition_65cue,406,4,1.2837492964958586,0.5,15.0,0.02643688280495904,0.0,1.0,0.15205024305421078,0.0,1.0,0.5992305759418751,0.01,1.5
59,startPoint_only,491.6953450484168,condition_65cue,416,4,0.7559732461575648,0.5,15.0,0.027048224698067502,0.0,1.0,0.1773152707253256,0.0,1.0,0.9903568243621753,0.01,1.5
60,startPoint_only,724.6817431696026,condition_65cue,414,4,1.130460081561145,0.5,15.0,0.10764794404051792,0.0,1.0,0.017575083232198807,0.0,1.0,0.17206110444135092,0.01,1.5
