"subID","block","trial","targetImage","targetIdx","coherence","staircase","respFrame","response","accuracy","RT","flickerDuration","accuracyFactor","zlogRT"
"69",1,33," S2-19.jpg",2,0.8237,1,6,2,1,0.1222,0.13,"1",-1.4612459115464
"69",1,34," S1-15.jpg",1,0.4437,2,10,1,1,0.1935,0.2004,"1",-0.653056455023641
"69",1,35," S2-19.jpg",2,0.8109,1,2,1,0,0.0431,0.0509,"0",-3.29372965701441
"69",1,36," S2-19.jpg",2,0.7034,2,13,1,0,0.2517,0.2584,"0",-0.190668996162642
"69",1,37," S1-15.jpg",1,0.8633,1,14,1,1,0.2668,0.2711,"1",-0.0882225926117228
"69",1,38," S1-15.jpg",1,0.426,2,15,2,0,0.2958,0.3034,"0",0.0932157481472636
"69",1,39," S2-19.jpg",2,0.8409,1,17,1,0,0.325,0.3313,"0",0.258753645594182
"69",1,40," S2-19.jpg",2,0.7273,2,13,1,0,0.2554,0.2633,"0",-0.165008708068057
"69",1,41," S2-19.jpg",2,0.8655,1,15,1,0,0.2818,0.2899,"0",0.00795843766606127
"69",1,42," S1-15.jpg",1,0.4666,2,14,1,1,0.2689,0.2772,"1",-0.0744363606838818
"69",1,43," S1-15.jpg",1,0.8535,1,11,2,0,0.2174,0.2221,"0",-0.44827154564179
"69",1,44," S1-15.jpg",1,0.4477,2,15,1,1,0.2825,0.2907,"1",0.0123209223971431
"69",1,45," S2-19.jpg",2,0.8851,1,20,2,1,0.3538,0.3614,"1",0.408052735028434
"69",1,46," S2-19.jpg",2,0.7447,2,14,1,0,0.2578,0.2609,"0",-0.148562208897887
"69",1,47," S2-19.jpg",2,0.8788,1,19,1,0,0.322,0.3284,"0",0.242446956389294
"69",1,48," S2-19.jpg",2,0.756,2,14,2,1,0.2782,0.2873,"1",-0.0146497715723759
"69",1,49," S2-19.jpg",2,0.8939,1,15,1,0,0.262,0.2705,"0",-0.120145866691646
"69",1,50," S2-19.jpg",2,0.7522,2,17,2,1,0.3293,0.3364,"1",0.281865963110474
"69",1,51," S2-19.jpg",2,0.9047,1,28,2,1,0.5193,0.5233,"1",1.08283563021358
"69",1,52," S1-15.jpg",1,0.4318,2,21,1,1,0.4069,0.4144,"1",0.653938671339039
"69",1,53," S1-15.jpg",1,0.8762,1,70,1,1,1.0969,1.0994,"1",2.39769359131373
"69",1,54," S1-15.jpg",1,0.4182,2,30,2,0,0.5483,0.5538,"0",1.17838811645949
"69",1,55," S2-19.jpg",2,0.901,1,18,2,1,0.3477,0.3566,"1",0.377471232895152
"69",1,56," S1-15.jpg",1,0.4488,2,20,1,1,0.3772,0.3856,"1",0.520666789397368
"69",1,57," S2-19.jpg",2,0.8969,1,12,2,1,0.2342,0.2386,"1",-0.317383037119481
"69",1,58," S2-19.jpg",2,0.7479,2,24,2,1,0.4626,0.4712,"1",0.879532097846172
"69",1,59," S1-15.jpg",1,0.8685,1,20,1,1,0.3836,0.388,"1",0.550251370345295
"69",1,60," S2-19.jpg",2,0.7433,2,19,1,0,0.3663,0.3745,"0",0.46910566858659
"69",1,61," S1-15.jpg",1,0.8603,1,26,2,0,0.4742,0.4793,"0",0.923081180641383
"69",1,62," S1-15.jpg",1,0.4345,2,16,1,1,0.3074,0.3154,"1",0.160854550576869
"69",1,63," S2-19.jpg",2,0.8924,1,34,2,1,0.5874,0.5918,"1",1.29951220337378
"69",1,64," S2-19.jpg",2,0.7541,2,25,1,0,0.4686,0.4775,"0",0.902192102810342
"69",1,65," S1-15.jpg",1,0.8797,1,21,1,1,0.3695,0.3779,"1",0.484400286792646
"69",1,66," S1-15.jpg",1,0.4222,2,14,2,0,0.2715,0.2795,"0",-0.0575160993633392
"69",1,67," S2-19.jpg",2,0.8876,1,20,2,1,0.3751,0.3817,"1",0.510849873545276
"69",1,68," S2-19.jpg",2,0.7621,2,14,1,0,0.2688,0.2773,"0",-0.0750904027411722
"69",1,69," S2-19.jpg",2,0.8825,1,16,1,0,0.3119,0.3207,"0",0.18640889740039
"69",1,70," S2-19.jpg",2,0.7683,2,19,1,0,0.3633,0.3707,"0",0.454645126146555
"69",1,71," S1-15.jpg",1,0.873,1,23,1,1,0.4351,0.4416,"1",0.771765770282272
"69",1,72," S1-15.jpg",1,0.4493,2,9,2,0,0.1621,0.1699,"0",-0.964404532325074
"69",1,73," S2-19.jpg",2,0.8944,1,12,1,0,0.2288,0.2336,"0",-0.35840138549724
"69",1,74," S1-15.jpg",1,0.483,2,14,1,1,0.2715,0.2794,"1",-0.0575160993633392
"69",1,75," S1-15.jpg",1,0.8659,1,12,2,0,0.2236,0.2315,"0",-0.398825971594178
"69",1,76," S1-15.jpg",1,0.4676,2,14,2,0,0.2735,0.2804,"0",-0.0446104116997232
"69",1,77," S2-19.jpg",2,0.9038,1,20,1,0,0.3654,0.3731,"0",0.464779978703372
"69",1,78," S1-15.jpg",1,0.503,2,57,1,1,0.9354,0.9378,"1",2.11763615436698
