"subID","block","trial","image","imageIdx","cueIdx","cue_string","congruent","response","accuracy","RT","cueDuration","learningRound","trueCue","congCue","imgLockedRT"
65,1,67," S1-15.jpg",2,3," blue","neutral",2,1,1.3192,0.8167,1,0.5,0.5,0.5025
65,1,68," S1-15.jpg",2,2," red","congruent",2,1,1.507,0.9333,1,0.65,0.65,0.5737
65,1,69," S2-19.jpg",1,1," yellow","congruent",1,1,1.4595,0.9,1,0.65,0.65,0.5595
65,1,70," S1-15.jpg",2,1," yellow","incongruent",2,1,1.5072,0.9,1,0.65,0.35,0.6072
65,1,71," S1-15.jpg",2,3," blue","neutral",2,1,1.3781,0.9167,1,0.5,0.5,0.4614
65,1,72," S1-15.jpg",2,3," blue","neutral",2,1,1.7896,1.2,1,0.5,0.5,0.5896
65,1,73," S1-15.jpg",2,2," red","congruent",2,1,1.3194,0.7833,1,0.65,0.65,0.5361
65,1,74," S1-15.jpg",2,3," blue","neutral",2,1,1.2132,0.8167,1,0.5,0.5,0.3965
65,1,75," S1-15.jpg",2,2," red","congruent",2,1,1.401,0.9,1,0.65,0.65,0.501
65,1,76," S1-15.jpg",2,3," blue","neutral",2,1,1.3086,0.7833,1,0.5,0.5,0.5253
65,1,77," S2-19.jpg",1,1," yellow","congruent",1,1,1.3539,0.7833,1,0.65,0.65,0.5706
65,1,78," S2-19.jpg",1,3," blue","neutral",1,1,1.2955,0.8,1,0.5,0.5,0.4955
65,1,79," S1-15.jpg",2,2," red","congruent",2,1,2.3542,1.0333,1,0.65,0.65,1.3209
65,1,80," S1-15.jpg",2,2," red","congruent",2,1,1.4964,0.8667,1,0.65,0.65,0.6297
65,1,81," S1-15.jpg",2,1," yellow","incongruent",2,1,2.3066,0.9167,1,0.65,0.35,1.3899
65,1,82," S1-15.jpg",2,1," yellow","incongruent",2,1,1.3308,0.7667,1,0.65,0.35,0.5641
65,1,83," S1-15.jpg",2,1," yellow","incongruent",2,1,1.2959,0.8167,1,0.65,0.35,0.4792
65,1,84," S1-15.jpg",2,3," blue","neutral",2,1,1.7544,1.15,1,0.5,0.5,0.6044
65,1,85," S2-19.jpg",1,1," yellow","congruent",1,1,1.3778,0.8333,1,0.65,0.65,0.5445
65,1,86," S1-15.jpg",2,2," red","congruent",2,1,1.3662,0.7833,1,0.65,0.65,0.5829
65,1,87," S2-19.jpg",1,1," yellow","congruent",1,1,1.3787,0.8167,1,0.65,0.65,0.562
65,1,88," S1-15.jpg",2,2," red","congruent",2,1,1.707,1.0833,1,0.65,0.65,0.6237
65,1,89," S1-15.jpg",2,3," blue","neutral",2,1,1.6363,1.0667,1,0.5,0.5,0.5696
65,1,90," S1-15.jpg",2,1," yellow","incongruent",2,1,1.4952,0.85,1,0.65,0.35,0.6452
66,1,1," S3-12.jpg",2,2," yellow","congruent",NA,0,NA,0.9167,1,0.65,0.65,NA
66,1,2," S3-12.jpg",2,1," blue","incongruent",2,1,1.7106,0.7667,1,0.65,0.35,0.9439
66,1,3," S3-12.jpg",2,3," red","neutral",2,1,1.4275,0.8333,1,0.5,0.5,0.5942
