"subID","block","trial","targetName","targetIdx","response","accuracy","RT","postFlickerResp","confidence","confRT","coherence","noise1_duration","signal1_onset","signal1_duration","noise2_onset","noise2_duration","signal2_onset","signal2_duration","zlogRT"
"58",1,10,"S4-20.jpg",2,2,1,1.32218479085714,0,NA,NA,0.645706690728628,0.721191704103895,0.736216531272726,0.600993086753245,NA,NA,NA,NA,-1.13249525872524
"58",1,11,"S3-12.jpg",1,1,1,2.29421687498689,0,4,2.7131462499965,0.658088126115976,0.639599856056951,0.653504200753841,0.486652064391158,1.15406060984189,0.709121579541402,1.87708653408018,0.431034685603598,0.717425256821296
"58",1,12,"S4-20.jpg",2,2,1,1.43248941702768,0,3,1.7818461668212,0.645706690728628,0.695383212149359,0.709290876392346,0.431137591532603,1.15433613216794,0.292060949102731,NA,NA,-0.863525373938564
"58",1,13,"S4-20.jpg",2,2,1,1.69695983291604,0,4,1.40587095799856,0.645706690728628,0.63983731405031,0.653746820877491,0.445104218469781,1.11276054617445,0.598108793568768,NA,NA,-0.294811008606684
"58",1,14,"S4-20.jpg",2,1,0,1.57761020795442,0,2,1.94967574998736,0.645706690728628,1.20396568501785,1.21780437105253,0.373644522936573,NA,NA,NA,NA,-0.539608569022445
"58",1,15,"S4-20.jpg",2,2,1,3.61795020895079,1,1,2.05154679203406,0.645706690728628,1.26628257313278,1.28135736567007,0.618066494029093,1.91449865223646,0.753739626864748,2.6833130716385,0.949711929849582,2.24647495088247
"58",1,16,"S4-20.jpg",2,1,0,1.08180666691624,0,2,1.35125658311881,0.645706690728628,0.77668170958089,0.790551025823406,0.30512495733535,NA,NA,NA,NA,-1.80603560901389
"58",1,17,"S3-12.jpg",1,1,1,2.13232487509958,0,3,0.429768541129306,0.658088126115976,0.961636708378242,0.975573472267782,0.51566026391297,1.50517050007029,0.641091138918828,NA,NA,0.471783348026327
"58",1,18,"S4-20.jpg",2,2,1,1.83882966707461,0,3,0.872412374941632,0.645706690728628,0.752248500166886,0.766179027947754,0.64080427791994,1.42091383364856,0.431846361206916,NA,NA,-0.0252948699455783
"58",1,19,"S4-20.jpg",2,1,0,1.16205429192632,0,3,1.10298537509516,0.645706690728628,1.16205429192632,NA,NA,NA,NA,NA,NA,-1.56583760405848
"58",1,20,"S4-20.jpg",2,1,0,1.12982145906426,0,4,0.556789917172864,0.645706690728628,0.976388915240718,0.990337328315586,0.153432543823541,NA,NA,NA,NA,-1.66026193913591
"58",1,21,"S4-20.jpg",2,2,1,2.61134000006132,0,2,2.46920345909894,0.645706690728628,0.68061521278194,0.694505319165245,0.472263617032366,1.18065904258092,0.694505319165245,1.88905446812947,0.736175638315159,1.15202910741253
"58",1,22,"S4-20.jpg",2,1,0,1.57558229099959,0,3,0.627575792139396,0.645706690728628,1.18517251977845,1.19911572589349,0.390409771221137,NA,NA,NA,NA,-0.54392622100536
"58",1,23,"S4-20.jpg",2,2,1,1.49767825007439,0,4,1.93381445808336,0.645706690728628,0.637899995402055,0.651767386606448,0.485358692153738,1.15099346996458,0.360552171314205,NA,NA,-0.714142677597023
"58",1,24,"S3-12.jpg",1,2,0,1.63939450006001,0,1,1.1463955421932,0.658088126115976,0.72244503392475,0.736338207654072,0.666872339007462,1.41710372039086,0.236183953398476,NA,NA,-0.410656689507446
"58",1,25,"S3-12.jpg",1,1,1,1.73751533287577,0,3,0.486104208044708,0.658088126115976,0.658574360041623,0.67258658046804,0.462403274071778,1.14900207496624,0.602525478335952,NA,NA,-0.215532137284124
"58",1,26,"S3-12.jpg",1,2,0,1.69534799992107,0,3,0.469017416937277,0.658088126115976,0.764296229472614,0.778192524553934,0.458577737683568,1.25066655731882,0.458577737683568,NA,NA,-0.298000876605643
"58",1,27,"S3-12.jpg",1,1,1,1.65451524988748,0,4,1.16207991703413,0.658088126115976,0.642662948303401,0.656336628054538,0.601641909049993,1.27165221685567,0.39653671278295,NA,NA,-0.37983811297141
"58",1,28,"S3-12.jpg",1,1,1,2.19714299985208,0,4,0.330577500164509,0.658088126115976,0.709204386028203,0.723110354381697,0.528426797432779,1.26544312016797,0.945605848037604,NA,NA,0.572300988242021
"58",1,29,"S4-20.jpg",2,2,1,2.60790649987757,0,3,0.521375166950747,0.645706690728628,0.665848468053848,0.679720311138303,0.443898978702565,1.13749113292532,0.984900858996316,2.13626383500609,0.485514507955931,1.1476126177174
"58",1,30,"S3-12.jpg",1,1,1,2.04229937517084,0,2,0.670372541993856,0.658088126115976,0.903057546844249,0.916950739872622,0.458475369936311,1.38931930283731,0.666873265361907,NA,NA,0.326985076192978
"58",1,31,"S4-20.jpg",2,2,1,3.0245393330697,0,3,0.448780584149063,0.645706690728628,0.735323782810523,0.749197816448458,0.652079580982917,1.41515143106931,0.638205547344983,2.06723101205223,0.971182354655408,1.64511863482375
"58",1,32,"S4-20.jpg",2,2,1,3.11051745782606,0,3,0.664653500076383,0.645706690728628,0.985922944221653,0.999809182872662,0.472132114134313,1.48582753565798,1.04146789882569,2.54118167313468,0.583222023342386,1.73920911998176
"58",1,33,"S3-12.jpg",1,1,1,1.84612037497573,0,3,0.540991666028276,0.658088126115976,0.79119444641817,0.805075050741296,0.499701755632528,1.31865741069695,0.541343568601906,NA,NA,-0.012012164144639
"58",1,34,"S3-12.jpg",1,1,1,2.00360745796934,0,4,0.40096016600728,0.658088126115976,0.681783093336789,0.695697034017132,0.431332161090622,1.1409431357881,0.876578262861586,NA,NA,0.262780570845306
"58",1,35,"S3-12.jpg",1,1,1,2.26844312506728,0,4,0.389980416046456,0.658088126115976,0.779342423335998,0.793259252324141,0.514922672561284,1.32209875387357,0.695841449407141,2.03185703226885,0.250502921786571,0.679501442206389
"58",1,36,"S3-12.jpg",1,2,0,2.27502616588026,0,2,0.772784291999415,0.658088126115976,0.790710313751066,0.804582424518628,0.471651766097127,1.29010630138332,0.998791975264504,NA,NA,0.689228626561619
"58",1,37,"S4-20.jpg",2,2,1,2.75775287486613,0,3,2.14827654208057,0.645706690728628,0.73447689632113,0.748334950968699,0.582038295197877,1.34423130081414,0.900773552091952,2.25886290755366,0.512748021960034,1.33514832757305
"58",1,38,"S3-12.jpg",1,NA,NA,NA,0,1,0.939650707878172,0.658088126115976,1.07555299388898,1.08970500696646,0.566080523099461,1.66993754314341,0.679296627719353,2.36338618394025,1.047248967734,NA
