subID,img1,img2,img1Path,img2Path
12,0.772545620077282,0.756566515287939,S1-15.jpg,S2-19.jpg
13,0.77801956902666,0.697919133895913,S3-12.jpg,S4-20.jpg
14,0.782044354826245,0.715105166423407,S3-12.jpg,S4-20.jpg
15,0.782099143410832,0.760801517045073,S3-12.jpg,S4-20.jpg
17,0.736759197689241,0.743323242175707,S1-15.jpg,S2-19.jpg
18,0.775998184787565,0.769542884331677,S3-12.jpg,S4-20.jpg
19,0.7735215963049,0.681130741270138,S1-15.jpg,S2-19.jpg
20,0.774588933659451,0.776369506381061,S3-12.jpg,S4-20.jpg
22,0.687162244825349,0.515701415590731,S1-15.jpg,S2-19.jpg
23,0.576614019970834,0.552167390125373,S3-12.jpg,S4-20.jpg
24,0.676372859170755,0.553672233827573,S3-12.jpg,S4-20.jpg
25,0.743522077530589,0.536676003795946,S3-12.jpg,S4-20.jpg
26,0.593970940637878,0.677162230017934,S1-15.jpg,S2-19.jpg
27,0.578066849112829,0.678216320413149,S2-19.jpg,S1-15.jpg
28,0.562777775315212,0.589410113737761,S4-20.jpg,S3-12.jpg
29,0.495401006007402,0.913106233963429,S4-20.jpg,S3-12.jpg
