subID,block,trial,image,actualResponse,correctResponse,accuracy,RT
 101, 1, 1, S2-19.jpg, 2, 2, 1, 6.397743e-01, 
 101, 1, 2, S1-15.jpg, 1, 1, 1, 7.462732e-01, 
 101, 1, 3, S2-19.jpg, 2, 2, 1, 7.062098e-01, 
 101, 1, 4, S2-19.jpg, 2, 2, 1, 1.039912e+00, 
 101, 1, 5, S1-15.jpg, 1, 1, 1, 9.998611e-01, 
 101, 1, 6, S2-19.jpg, 2, 2, 1, 8.014673e-01, 
 101, 1, 7, S1-15.jpg, 1, 1, 1, 5.998068e-01, 
 101, 1, 8, S1-15.jpg, 1, 1, 1, 6.167475e-01, 
 101, 1, 9, S2-19.jpg, 2, 2, 1, 6.799693e-01, 
 101, 1, 10, S2-19.jpg, 2, 2, 1, 4.933715e-01, 
 101, 1, 11, S2-19.jpg, 2, 2, 1, 5.332568e-01, 
 101, 1, 12, S2-19.jpg, 2, 2, 1, 7.063866e-01, 
 101, 1, 13, S1-15.jpg, 1, 1, 1, 8.663611e-01, 
 101, 1, 14, S1-15.jpg, 1, 1, 1, 5.999616e-01, 
 101, 1, 15, S2-19.jpg, 2, 2, 1, 5.197193e-01, 
 101, 1, 16, S1-15.jpg, 1, 1, 1, 5.599481e-01, 
 101, 1, 17, S1-15.jpg, 1, 1, 1, 4.668394e-01, 
 101, 1, 18, S1-15.jpg, 1, 1, 1, 4.800955e-01, 
 101, 1, 19, S2-19.jpg, 2, 2, 1, 5.330778e-01, 
 101, 1, 20, S1-15.jpg, 1, 1, 1, 6.943746e-01, 
