subID,block,trial,image,imageIdx,cueIdx,cue_string,congruent,response,accuracy,RT, cueDuration,learningRound
 28, 1, 1, S3-12.jpg, 2, 1, yellow, 0, 2, 1, 2.5132, 1.4333, 1
 28, 1, 2, S3-12.jpg, 2, 2, blue, 1, 2, 1, 2.7033, 1.8167, 1
 28, 1, 3, S3-12.jpg, 2, 3, red, NaN, 2, 1, 2.4221, 1.5000, 1
 28, 1, 4, S3-12.jpg, 2, 3, red, NaN, 2, 1, 2.5282, 1.3667, 1
 28, 1, 5, S3-12.jpg, 2, 2, blue, 1, 2, 1, 2.2187, 1.3667, 1
 28, 1, 6, S4-20.jpg, 1, 1, yellow, 1, 1, 1, 2.1908, 1.2667, 1
 28, 1, 7, S3-12.jpg, 2, 1, yellow, 0, 2, 1, 2.3618, 1.3500, 1
 28, 1, 8, S3-12.jpg, 2, 3, red, NaN, 2, 1, 2.5228, 1.8000, 1
 28, 1, 9, S3-12.jpg, 2, 2, blue, 1, 2, 1, 2.3400, 1.5333, 1
 28, 1, 10, S3-12.jpg, 2, 2, blue, 1, 2, 1, 2.2083, 1.3833, 1
 28, 1, 11, S3-12.jpg, 2, 1, yellow, 0, 2, 1, 2.5508, 1.7667, 1
 28, 1, 12, S3-12.jpg, 2, 2, blue, 1, 2, 1, 2.0215, 1.2833, 1
 28, 1, 13, S4-20.jpg, 1, 2, blue, 0, 1, 1, 2.2781, 1.5500, 1
 28, 1, 14, S3-12.jpg, 2, 3, red, NaN, 2, 1, 2.2212, 1.5333, 1
 28, 1, 15, S4-20.jpg, 1, 1, yellow, 1, 1, 1, 2.3262, 1.6500, 1
 28, 1, 16, S4-20.jpg, 1, 1, yellow, 1, 1, 1, 2.0675, 1.3167, 1
 28, 1, 17, S4-20.jpg, 1, 3, red, NaN, 1, 1, 2.5851, 1.2500, 1
 28, 1, 18, S3-12.jpg, 2, 2, blue, 1, 2, 1, 2.1029, 1.6333, 1
 28, 1, 19, S4-20.jpg, 1, 1, yellow, 1, 1, 1, 1.9041, 1.3000, 1
 28, 1, 20, S3-12.jpg, 2, 2, blue, 1, 2, 1, 2.0567, 1.4833, 1
 28, 1, 21, S4-20.jpg, 1, 3, red, NaN, 1, 1, 1.9152, 1.3833, 1
 28, 1, 22, S3-12.jpg, 2, 3, red, NaN, 2, 1, 2.0911, 1.4167, 1
 28, 1, 23, S4-20.jpg, 1, 3, red, NaN, 1, 1, 2.1041, 1.4833, 1
 28, 1, 24, S4-20.jpg, 1, 1, yellow, 1, 1, 1, 2.3509, 1.4667, 1
 28, 1, 25, S4-20.jpg, 1, 1, yellow, 1, 1, 1, 1.9755, 1.4500, 1
 28, 1, 26, S3-12.jpg, 2, 2, blue, 1, 2, 1, 1.7273, 1.3333, 1
 28, 1, 27, S3-12.jpg, 2, 3, red, NaN, 2, 1, 2.2452, 1.7833, 1
 28, 1, 28, S3-12.jpg, 2, 1, yellow, 0, 2, 1, 2.2799, 1.6667, 1
 28, 1, 29, S3-12.jpg, 2, 3, red, NaN, 2, 1, 2.4101, 1.9000, 1
 28, 1, 30, S4-20.jpg, 1, 3, red, NaN, 1, 1, 1.9152, 1.3333, 1
 28, 1, 31, S4-20.jpg, 1, 1, yellow, 1, 1, 1, 2.3385, 1.6000, 1
 28, 1, 32, S4-20.jpg, 1, 1, yellow, 1, 1, 1, 1.8917, 1.3833, 1
 28, 1, 33, S3-12.jpg, 2, 2, blue, 1, 2, 1, 1.7966, 1.2667, 1
 28, 1, 34, S3-12.jpg, 2, 3, red, NaN, 2, 1, 1.7982, 1.3667, 1
 28, 1, 35, S3-12.jpg, 2, 2, blue, 1, 2, 1, 1.7624, 1.3167, 1
 28, 1, 36, S4-20.jpg, 1, 1, yellow, 1, 1, 1, 1.8451, 1.2500, 1
 28, 1, 37, S4-20.jpg, 1, 3, red, NaN, 1, 1, 1.8107, 1.2833, 1
 28, 1, 38, S4-20.jpg, 1, 3, red, NaN, 1, 1, 2.0332, 1.5167, 1
