subID,block,trial,image,imageIdx,cueIdx,cue_string,congruent,response,accuracy,RT, cueDuration,learningRound
101,1,1, S3-12.jpg,1,1, orange,1,1,1,2.9193,1.8833,1
101,1,2, S3-12.jpg,1,1, orange,1,1,1,2.0663,1.5333,1
101,1,3, S3-12.jpg,1,1, orange,1,1,1,1.3101,1.7333,1
101,1,4, S3-12.jpg,1,3, green, NaN,1,1,2.0529,1.3333,1
101,1,5, S3-12.jpg,1,3, green, NaN,1,1,2.0129,1.4,1
101,1,6, S3-12.jpg,1,1, orange,1,1,1,2.3194,1.5,1
101,1,7, S3-12.jpg,1,1, orange,1,1,1,2.2527,1.6667,1
101,1,8, S3-12.jpg,1,2, purple,0,1,1,2.3061,1.55,1
101,1,9, S3-12.jpg,1,2, purple,0,1,1,1.8396,1.3667,1
101,1,10, S3-12.jpg,1,2, purple,0,1,1,2.0529,1.3333,1
101,1,11, S3-12.jpg,1,2, purple,0,1,1,0.3483,1.7167,1
101,1,12, S3-12.jpg,1,1, orange,1,1,1,2.7992,1.8,1
101,1,13, S3-12.jpg,1,3, green, NaN,1,1,2.001,1.5167,1
101,1,14, S3-12.jpg,1,2, purple,0,1,1,2.0129,1.5333,1
101,1,15, S3-12.jpg,1,3, green, NaN,1,1,0.5839,1.3167,1
101,1,16, S3-12.jpg,1,2, purple,0,1,1,2.1728,1.7667,1
101,1,17, S3-12.jpg,1,2, purple,0,1,1,0.6186,1.25,1
101,1,18, S4-20.jpg,2,2, purple,1,1,0,0.8946,1.2667,1
101,1,19, S3-12.jpg,1,3, green, NaN,1,1,1.8676,1.3667,1
101,1,20, S3-12.jpg,1,2, purple,0,1,1,1.7477,1.2833,1
101,1,21, S4-20.jpg,2,3, green, NaN,2,1,1.6938,1.25,1
101,1,22, S4-20.jpg,2,3, green, NaN,2,1,2.3328,1.7833,1
101,1,23, S3-12.jpg,1,2, purple,0,1,1,2.0662,1.5833,1
101,1,24, S3-12.jpg,1,1, orange,1,1,1,2.5613,1.9167,1
101,1,25, S3-12.jpg,1,3, green, NaN,1,1,2.2928,1.6167,1
101,1,26, S3-12.jpg,1,2, purple,0,1,1,2.2129,1.2833,1
101,1,27, S4-20.jpg,2,3, green, NaN,2,1,1.9873,1.35,1
101,1,28, S3-12.jpg,1,1, orange,1,1,1,2.5727,1.75,1
101,1,29, S3-12.jpg,1,3, green, NaN,2,0,3.1991,1.4333,1
101,1,30, S4-20.jpg,2,3, green, NaN,2,1,2.1629,1.5167,1
101,1,31, S3-12.jpg,1,1, orange,1,1,1,2.1329,1.3667,1
101,1,32, S4-20.jpg,2,1, orange,0,2,1,2.0929,1.4833,1
101,1,33, S4-20.jpg,2,3, green, NaN,2,1,1.9738,1.25,1
101,1,34, S3-12.jpg,1,2, purple,0,1,1,2.0529,1.7,1
101,1,35, S3-12.jpg,1,2, purple,0,1,1,2.0795,1.35,1
101,1,36, S4-20.jpg,2,3, green, NaN,2,1,3.679,3.25,1
101,1,37, S3-12.jpg,1,2, purple,0,1,1,1.8532,1.25,1
101,1,38, S4-20.jpg,2,3, green, NaN,2,1,1.693,1.25,1
101,1,39, S3-12.jpg,1,1, orange,1,1,1,2.0796,1.45,1
101,1,40, S3-12.jpg,1,3, green, NaN,1,1,2.2795,1.4167,1
101,1,41, S4-20.jpg,2,2, purple,1,2,1,1.8685,1.2833,1
101,1,42, S3-12.jpg,1,1, orange,1,1,1,3.2525,1.3833,1
101,1,43, S3-12.jpg,1,2, purple,0,1,1,2.0661,1.4,1
101,1,44, S4-20.jpg,2,3, green, NaN,2,1,2.3461,1.8333,1
101,1,45, S4-20.jpg,2,1, orange,0, NaN,0, NaN,1.3333,1
101,1,46, S4-20.jpg,2,3, green, NaN,2,1,0.8444,1.3,1
101,1,47, S4-20.jpg,2,1, orange,0,2,1,1.973,1.45,1
101,1,48, S4-20.jpg,2,1, orange,0,2,1,2.5061,1.2667,1
101,1,49, S4-20.jpg,2,1, orange,0,2,1,2.5594,1.9333,1
101,1,50, S3-12.jpg,1,2, purple,0,1,1,2.306,1.6333,1
101,1,51, S4-20.jpg,2,2, purple,1,2,1,2.8793,1.25,1
101,1,52, S4-20.jpg,2,3, green, NaN,2,1,2.4794,1.8167,1
101,1,53, S4-20.jpg,2,1, orange,0,2,1,2.0529,1.3833,1
101,1,54, S4-20.jpg,2,3, green, NaN,2,1,1.8263,1.3,1
101,1,55, S3-12.jpg,1,3, green, NaN,1,1,2.3328,1.6,1
101,1,56, S4-20.jpg,2,3, green, NaN,2,1,2.7329,1.4667,1
101,1,57, S3-12.jpg,1,2, purple,0,1,1,2.9992,1.9,1
101,1,58, S3-12.jpg,1,1, orange,1,1,1,2.2929,1.3,1
101,1,59, S4-20.jpg,2,1, orange,0,2,1,2.2795,1.55,1
101,1,60, S4-20.jpg,2,1, orange,0,2,1,1.8409,1.2667,1
101,1,61, S4-20.jpg,2,2, purple,1,2,1,1.9596,1.3167,1
101,1,62, S4-20.jpg,2,2, purple,1,2,1,1.9742,1.4333,1
101,1,63, S4-20.jpg,2,1, orange,0,2,1,2.0931,1.3833,1
101,1,64, S4-20.jpg,2,2, purple,1,2,1,2.2265,1.4667,1
101,1,65, S4-20.jpg,2,3, green, NaN,2,1,1.8529,1.35,1
101,1,66, S4-20.jpg,2,3, green, NaN,2,1,1.9329,1.5,1
101,1,67, S4-20.jpg,2,3, green, NaN,2,1,2.2928,1.6833,1
101,1,68, S4-20.jpg,2,3, green, NaN,2,1,2.5594,1.85,1
101,1,69, S4-20.jpg,2,2, purple,1,2,1,2.0762,1.4833,1
101,1,70, S4-20.jpg,2,1, orange,0,2,1,2.2529,1.65,1
101,1,71, S4-20.jpg,2,2, purple,1,2,1,2.0797,1.4167,1
101,1,72, S4-20.jpg,2,2, purple,1,2,1,2.3328,1.25,1
101,1,73, S4-20.jpg,2,1, orange,0,2,1,2.1202,1.5667,1
