subID,block,trial,targetImage,targetIdx,coherence,respFrame,response,accuracy,RT,flickerDuration
 29, 1, 1, S4-20.jpg, 1, 0.83, NaN, 1, 1, 0.6551, 0.6588
 29, 1, 2, S4-20.jpg, 1, 0.63, NaN, 1, 1, 0.5839, 0.5862
 29, 1, 3, S4-20.jpg, 1, 0.80, NaN, 1, 1, 0.3706, 0.3728
 29, 1, 4, S3-12.jpg, 2, 0.63, NaN, 1, 0, 0.3835, 0.3857
 29, 1, 5, S4-20.jpg, 1, 0.76, NaN, 1, 1, 0.4274, 0.4295
 29, 1, 6, S4-20.jpg, 1, 0.60, NaN, 1, 1, 0.6455, 0.6477
 29, 1, 7, S3-12.jpg, 2, 0.83, NaN, 2, 1, 1.0176, 1.0198
 29, 1, 8, S3-12.jpg, 2, 0.71, NaN, 2, 1, 0.9721, 0.9745
 29, 1, 9, S4-20.jpg, 1, 0.73, NaN, 1, 1, 0.6638, 0.6660
 29, 1, 10, S4-20.jpg, 1, 0.56, NaN, 1, 1, 0.4183, 0.4206
 29, 1, 11, S3-12.jpg, 2, 0.80, NaN, 1, 0, 0.5707, 0.5727
 29, 1, 12, S3-12.jpg, 2, 0.69, NaN, 1, 0, 0.5613, 0.5636
 29, 1, 13, S3-12.jpg, 2, 0.88, NaN, 1, 0, 0.6758, 0.6780
 29, 1, 14, S4-20.jpg, 1, 0.53, NaN, 1, 1, 0.5692, 0.5715
 29, 1, 15, S3-12.jpg, 2, 0.94, NaN, 2, 1, 0.7845, 0.7869
 29, 1, 16, S3-12.jpg, 2, 0.74, NaN, 2, 1, 0.5678, 0.5701
 29, 1, 17, S3-12.jpg, 2, 0.92, NaN, 2, 1, 0.5385, 0.5408
 29, 1, 18, S4-20.jpg, 1, 0.50, NaN, 2, 0, 0.3583, 0.3605
 29, 1, 19, S3-12.jpg, 2, 0.91, NaN, 2, 1, 0.6048, 0.6073
 29, 1, 20, S4-20.jpg, 1, 0.56, NaN, 1, 1, 0.4859, 0.4880
 29, 1, 21, S4-20.jpg, 1, 0.70, NaN, 1, 1, 0.3752, 0.3774
 29, 1, 22, S4-20.jpg, 1, 0.53, NaN, 1, 1, 0.3821, 0.3843
 29, 1, 23, S3-12.jpg, 2, 0.89, NaN, 1, 0, 0.5470, 0.5492
 29, 1, 24, S4-20.jpg, 1, 0.51, NaN, 1, 1, 0.5828, 0.5851
 29, 1, 25, S3-12.jpg, 2, 0.93, NaN, 2, 1, 0.7092, 0.7115
 29, 1, 26, S4-20.jpg, 1, 0.49, NaN, 1, 1, 0.5832, 0.5854
 29, 1, 27, S4-20.jpg, 1, 0.68, NaN, 1, 1, 0.5143, 0.5165
 29, 1, 28, S3-12.jpg, 2, 0.73, NaN, 1, 0, 0.5688, 0.5714
 29, 1, 29, S3-12.jpg, 2, 0.92, NaN, 1, 0, 0.3933, 0.3955
 29, 1, 30, S4-20.jpg, 1, 0.47, NaN, 1, 1, 0.7478, 0.7501
 29, 1, 31, S3-12.jpg, 2, 0.95, NaN, 1, 0, 0.6786, 0.6806
 29, 1, 32, S3-12.jpg, 2, 0.76, NaN, 2, 1, 1.1208, 1.1231
 29, 1, 33, S4-20.jpg, 1, 0.66, NaN, 1, 1, 0.7717, 0.7739
 29, 1, 34, S3-12.jpg, 2, 0.75, NaN, 2, 1, 0.5148, 0.5171
 29, 1, 35, S3-12.jpg, 2, 0.97, NaN, 2, 1, 0.5355, 0.5376
 29, 1, 36, S4-20.jpg, 1, 0.46, NaN, 1, 1, 2.1123, 2.1148
 29, 1, 37, S3-12.jpg, 2, 0.97, NaN, 2, 1, 0.8467, 0.8491
 29, 1, 38, S4-20.jpg, 1, 0.45, NaN, 1, 1, 0.5613, 0.5635
 29, 1, 39, S3-12.jpg, 2, 0.96, NaN, 2, 1, 0.7805, 0.7827
 29, 1, 40, S4-20.jpg, 1, 0.44, NaN, 1, 1, 0.6204, 0.6227
 29, 1, 41, S3-12.jpg, 2, 0.95, NaN, 1, 0, 0.7008, 0.7033
 29, 1, 42, S3-12.jpg, 2, 0.74, NaN, 1, 0, 0.5677, 0.5700
 29, 1, 43, S3-12.jpg, 2, 0.97, NaN, 1, 0, 0.5375, 0.5397
 29, 1, 44, S4-20.jpg, 1, 0.43, NaN, 1, 1, 0.5352, 0.5372
 29, 1, 45, S3-12.jpg, 2, 0.99, NaN, 2, 1, 0.6188, 0.6210
 29, 1, 46, S3-12.jpg, 2, 0.77, NaN, 1, 0, 0.5093, 0.5116
 29, 1, 47, S4-20.jpg, 1, 0.64, NaN, 1, 1, 0.4899, 0.4922
