subID,model,loss,condition,sample_size,n_params,B_fitted,B_min,B_max,bias_fitted,bias_min,bias_max,bias50_fitted,bias50_min,bias50_max,nondectime_fitted,nondectime_min,nondectime_max
32,startPoint_freeNDT,420.16714422579923,condition_80cue,271,4,1.0694921217472377,0.5,15.0,0.19554606996424184,0.0,1.0,0.02530416617854392,0.0,1.0,0.8455123252365224,0.01,1.5
33,startPoint_freeNDT,369.68594656811314,condition_80cue,276,4,0.9017137350127402,0.5,15.0,0.08033043200868356,0.0,1.0,0.2724638047527645,0.0,1.0,1.3971909299273824,0.01,1.5
35,startPoint_freeNDT,260.8239246787203,condition_80cue,414,4,0.6257359957944929,0.5,15.0,0.16735698718935493,0.0,1.0,0.02624202495646688,0.0,1.0,0.8641164122720602,0.01,1.5
36,startPoint_freeNDT,328.87822380111567,condition_80cue,414,4,0.6975309848020884,0.5,15.0,0.1940842529444634,0.0,1.0,0.14828637202573258,0.0,1.0,1.223469253572295,0.01,1.5
37,startPoint_freeNDT,614.6644955623556,condition_80cue,413,4,0.9085255635802774,0.5,15.0,0.08656162969649417,0.0,1.0,0.043845961408017664,0.0,1.0,1.051652903824209,0.01,1.5
38,startPoint_freeNDT,618.0449465455011,condition_80cue,414,4,1.0857723296668103,0.5,15.0,0.3462152890799192,0.0,1.0,0.12177597774699273,0.0,1.0,1.0480854396816335,0.01,1.5
39,startPoint_freeNDT,584.1596103715027,condition_80cue,408,4,0.9532493500749473,0.5,15.0,0.2268241005476514,0.0,1.0,0.1499099831191698,0.0,1.0,1.0249270386025946,0.01,1.5
40,startPoint_freeNDT,473.48454612618934,condition_80cue,413,4,0.8022444276503266,0.5,15.0,0.28974865038170333,0.0,1.0,0.12706829246979934,0.0,1.0,1.001498969490565,0.01,1.5
41,startPoint_freeNDT,733.8701801606638,condition_80cue,403,4,1.2044225031020521,0.5,15.0,0.16430594399608406,0.0,1.0,0.09930122564714272,0.0,1.0,1.4414325335389853,0.01,1.5
42,startPoint_freeNDT,723.7479108593396,condition_80cue,391,4,1.3397772754742865,0.5,15.0,0.0965430725794112,0.0,1.0,0.08923990086212219,0.0,1.0,1.4973708698992796,0.01,1.5
43,startPoint_freeNDT,632.6413578257162,condition_80cue,412,4,1.0214745904513727,0.5,15.0,0.16593339901376603,0.0,1.0,0.17969674311625938,0.0,1.0,1.1843985299449478,0.01,1.5
44,startPoint_freeNDT,548.1924936161997,condition_80cue,414,4,0.8819244893628475,0.5,15.0,0.20387585527579488,0.0,1.0,0.16136639653731139,0.0,1.0,1.057784915900374,0.01,1.5
45,startPoint_freeNDT,705.9785104954898,condition_80cue,403,4,1.1199950938358851,0.5,15.0,0.13166713795458773,0.0,1.0,0.21487842329886514,0.0,1.0,1.4082947078755168,0.01,1.5
46,startPoint_freeNDT,688.1113904509094,condition_80cue,413,4,1.0430402543727755,0.5,15.0,0.012370483841745605,0.0,1.0,0.003457527229581203,0.0,1.0,0.6450638397409755,0.01,1.5
47,startPoint_freeNDT,468.13653003132055,condition_80cue,413,4,0.8580416328347755,0.5,15.0,0.20381958454907628,0.0,1.0,0.27644623066592355,0.0,1.0,1.3392666049270563,0.01,1.5
48,startPoint_freeNDT,807.9235571623914,condition_80cue,412,4,1.2000490082193387,0.5,15.0,0.12366928915310466,0.0,1.0,0.2111271797263784,0.0,1.0,1.4955079640820113,0.01,1.5
49,startPoint_freeNDT,418.8884647154257,condition_80cue,413,4,0.6744373903089869,0.5,15.0,0.09568470289184916,0.0,1.0,0.0521817646862795,0.0,1.0,1.1580568634109238,0.01,1.5
50,startPoint_freeNDT,442.0272077786557,condition_80cue,414,4,1.2655724590705903,0.5,15.0,0.667399839922022,0.0,1.0,0.18737858388017214,0.0,1.0,0.2948975134204572,0.01,1.5
51,startPoint_freeNDT,543.8345714940435,condition_80cue,414,4,0.8942374884088755,0.5,15.0,0.04293252623744692,0.0,1.0,0.003966507249939022,0.0,1.0,0.204399532621777,0.01,1.5
52,startPoint_freeNDT,674.9104763490828,condition_80cue,407,4,1.128252139548731,0.5,15.0,0.10595820757584784,0.0,1.0,0.16541446839485924,0.0,1.0,1.495654850599013,0.01,1.5
53,startPoint_freeNDT,800.758292620955,condition_80cue,412,4,1.2561054858187068,0.5,15.0,0.12358676170975819,0.0,1.0,0.16137046631870816,0.0,1.0,1.4946376121285612,0.01,1.5
54,startPoint_freeNDT,514.580412345853,condition_80cue,392,4,0.9447203064726788,0.5,15.0,0.21188556578517448,0.0,1.0,0.2787039195039119,0.0,1.0,1.1482234426988118,0.01,1.5
55,startPoint_freeNDT,742.2864102015312,condition_65cue,416,4,1.0760383537599694,0.5,15.0,0.01670664705944125,0.0,1.0,0.004802768048220718,0.0,1.0,0.9682949087137449,0.01,1.5
56,startPoint_freeNDT,678.8918671259723,condition_65cue,416,4,1.0416880567840712,0.5,15.0,0.010988181721480472,0.0,1.0,0.01814656133813275,0.0,1.0,0.1692651578113601,0.01,1.5
57,startPoint_freeNDT,737.5635560929119,condition_65cue,416,4,1.1449304914200757,0.5,15.0,0.10007554900186227,0.0,1.0,0.013113058043061288,0.0,1.0,0.164953776581655,0.01,1.5
58,startPoint_freeNDT,815.3961580517228,condition_65cue,406,4,1.278290226653236,0.5,15.0,0.0209495037559983,0.0,1.0,0.07312492479054788,0.0,1.0,0.6072365301591083,0.01,1.5
59,startPoint_freeNDT,491.8232105261402,condition_65cue,416,4,0.754267802467113,0.5,15.0,0.01471282124699902,0.0,1.0,0.13574367930942688,0.0,1.0,0.9939334664789936,0.01,1.5
