subID,model,loss,condition,sample_size,n_params,m_noise1_fitted,m_noise1_min,m_noise1_max,m50_noise1_fitted,m50_noise1_min,m50_noise1_max,m_signal1_fitted,m_signal1_min,m_signal1_max,m50_signal1_fitted,m50_signal1_min,m50_signal1_max,v_signal1_fitted,v_signal1_min,v_signal1_max,v50_signal1_fitted,v50_signal1_min,v50_signal1_max,m_noise2_fitted,m_noise2_min,m_noise2_max,m50_noise2_fitted,m50_noise2_min,m50_noise2_max,m_signal2_fitted,m_signal2_min,m_signal2_max,m50_signal2_fitted,m50_signal2_min,m50_signal2_max,v_signal2_fitted,v_signal2_min,v_signal2_max,v50_signal2_fitted,v50_signal2_min,v50_signal2_max,B_fitted,B_min,B_max
32,subjectiveCue_0ndt_0.7coh,457.00273914022785,condition_80cue,271,13,0.4894250695506773,0.0,10.0,8.891625447935342,0.0,10.0,0.08217390890994428,0.0,10.0,7.392946328359025,0.0,10.0,0.0,0.0,10.0,7.2137500242006345,0.0,10.0,0.17020181926713715,0.0,10.0,5.417510507179843,0.0,10.0,7.459024402614649,0.0,10.0,8.948677492774321,0.0,10.0,0.0,0.0,10.0,5.280464265275895,0.0,10.0,2.586822220480376,0.5,20.0
33,subjectiveCue_0ndt_0.7coh,419.81550626207195,condition_80cue,276,13,1.4098788618953821,0.0,10.0,6.805626814300496,0.0,10.0,5.040802697919035,0.0,10.0,2.867706389132545,0.0,10.0,8.920477900537604,0.0,10.0,4.322650454868823,0.0,10.0,0.0,0.0,10.0,6.509908425485349,0.0,10.0,1.070919717577026,0.0,10.0,6.329393956420192,0.0,10.0,8.400085594779359,0.0,10.0,5.90910594427898,0.0,10.0,4.026389013021945,0.5,15.0
35,subjectiveCue_0ndt_0.7coh,460.5633776188193,condition_80cue,414,13,4.273038932139053,0.0,10.0,1.1100134711201632,0.0,10.0,4.701406403619524,0.0,10.0,7.963828533655041,0.0,10.0,1.0374368297858967,0.0,10.0,4.869959404811535,0.0,10.0,6.0700414638622355,0.0,10.0,4.974554325161325,0.0,10.0,10.0,0.0,10.0,2.881122322650054,0.0,10.0,0.0,0.0,10.0,5.721303273103374,0.0,10.0,5.373126122842054,0.5,20.0
36,subjectiveCue_0ndt_0.7coh,429.82921443131244,condition_80cue,414,13,0.24857692919298469,0.0,10.0,3.5538629669852426,0.0,10.0,0.012858789904283796,0.0,10.0,7.232212818116408,0.0,10.0,6.433369461394973,0.0,10.0,3.136337741086953,0.0,10.0,0.4218034111635225,0.0,10.0,8.500236931482847,0.0,10.0,0.0785158490242992,0.0,10.0,5.61122842895867,0.0,10.0,9.93184586828361,0.0,10.0,2.8575814800825006,0.0,10.0,4.57438235185108,0.5,20.0
37,subjectiveCue_0ndt_0.7coh,779.8848601488199,condition_80cue,413,13,0.0,0.0,10.0,3.876015030314232,0.0,10.0,0.0,0.0,10.0,3.0926349754255718,0.0,10.0,0.3656556800993802,0.0,10.0,9.140473650062575,0.0,10.0,0.19748158381942033,0.0,10.0,9.030875618774498,0.0,10.0,0.0,0.0,10.0,4.571939524400572,0.0,10.0,1.713756322923796,0.0,10.0,2.9654250186700475,0.0,10.0,1.528937101218368,0.5,15.0
38,subjectiveCue_0ndt_0.7coh,349.3137042589664,condition_80cue,414,13,0.4757229898335091,0.0,10.0,4.101823332567337,0.0,10.0,0.0,0.0,10.0,6.116979459997253,0.0,10.0,3.3974763950764637,0.0,10.0,7.746965777372523,0.0,10.0,0.0,0.0,10.0,9.328140270122995,0.0,10.0,0.25529670169451907,0.0,10.0,6.681906180347223,0.0,10.0,9.911945109080682,0.0,10.0,3.8146750553135327,0.0,10.0,3.799921486364968,0.5,20.0
39,subjectiveCue_0ndt_0.7coh,684.9566816429855,condition_80cue,408,13,0.0,0.0,10.0,7.480354002070673,0.0,10.0,0.5969190436890726,0.0,10.0,4.2232693536101875,0.0,10.0,1.7018951490345837,0.0,10.0,6.12537316657118,0.0,10.0,0.0,0.0,10.0,0.9797073637339686,0.0,10.0,0.10196768992657043,0.0,10.0,2.349147457544708,0.0,10.0,8.383957940522734,0.0,10.0,0.4076519210381262,0.0,10.0,2.890725811489201,0.5,20.0
40,subjectiveCue_0ndt_0.7coh,378.4029885206347,condition_80cue,413,13,0.4124937844269963,0.0,10.0,5.052101409269651,0.0,10.0,0.0,0.0,10.0,1.1439532399294432,0.0,10.0,4.73601792526385,0.0,10.0,0.3347404793165474,0.0,10.0,0.0,0.0,10.0,2.779615603138994,0.0,10.0,0.0,0.0,10.0,8.2070533633227,0.0,10.0,10.0,0.0,10.0,4.653946728477756,0.0,10.0,3.400467643261414,0.5,15.0
41,subjectiveCue_0ndt_0.7coh,700.2840507711244,condition_80cue,403,13,0.0,0.0,10.0,2.7610405136663116,0.0,10.0,0.02214669242955873,0.0,10.0,6.535281723632844,0.0,10.0,5.241083030441574,0.0,10.0,3.767898509844689,0.0,10.0,0.0,0.0,10.0,3.33688471570425,0.0,10.0,0.3778762800070966,0.0,10.0,5.288056570962536,0.0,10.0,7.325776752590327,0.0,10.0,4.81665665573038,0.0,10.0,5.714634372956393,0.5,20.0
42,subjectiveCue_0ndt_0.7coh,235.81761679376538,condition_80cue,391,13,0.2577823724015285,0.0,10.0,5.211482338995543,0.0,10.0,0.0,0.0,10.0,3.2778015258400117,0.0,10.0,5.140739121405804,0.0,10.0,2.8432667439096413,0.0,10.0,0.0,0.0,10.0,9.160221797783098,0.0,10.0,0.15706761939157102,0.0,10.0,4.213368617351679,0.0,10.0,7.718979641730377,0.0,10.0,6.536619025644573,0.0,10.0,6.631061642610108,0.5,20.0
