subID,block,trial,targetImg,targetIdx,cue_rgb,cue_string,congruent,respFrame,response,accuracy,RT,confResp,confRT,flickerDuration,noise1frames,signal1frames,noise2frames,coherence,catch_trial
 16, 1, 61, S2-19.jpg, 2, [10 240 94], green, 1, 238, 1, 0, 4.1301, 2, 2.2811, 4.1309,82,37,84,0.7019,0
 16, 1, 62, S2-19.jpg, 2, [10 240 94], green, 1, 295, 2, 1, 5.1572, 2, 0.9445, 5.1579,106,48,77,0.7019,1
 16, 1, 63, S1-15.jpg, 1, [240 168 10], orange, NaN, 365, 1, 1, 6.3188, 2, 1.2171, 6.3202,80,23,128,0.7857,0
 16, 1, 64, S1-15.jpg, 1, [181 10 240], purple, 1, 386, 2, 0, 6.7309, 2, 0.8697, 6.7319,79,47,91,0.7857,0
 16, 1, 65, S1-15.jpg, 1, [10 240 94], green, 0, NaN, 1, 1, 9.3813, 1, 0.7766, 9.3595,109,45,91,0.7857,0
 16, 1, 66, S1-15.jpg, 1, [181 10 240], purple, 1, 314, 2, 0, 5.4370, 2, 0.6565, 5.4378,80,39,77,0.7857,0
 16, 1, 67, S2-19.jpg, 2, [181 10 240], purple, 0, 334, 2, 1, 5.7901, 2, 0.6648, 5.7909,118,30,83,0.7019,1
 16, 1, 68, S1-15.jpg, 1, [181 10 240], purple, 1, 296, 1, 1, 5.1507, 2, 0.7937, 5.1514,85,28,91,0.7857,0
 16, 1, 69, S1-15.jpg, 1, [181 10 240], purple, 1, 336, 2, 0, 5.8499, 2, 0.3527, 5.8508,78,28,80,0.7857,0
 16, 1, 70, S1-15.jpg, 1, [181 10 240], purple, 1, 393, 2, 0, 6.8121, 1, 0.1799, 6.8129,113,61,87,0.7857,0
 16, 1, 71, S2-19.jpg, 2, [10 240 94], green, 1, 424, 2, 1, 7.3514, 3, 0.3618, 7.3525,114,25,79,0.7019,0
 16, 1, 72, S2-19.jpg, 2, [10 240 94], green, 1, 282, 1, 0, 4.9041, 2, 2.4805, 4.9050,100,44,117,0.7019,0
 16, 1, 73, S2-19.jpg, 2, [10 240 94], green, 1, 186, 1, 0, 3.2505, 3, 0.2278, 3.2513,96,75,82,0.7019,0
 16, 1, 74, S1-15.jpg, 1, [10 240 94], green, 0, 252, 1, 1, 4.3749, 2, 0.3181, 4.3760,106,25,87,0.7857,0
 16, 1, 75, S1-15.jpg, 1, [240 168 10], orange, NaN, 309, 1, 1, 5.3816, 2, 0.8841, 5.3824,131,88,76,0.7857,0
 16, 1, 76, S2-19.jpg, 2, [10 240 94], green, 1, 292, 1, 0, 5.1135, 2, 0.7739, 5.1145,87,34,89,0.7019,0
 16, 1, 77, S2-19.jpg, 2, [10 240 94], green, 1, 282, 1, 0, 4.8883, 2, 0.6211, 4.8891,101,47,86,0.7019,0
 16, 1, 78, S2-19.jpg, 2, [10 240 94], green, 1, 314, 1, 0, 5.4396, 3, 0.8611, 5.4405,93,25,81,0.7019,1
 16, 1, 79, S2-19.jpg, 2, [10 240 94], green, 1, 266, 1, 0, 4.6183, 3, 0.1310, 4.6190,107,36,90,0.7019,0
 16, 1, 80, S1-15.jpg, 1, [181 10 240], purple, 1, 233, 1, 1, 4.0843, 3, 0.1075, 4.0850,102,31,125,0.7857,0
 16, 1, 81, S2-19.jpg, 2, [10 240 94], green, 1, 232, 1, 0, 4.0579, 2, 0.1185, 4.0590,94,40,95,0.7019,1
 16, 1, 82, S1-15.jpg, 1, [240 168 10], orange, NaN, 229, 1, 1, 4.0329, 2, 0.2340, 4.0337,80,41,79,0.7857,0
 16, 1, 83, S2-19.jpg, 2, [10 240 94], green, 1, 265, 1, 0, 4.6145, 2, 0.2101, 4.6154,78,26,131,0.7019,0
 16, 1, 84, S1-15.jpg, 1, [240 168 10], orange, NaN, 240, 1, 1, 4.1906, 3, 0.4997, 4.1914,195,35,108,0.7857,0
 16, 1, 85, S1-15.jpg, 1, [181 10 240], purple, 1, 311, 1, 1, 5.4298, 2, 0.0958, 5.4306,83,45,77,0.7857,0
 16, 1, 86, S2-19.jpg, 2, [10 240 94], green, 1, 433, 2, 1, 7.5134, 2, 0.3708, 7.5142,115,57,88,0.7019,0
 16, 1, 87, S1-15.jpg, 1, [10 240 94], green, 0, 381, 1, 1, 6.6406, 2, 0.6689, 6.6414,77,32,133,0.7857,0
 16, 1, 88, S2-19.jpg, 2, [10 240 94], green, 1, 493, 2, 1, 8.5245, 2, 0.6372, 8.5252,79,35,136,0.7019,0
 16, 1, 89, S1-15.jpg, 1, [181 10 240], purple, 1, 434, 2, 0, 7.5278, 2, 0.5278, 7.5285,86,23,105,0.7857,0
 16, 1, 90, S2-19.jpg, 2, [10 240 94], green, 1, 464, 2, 1, 8.0356, 2, 0.7479, 8.0363,130,26,90,0.7019,0
 16, 1, 91, S1-15.jpg, 1, [181 10 240], purple, 1, 530, 2, 0, 9.1802, 3, 0.8088, 9.1809,93,28,94,0.7857,0
 16, 1, 92, S1-15.jpg, 1, [240 168 10], orange, NaN, 202, 2, 0, 3.5190, 2, 0.3236, 3.5198,84,63,75,0.7857,0
 16, 1, 93, S1-15.jpg, 1, [181 10 240], purple, 1, 422, 2, 0, 7.3083, 2, 0.1400, 7.3091,86,33,142,0.7857,0
