subID,block,trial,image,actualResponse,correctResponse,accuracy,RT
 16, 1, 1, S2-19.jpg, 2, 2, 1, 6.517018e-01, 
 16, 1, 2, S2-19.jpg, 2, 2, 1, 6.165810e-01, 
 16, 1, 3, S1-15.jpg, 1, 1, 1, 7.165750e-01, 
 16, 1, 4, S1-15.jpg, 1, 1, 1, 6.001794e-01, 
 16, 1, 5, S1-15.jpg, 1, 1, 1, 6.003351e-01, 
 16, 1, 6, S1-15.jpg, 1, 1, 1, 5.349592e-01, 
 16, 1, 7, S2-19.jpg, 2, 2, 1, 6.169342e-01, 
 16, 1, 8, S2-19.jpg, 2, 2, 1, 7.015117e-01, 
 16, 1, 9, S1-15.jpg, 1, 1, 1, 7.334773e-01, 
 16, 1, 10, S2-19.jpg, 2, 2, 1, 6.335659e-01, 
