subID,block,trial,targetImage,targetIdx,coherence,respFrame,response,accuracy,RT,flickerDuration
 25, 1, 70, S3-12.jpg, 1, 0.71, 443, 2, 0, 6.1309, 6.1318
 25, 1, 71, S4-20.jpg, 2, 0.51, 376, 2, 1, 5.2655, 5.2662
 25, 1, 72, S3-12.jpg, 1, 0.71, NaN, NaN, 0, NaN, 7.4598
 25, 1, 73, S3-12.jpg, 1, 0.80, 178, 1, 1, 2.4460, 2.4469
 25, 1, 74, S3-12.jpg, 1, 0.72, NaN, NaN, 0, NaN, 7.4485
 25, 1, 75, S4-20.jpg, 2, 0.50, 141, 2, 1, 1.9396, 1.9406
 25, 1, 76, S4-20.jpg, 2, 0.54, 170, 2, 1, 2.3538, 2.3546
 25, 1, 77, S4-20.jpg, 2, 0.50, 265, 2, 1, 3.6623, 3.6638
 25, 1, 78, S4-20.jpg, 2, 0.53, NaN, NaN, 0, NaN, 7.4737
 25, 1, 79, S4-20.jpg, 2, 0.49, 234, 2, 1, 3.2582, 3.2591
 25, 1, 80, S3-12.jpg, 1, 0.72, 221, 1, 1, 3.0640, 3.0654
 25, 1, 81, S4-20.jpg, 2, 0.49, 322, 2, 1, 4.4496, 4.4506
 25, 1, 82, S3-12.jpg, 1, 0.72, NaN, NaN, 0, NaN, 7.4488
 25, 1, 83, S4-20.jpg, 2, 0.49, 303, 2, 1, 4.2044, 4.2053
 25, 1, 84, S4-20.jpg, 2, 0.56, 385, 2, 1, 5.3165, 5.3179
 25, 1, 85, S4-20.jpg, 2, 0.48, 353, 1, 0, 4.9010, 4.9024
 25, 1, 86, S3-12.jpg, 1, 0.73, 139, 1, 1, 1.9379, 1.9386
 25, 1, 87, S4-20.jpg, 2, 0.49, 426, 2, 1, 5.8728, 5.8738
 25, 1, 88, S3-12.jpg, 1, 0.72, NaN, NaN, 0, NaN, 7.4372
 25, 1, 89, S4-20.jpg, 2, 0.49, 175, 2, 1, 2.4187, 2.4195
 25, 1, 90, S4-20.jpg, 2, 0.55, NaN, NaN, 0, NaN, 7.4420
 25, 1, 91, S3-12.jpg, 1, 0.79, 416, 1, 1, 5.7106, 5.7117
 25, 1, 92, S4-20.jpg, 2, 0.57, 180, 2, 1, 2.5163, 2.5170
 25, 1, 93, S3-12.jpg, 1, 0.78, 293, 1, 1, 4.1009, 4.1018
 25, 1, 94, S4-20.jpg, 2, 0.56, 355, 1, 0, 4.9183, 4.9193
 25, 1, 95, S3-12.jpg, 1, 0.77, 513, 1, 1, 7.1022, 7.1031
 25, 1, 96, S3-12.jpg, 1, 0.73, 299, 1, 1, 4.1656, 4.1664
 25, 1, 97, S4-20.jpg, 2, 0.48, NaN, NaN, 0, NaN, 7.4605
 25, 1, 98, S4-20.jpg, 2, 0.59, 284, 2, 1, 3.9113, 3.9121
 25, 1, 99, S3-12.jpg, 1, 0.76, 376, 1, 1, 5.2099, 5.2107
 25, 1, 100, S3-12.jpg, 1, 0.73, 327, 1, 1, 4.5219, 4.5227
