subID,model,loss,condition,sample_size,n_params,noise1_cong_fitted,noise1_cong_min,noise1_cong_max,noise1_neut_fitted,noise1_neut_min,noise1_neut_max,signal1_cong_fitted,signal1_cong_min,signal1_cong_max,signal1_incong_fitted,signal1_incong_min,signal1_incong_max,signal1_neut_fitted,signal1_neut_min,signal1_neut_max,noise2_cong_fitted,noise2_cong_min,noise2_cong_max,noise2_incong_fitted,noise2_incong_min,noise2_incong_max,noise2_neut_fitted,noise2_neut_min,noise2_neut_max,noise2_cong_shortS1_fitted,noise2_cong_shortS1_min,noise2_cong_shortS1_max,noise2_incong_shortS1_fitted,noise2_incong_shortS1_min,noise2_incong_shortS1_max,noise2_neut_shortS1_fitted,noise2_neut_shortS1_min,noise2_neut_shortS1_max,signal2_cong_fitted,signal2_cong_min,signal2_cong_max,signal2_incong_fitted,signal2_incong_min,signal2_incong_max,signal2_neut_fitted,signal2_neut_min,signal2_neut_max,B_fitted,B_min,B_max
32,unknown_model,433.05947581980666,condition_80cue,245,15,2.491942449295711,0.0,10.0,2.2518113427823554,0.0,10.0,0.29024125839763587,0.0,10.0,1.711205361858154,0.0,10.0,0.24642995222878353,0.0,10.0,1.613505824718967,0.0,10.0,4.215947817627643,0.0,10.0,1.987345462390778,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0031437856463089053,0.0,10.0,6.807291610465281,0.0,10.0,7.029879205285763,0.0,10.0,5.701768357020152,0.0,10.0,4.566214165347033,0.5,12.0
33,unknown_model,513.5012531948703,condition_80cue,250,15,0.4698372755281117,0.0,10.0,0.0,0.0,10.0,5.054472591378406,0.0,10.0,4.334417788817053,0.0,10.0,4.608202465941276,0.0,10.0,0.0,0.0,10.0,5.459161252539221,0.0,10.0,2.568797781463492,0.0,10.0,0.3604248631248844,0.0,10.0,0.0,0.0,10.0,0.9177820163716097,0.0,10.0,5.196630302988292,0.0,10.0,5.141884922565249,0.0,10.0,7.66241475957231,0.0,10.0,5.891216302372885,0.5,12.0
35,unknown_model,371.5515443789981,condition_80cue,376,15,4.98322536258117,0.0,10.0,4.0701320603310105,0.0,10.0,5.04658384081804,0.0,10.0,4.219527580957509,0.0,10.0,5.9424768315964105,0.0,10.0,4.900774137666313,0.0,10.0,5.82541955888242,0.0,10.0,5.621308098935236,0.0,10.0,3.4419883727401492,0.0,10.0,3.998740639007512,0.0,10.0,9.680873042861213,0.0,10.0,8.960027975128236,0.0,10.0,9.576138280377604,0.0,10.0,10.0,0.0,10.0,7.038345098317797,0.5,12.0
36,unknown_model,529.5913069197917,condition_80cue,376,15,3.175006867608847,0.0,10.0,1.7206792874221504,0.0,10.0,4.960058833453604,0.0,10.0,4.634837870655509,0.0,10.0,6.272595938887873,0.0,10.0,6.2452129433776715,0.0,10.0,4.3817765040403485,0.0,10.0,1.0662208779730729,0.0,10.0,0.8995480404147832,0.0,10.0,1.5855615622520112,0.0,10.0,2.1987659979281866,0.0,10.0,8.136475331622746,0.0,10.0,7.142308062944509,0.0,10.0,9.313408517139468,0.0,10.0,7.441505559050011,0.5,12.0
37,unknown_model,850.6651418455976,condition_80cue,375,15,2.493707925260057,0.0,10.0,2.168475354212782,0.0,10.0,0.8427439248512115,0.0,10.0,0.5934151911872744,0.0,10.0,1.425556718346641,0.0,10.0,0.4036378082179181,0.0,10.0,3.532849155268351,0.0,10.0,0.9277105712409518,0.0,10.0,0.0,0.0,10.0,0.7349077408313952,0.0,10.0,0.33234881413013745,0.0,10.0,5.8668657308157615,0.0,10.0,6.401338748216912,0.0,10.0,7.09371698438017,0.0,10.0,4.588911689542748,0.5,12.0
38,unknown_model,395.63339899027966,condition_80cue,376,15,2.962271366772231,0.0,10.0,0.7271078737339648,0.0,10.0,2.2176362302971824,0.0,10.0,1.646700102446905,0.0,10.0,4.330353347839649,0.0,10.0,0.0,0.0,10.0,0.8675397530635576,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,7.517107540098488,0.0,10.0,6.653655825357922,0.0,10.0,7.546501326202396,0.0,10.0,5.774737473218056,0.5,12.0
39,unknown_model,660.5559911487203,condition_80cue,370,15,0.17363170163050548,0.0,10.0,0.22845454682037983,0.0,10.0,2.0518014058254295,0.0,10.0,0.5387307590171049,0.0,10.0,1.0716108876890507,0.0,10.0,0.0,0.0,10.0,0.33204506418554275,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,6.340161057410424,0.0,10.0,8.24153959176245,0.0,10.0,6.5474780079378645,0.0,10.0,3.320412726295206,0.5,12.0
40,unknown_model,396.9400998154738,condition_80cue,375,15,2.030224122508055,0.0,10.0,0.025859420966319022,0.0,10.0,2.993690598897258,0.0,10.0,1.4977879357078494,0.0,10.0,4.3107683936227,0.0,10.0,0.0,0.0,10.0,1.111205856259585,0.0,10.0,1.6580008641773663,0.0,10.0,0.0,0.0,10.0,2.111833159427248,0.0,10.0,0.0,0.0,10.0,7.112545659167771,0.0,10.0,7.046039302779337,0.0,10.0,8.343687198772384,0.0,10.0,4.565570117585522,0.5,12.0
41,unknown_model,774.9381011019225,condition_80cue,365,15,0.5274735049554108,0.0,10.0,0.0,0.0,10.0,5.05066132607198,0.0,10.0,3.6725400067741307,0.0,10.0,6.145255736557308,0.0,10.0,0.0,0.0,10.0,1.902573347096009,0.0,10.0,0.17809510540533738,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.93123798184181,0.0,10.0,6.020185027445613,0.0,10.0,5.7488808118408325,0.0,10.0,7.203811973318267,0.5,12.0
42,unknown_model,515.1855901452243,condition_80cue,354,15,4.2488397795404165,0.0,10.0,4.989676990966534,0.0,10.0,5.186726315549503,0.0,10.0,0.0,0.0,10.0,5.279414347362077,0.0,10.0,0.0,0.0,10.0,3.756779283120771,0.0,10.0,0.17805708668379377,0.0,10.0,0.379457340347675,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,6.029300281370902,0.0,10.0,6.9434495594343595,0.0,10.0,5.274136716975036,0.0,10.0,11.392197592739148,0.5,12.0
