subID,block,trial,image,actualResponse,correctResponse,accuracy,RT
 22, 1, 1, S1-15.jpg, 1, 1, 1, 9.668404e-01, 
 22, 1, 2, S2-19.jpg, 2, 2, 1, 5.667486e-01, 
 22, 1, 3, S1-15.jpg, 1, 1, 1, 1.116612e+00, 
 22, 1, 4, S1-15.jpg, 1, 1, 1, 7.501759e-01, 
 22, 1, 5, S2-19.jpg, 2, 2, 1, 6.333631e-01, 
 22, 1, 6, S1-15.jpg, 1, 1, 1, 8.332872e-01, 
 22, 1, 7, S2-19.jpg, 2, 2, 1, 8.165467e-01, 
 22, 1, 8, S1-15.jpg, 1, 1, 1, 6.666970e-01, 
 22, 1, 9, S1-15.jpg, 1, 1, 1, 8.667048e-01, 
 22, 1, 10, S2-19.jpg, 2, 2, 1, 5.835021e-01, 
 22, 1, 11, S1-15.jpg, 1, 1, 1, 7.666455e-01, 
 22, 1, 12, S1-15.jpg, 1, 1, 1, 6.000661e-01, 
 22, 1, 13, S2-19.jpg, 2, 2, 1, 6.168432e-01, 
 22, 1, 14, S2-19.jpg, 2, 2, 1, 8.000280e-01, 
 22, 1, 15, S1-15.jpg, 1, 1, 1, 5.835516e-01, 
 22, 1, 16, S2-19.jpg, 2, 2, 1, 5.999631e-01, 
 22, 1, 17, S2-19.jpg, 2, 2, 1, 5.500096e-01, 
 22, 1, 18, S2-19.jpg, 2, 2, 1, 6.168699e-01, 
 22, 1, 19, S2-19.jpg, 2, 2, 1, 4.669540e-01, 
 22, 1, 20, S1-15.jpg, 1, 1, 1, 7.001414e-01, 
