subID,block,trial,image,actualResponse,correctResponse,accuracy,RT
 11, 1, 1, S1-15.jpg, NaN, 1, 0, NaN, 
 11, 1, 2, S2-19.jpg, NaN, 2, 0, NaN, 
 11, 1, 3, S1-15.jpg, 1, 1, 1, 1.199748e+00, 
 11, 1, 4, S2-19.jpg, 2, 2, 1, 1.173049e+00, 
 11, 1, 5, S2-19.jpg, 1, 2, 0, 1.640550e+00, 
 11, 1, 6, S2-19.jpg, NaN, 2, 0, NaN, 
 11, 1, 7, S2-19.jpg, 2, 2, 1, 1.693033e+00, 
 11, 1, 8, S1-15.jpg, 1, 1, 1, 1.093374e+00, 
 11, 1, 9, S1-15.jpg, 1, 1, 1, 9.731289e-01, 
 11, 1, 10, S1-15.jpg, 1, 1, 1, 1.066574e+00, 
 11, 1, 11, S2-19.jpg, 2, 2, 1, 9.729335e-01, 
 11, 1, 12, S1-15.jpg, 1, 1, 1, 5.600475e-01, 
 11, 1, 13, S1-15.jpg, 1, 1, 1, 6.807778e-01, 
 11, 1, 14, S2-19.jpg, 2, 2, 1, 7.749904e-01, 
 11, 1, 15, S2-19.jpg, 2, 2, 1, 1.559368e+00, 
 11, 1, 16, S1-15.jpg, 1, 1, 1, 1.228110e+00, 
 11, 1, 17, S1-15.jpg, 1, 1, 1, 9.062667e-01, 
 11, 1, 18, S2-19.jpg, 2, 2, 1, 6.796350e-01, 
 11, 1, 19, S2-19.jpg, 2, 2, 1, 8.929388e-01, 
 11, 1, 20, S1-15.jpg, 1, 1, 1, 6.662765e-01, 
